 
"Organization Name - Effective 27-JUN-05","Grant Number","NIH Reference","PI Name","Project Title","NIH Dept Combining Name","NIH MC Combining Name","Award","City","State or Country Name","Zip Code","Attributed to Medical School","Medical School - Grant is Attributed To","Medical School Location","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1R01NS050623-01","6863044","Morielli, Anthony D","Mechanisms of Kv1.2 regulation by tyrosine kinase","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 350,344","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1R03AA015063-01","6807172","Green, John T","Moderate doses of alcohol and the developing cerebellum","PSYCHOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 75,750","BURLINGTON","VERMONT","05405","","","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1R03AI060679-01A1","6843514","Thali, Markus J","Imaging HIV-1 Egress by Evanescent Field Microscopy","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 75,750","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1R03AR051473-01","6817441","Swank, Douglas M","Myosin structural regions that determine muscle shorten*","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 76,000","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1R03CA111640-01","6851081","Marcy, Theodore W","Usability Testing of a CDSS for Tobacco Use Treatment","MISCELLANEOUS","SCHOOLS OF MEDICINE","$ 76,000","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1R03DA017813-01","6764804","Heil, Sarah H","Early Abstinence's Effect on Later Abstinence in Smokers","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 75,750","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1R03DA018708-01","6849468","Gibson, Laura E","Smoking Cessation and PTSD","PSYCHOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 76,000","BURLINGTON","VERMONT","05405","","","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1R13DA018424-01","6831557","Higgins, Stephen T","Future Directions in Contingency Management Research","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 24,826","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1R21CA107215-01","6768303","Geller, Berta M","Patient-activated Colorectal Cancer Screening in PCP","MISCELLANEOUS","SCHOOLS OF MEDICINE","$ 134,033","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1R21DA016609-01A1","6776015","Stanger, Catherine ","Preventing Problems Among Children of Substance Abusers","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 126,000","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1R21DC006643-01","6760443","Vanhouten, Judith L","Plasma Membrane Ca-ATPases in Mouse Chemosensory Cells","BIOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 227,250","BURLINGTON","VERMONT","05405","","","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1R21MH069670-01","6710323","Bucci, David J","Cholinergic Involvement in ADHD and Substance Abuse","PSYCHOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 47,247","BURLINGTON","VERMONT","05405","","","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1S10RR017743-01A1","6733418","Mann, Kenneth G","Symphony Multiplex Peptide Synthesizer w/ VISION Workstn","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 179,094","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1S10RR019246-01","6730774","Taatjes, Douglas J","Inverted Laser-Scanning Confocal Microscope","PATHOLOGY","SCHOOLS OF MEDICINE","$ 473,372","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1T32HL076122-01","6749289","Irvin, Charles G","Multidisciplinary Training in Lung Biology","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 97,667","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","2R01CA033657-23A1","6826344","Wallace, Susan S","Repair of DNA Damages Induced by Ionizing Radiation","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 453,817","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","2R01CA080790-04A2","6824723","Krag, David N","Targeting Breast Cancer with Small Ligands","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 295,294","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","2R01DA011557-06A1","6821262","Hughes, John R","Gradual vs Abrupt Cessation Treatment for Smoking","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 302,155","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","2R01DE011000-11","6724676","Fivestaylor, Paula M","Genetic Analysis-Adhesion of S Sanguis to S Pellicle","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 466,916","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","2R01DE013824-04","6825784","Mintz, Keith P","Molecular interactions: oral bacteria & matrix proteins","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 304,000","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","2R01DK056818-05","6824198","Leahy, John L","Beta-cell Compensation in Partial Pancreatectomy Mice","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 334,400","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","2R01HL034575-20","6722559","Mann, Kenneth G","Primary Structure of Prothrombin","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 448,635","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","2T32HL007647-16","6748323","Lewinter, Martin M","Post-Doctoral Cardiovascular Research Training Program","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 254,969","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","3P20RR016462-03S2","6940579","Vanhouten, Judith L","VERMONT BIOMEDICAL RESEARCH INFRASTRUCTURE NETWORK","CHEMISTRY","SCHOOLS OF ARTS AND SCIENCES","$ 200,081","BURLINGTON","VERMONT","05405","","","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","3R01AG022462-01S1","6907879","Newhouse, Paul A","Transdermal Nicotine Treatment of MCI","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 92,720","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","3R01DA015186-03S1","6942838","Budney, Alan J","Behavioral Treatment of Adolescent Marijuana Abuse","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 45,002","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","3R01EY008706-14S1","6944148","Bateman, Erik A","TRANSCRIPTION OF ACANTHAMOEBA RNA PLYMERASE II GENES","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 155,757","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","3R01NS036526-08S1","6861383","Teuscher, Cory ","SUSCEPTIBILITY AND RESISTANCE LOCI IN MOUSE EAE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 20,074","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","3R01NS043122-04S1","6928810","Wesley, Cedric W","Different Notch Receptors in Drosophila Development","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 50,000","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","3U01CA070013-10S1","6938444","Geller, Berta M","VERMONT BREAST CANCER SURVEILLANCE SYSTEM","MISCELLANEOUS","SCHOOLS OF MEDICINE","$ 91,753","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","3U10NS044501-02S1","6945032","Hamill, Robert W","Parkinson Disease Neuroprotection Clinical Trial","NEUROLOGY","SCHOOLS OF MEDICINE","$ 105,655","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","4R37DA009378-11","6890809","Higgins, Stephen T","TREATING COCAINE ABUSE: A BEHAVIORAL APPROACH","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 698,421","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5F31CA097872-03","6793957","Grossman, Cynthia I","Mother-Daughter Communication about Breast Cancer Risk","PSYCHOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 7,832","BURLINGTON","VERMONT","05405","","","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5F32AR049664-02","6768786","Lee, Cynthia R","Intervertebral Disc Mechanoregulation: An Explant Model","ENGINEERING (ALL TYPES)","BIOMED ENGR/COL ENGR/ENGR STA","$ 47,296","BURLINGTON","VERMONT","05405","","","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5F32MH069037-02","6807561","Yartz, Andrew R","Panic etiology: A laboratory test","PSYCHOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 45,694","BURLINGTON","VERMONT","05405","","","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5K01AG000947-05","6755102","Fukagawa, Naomi K","EFFECT OF AGE AND GLYCEMIA ON TRANSCRIPTION FACTORS","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 132,084","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","  "
