 
"Organization Name - Effective 02-MAR-08","Grant Number","NIH Reference","PI Name","Project Title","Dept Name","NIH Dept Combining Name","NIH MC Combining Name","Award","City","State or Country Name","Zip Code","Attributed to Medical School","Medical School - Grant is Attributed To","Medical School Location","Additional Ranking Category","Multi-Campus Institution","Main Campus - Grant is Attributed To","  "
"MIDDLEBURY COLLEGE","1R15MH077665-01A1","7248369","Arndt, Jason D","Associations between perceptual features and information that was never perceived","PSYCHOLOGY","PSYCHOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 205,893","MIDDLEBURY","VERMONT","05753","","","","Domestic Higher Education","N","","  "
"MIDDLEBURY COLLEGE","5R01DE014711-04","7223468","Spatafora, Grace A","Cloning/Characterization of S. mutans Iron Stimulation","BIOLOGY","BIOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 134,353","MIDDLEBURY","VERMONT","05753","","","","Domestic Higher Education","N","","  "
"PSYCHOLOGICAL APPLICATIONS, LLC","5R44DC005748-03","7204180","Baird, John C","Dynamic Assessment of Hearing Aids","","","","$ 395,855","SOUTH POMFRET","VERMONT","05067","","","","None","N","","  "
"PSYCHOLOGICAL APPLICATIONS, LLC","5R44HL076888-03","7283602","Baird, John C","Standardized Indices of Breathlessness","","","","$ 444,199","SOUTH POMFRET","VERMONT","05067","","","","None","N","","  "
"STROMATEC, INC","1R43AT004379-01","7341195","Davis, Robert T","Automated Connective Tissue Torque Sensor","","","","$ 100,000","SOUTH BURLINGTON","VERMONT","05403","","","","None","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1F31GM081904-01","7322969","Bravo, Mariacristina ","The Prothrombinase Complex: A Model of an Enzyme-Cofactor Complex","BIOCHEMISTRY","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 35,820","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1F31MH080453-01A1","7391403","Marshall, Erin ","Anxiety Sensitivity and Unexpected Panic Attacks","PSYCHOLOGY","PSYCHOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 36,368","BURLINGTON","VERMONT","05405","","","","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1F31MH080505-01A1","7405881","Rakow, Aaron ","The Relation Between Parental Guilt Induction and Child Internalizing Outcomes","PSYCHOLOGY","PSYCHOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 36,368","BURLINGTON","VERMONT","05405","","","","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1R01AI067897-01A2","7263318","Boyson, Jonathan E","CD1D-Restricted T cells and Pregnancy Loss","SURGERY","SURGERY","SCHOOLS OF MEDICINE","$ 380,000","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1R01AR050421-01A2","7148426","Beynnon, Bruce D","A Case-Control Study of ACL Risk Factors","ORTHOPEDICS AND REHABILITATION","ORTHOPEDICS","SCHOOLS OF MEDICINE","$ 418,506","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1R01AR053975-01A1","7258277","Lowey, Susan ","MYOSIN DOMAIN INTERACTIONS DURING THE CONTRACTILE CYCLE","MOLECULAR PHYSIOL & BIOPHYSICS","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 382,898","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1R01DA019550-01A2","7142601","Sigmon, Stacey C","Incentive-based smoking cessation for methadone patients","PSYCHIATRY","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 351,219","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1R01DK073284-01A2","7256631","Kien, Craig Lawrence","Mechanisms for differential effects of dietary fatty acids on metabolism","PEDIATRICS","PEDIATRICS","SCHOOLS OF MEDICINE","$ 431,264","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1R01ES015550-01","7244192","Rand, Matthew D","Mechanisms of methylmercury toxicity in neural development","ANATOMY AND NEUROBIOLOGY","ANATOMY/CELL BIOLOGY","SCHOOLS OF MEDICINE","$ 290,700","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1R01GM078097-01A1","7258193","Trybus, Kathleen M","MUTATIONAL STUDIES OF PROCESSIVE MYOSIN MOTORS","MOLECULAR PHYSIOL & BIOPHYSICS","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 347,290","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1R01HD054905-01","7187530","Brown, Stephen A","Prenatal diagnosis through selective DNA amplification","OBSTETRICS AND GYNECOLOGY","OBSTETRICS & GYNECOLOGY","SCHOOLS OF MEDICINE","$ 193,800","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1R01HL086549-01","7173106","Huber, Sally A","T reg Cells in Myocarditis","PATHOLOGY","PATHOLOGY","SCHOOLS OF MEDICINE","$ 380,000","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1R01HL089177-01","7296585","Poynter, Matthew E","Nitrogen Dioxide in the Sensitization to Allergic Airway Disease","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 377,500","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1R01MH076629-01A2","7252740","Zvolensky, Michael J","Smoking-Based Prevention Program for Panic Disorder","PSYCHOLOGY","PSYCHOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 589,325","BURLINGTON","VERMONT","05405","","","","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1R03CA126417-01A1","7315919","Kaminsky, David A","Spirometry to Motivate Quit-Smoking Attempts:  Message Development and Testing","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 75,479","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1R13HD055801-01","7276319","May, Victor ","8th International Symposium for VIP, PACAP & Related Peptides","ANATOMY AND NEUROBIOLOGY","ANATOMY/CELL BIOLOGY","SCHOOLS OF MEDICINE","$ 7,000","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1R13HL088903-01","7277065","Weiss, Daniel J","Stem Cells and Cellular Therapies in Lung Biology and Lung Diseases","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 25,000","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1R21AI071635-01A1","7255233","Bateman, Erik A","Optimization of Vectors for Stable Transfection of Acanthamoeba","MICROBIOL & MOLECULAR GENETICS","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 188,750","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1R21HL087274-01A2","7195948","Weiss, Daniel J","Mechanisms of Marrow-Derived Stem Cell Remodeling of Aged Emphysematous Lungs","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 190,000","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1R33HL087788-01A1","7292139","Bates, Jason Ht","Airway Hyper-responsiveness:  from molecule to organ","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 199,113","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","1U10HD055944-01","7293183","Casson, Peter R","Metformin Use During in Vitro Fertilization in Polycystic Ovary Syndrome","OBSTETRICS AND GYNECOLOGY","OBSTETRICS & GYNECOLOGY","SCHOOLS OF MEDICINE","$ 301,789","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","2P01HL046703-16A1","7299534","Mann, Kenneth G","Surface Dependent Reactions in Thrombosis and Thrombolysis","BIOCHEMISTRY","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 1,908,415","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","2R01AR043520-12A2","7385475","Budd, Ralph C","Gamma Delta T Cells in Lyme Arthritis","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 336,905","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","2R01CA052040-14A1","7321213","Wallace, Susan S","Processing of Radiation Damage by Translesion DNA Synthesis","MICROBIOL & MOLECULAR GENETICS","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 330,127","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","2R01DK021739-24A2","7313691","Mason, Anne B","Iron Delivery via Blood; Structure Role of Transferrin","BIOCHEMISTRY","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 305,556","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","2R01DK062267-04A2","7204560","Mawe, Gary M","Neuronal Excitability and Motility in Colitis","ANATOMY AND NEUROBIOLOGY","ANATOMY/CELL BIOLOGY","SCHOOLS OF MEDICINE","$ 280,440","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","2R01HL060014-09","7208231","Janssenheininger, Yvonne Mw","Regulation of NF-kappaB in Lung Epithelium by ROS/RNS","PATHOLOGY","PATHOLOGY","SCHOOLS OF MEDICINE","$ 380,000","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","2R01HL067351-06A2","7259742","Lounsbury, Karen M","Calcium and Gene Expression in Vascular Smooth Muscle","PHARMACOLOGY","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 342,000","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","2R01MH064847-06A1","7317968","Bouton, Mark E","Extinction and Recovery in Associative Learning","PSYCHOLOGY","PSYCHOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 258,947","BURLINGTON","VERMONT","05405","","","","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","2R56DK056644-06A1","7455422","Lidofsky, Steven D","Mechanisms of Cell Volume Regulation in Liver","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 380,000","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","2R56GM048847-14A1","7464795","Morrical, Scott W","Assembly and Activation of Enzyme-ssDNA Complexes","BIOCHEMISTRY","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 325,021","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","2R56MH058799-06","7414894","Hudziak, James J","Renewal of Developmental Twin Study of Attention, Aggression, & Affect","PSYCHIATRY","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 417,528","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","2T32ES007122-26","7232839","Mossman, Brooke T","Environmental Pathology Training Grant","PATHOLOGY","PATHOLOGY","SCHOOLS OF MEDICINE","$ 359,716","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","3P01CA098993-04S1A1","7299433","Wallace, Susan S","STRUCTURE, FUNCTION AND EVOLUTION OF DNA REPAIR ENZYMES","MICROBIOL & MOLECULAR GENETICS","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 196,083","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","3P30CA022435-22S2","7492535","Fogarty, John P","CANCER CENTER SUPPORT GRANT (CCSG)","VERMONT CANCER CENTER","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 1,304,917","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","3R01AG022462-03S2","7425458","Newhouse, Paul A","Transdermal Nicotine Treatment of MCI","PSYCHIATRY","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 150,000","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","3R01DK073284-01A2S1","7481656","Kien, Craig Lawrence","Mechanisms for differential effects of dietary fatty acids on metabolism","PEDIATRICS","PEDIATRICS","SCHOOLS OF MEDICINE","$ 33,333","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","3R37DA009378-13S1","7499513","Higgins, Stephen T","TREATING COCAINE ABUSE: A BEHAVIORAL APPROACH","PSYCHIATRY","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 76,486","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","3U01CA070013-12S1","7430996","Geller, Berta M","Vermont Breast Cancer Surveillance System","HEALTH PROMOTION RESEARCH","MISCELLANEOUS","SCHOOLS OF MEDICINE","$ 115,047","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5F31DA021006-02","7220607","Vujanovic, Anka A","Nicotine Withdrawal and Panic Responding","PSYCHOLOGY","PSYCHOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 43,102","BURLINGTON","VERMONT","05405","","","","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5F31NS055512-02","7232296","Krauter, Eric M","Mechanisms of Fast Synaptic Facilitation in Colitis","ANATOMY AND NEUROBIOLOGY","ANATOMY/CELL BIOLOGY","SCHOOLS OF MEDICINE","$ 14,368","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5F32HL083768-02","7231430","Straub, Stephen V","Role of BK Channel Activity in Neurovascular Coupling","PHARMACOLOGY","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 50,428","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5K01CA104159-04","7225197","Ramosnino, Maria E","Role of Fra-1 in Mesothelioma","PATHOLOGY","PATHOLOGY","SCHOOLS OF MEDICINE","$ 137,270","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5K05DA000490-08","7268653","Hughes, John R","Research on Tobacco and Marijuana Cessation and Reduction","PSYCHIATRY","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 137,538","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5K08AI053678-05","7241565","Huston, Christopher D","E. histolytica phagocytosis of apoptotic host cells","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 134,028","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5K08AI054563-04","7225243","Kirkpatrick, Beth D","Gamma-Delta T cells and Cryptosporidiosis","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 134,595","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5K08HL074107-04","7251966","Allen, Gilman B","Critical Role of Alveolar Fibrin in Acute Lung Injury","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 142,960","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5K08MH069562-04","7145553","Rettew, David C","Temperament and Developmental Psychopathology","PSYCHIATRY","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 186,753","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5K23RR019965-04","7228983","Dixon, Anne E","Rhinosinusitis in Asthma","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 138,780","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5K24DK068380-04","7255529","Littenberg, Benjamin ","Barriers to Optimum Diabetes Outcomes","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 157,932","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5K30RR022260-03","7284360","Littenberg, Benjamin ","A Curriculum for Clinical Research Training in Vermont","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 300,000","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5M01RR000109-43","7229610","Morin, Frederick C","General Clinical Research Center","NONE","NONE","SCHOOLS OF MEDICINE","$ 2,287,234","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5P01AI045666-09","7218052","Budd, Ralph C","Molecular Mechanisms of Th1/Th2 Development","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 1,515,514","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5P01CA098993-04","7278727","Wallace, Susan S","Structure, Function and Evolution of DNA Repair Enzymes","MICROBIOL & MOLECULAR GENETICS","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 1,412,436","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5P01HL059408-08","7151996","Warshaw, David M","Molecular Basis of Dilated & Hypertrophic Cardiomyopathy","MOLECULAR PHYSIOL & BIOPHYSICS","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 2,098,335","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5P20RR015557-08","7229014","Irvin, Charles G","Translational Research in Lung Biology","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 2,161,853","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE","5P20RR016435-07","7255758","Parsons, Rodney L","Center for Neuroscience Excellence","ANATOMY AND NEUROBIOLOGY","ANATOMY/CELL BIOLOGY","SCHOOLS OF MEDICINE","$ 2,189,359","BURLINGTON","VERMONT","05405","Y","UNIVERSITY OF VERMONT COL OF MEDICINE","BURLINGTON, VERMONT 05405","Domestic Higher Education","N","","  "
