Time,F-Scale,Location,County,State,Lat,Lon,Comments
0211,UNK,3 W URICH,HENRY,MO,38.47,-94.05,*** 1 FATAL *** TORNADO WEST OF URICH...SOUTH OF CREIGHTON. 1 FATALITY CONFORMED 3 N URICH...HOUSE DESTOYED. (EAX)
0215,UNK,1 NE SWEET SPRINGS,SALINE,MO,38.98,-93.41,TORNADO OVERTURNED A SEMI TRUCK ONTO CARS ON I-70 BETWEEN MP 66 & 71. POSSIBLE INJURIES REPORTED...UNKNOWN NUMBERS. TIME ESTIMATED ON DELAYED REPORT. (EAX)
0220,UNK,4 SW SPRINGFIELD,SANGAMON,IL,39.74,-89.7,*** 19 INJ *** CONTINUATION OF TORNADO THAT MOVED ACROSS SCOTT,MORGAN AND SANGAMON COUNTIES. ENTERED TOWN AROUND I-72 MILE MARKER 92. MOVED ACROSS SOUTHWEST AND SOUTH (ILX)
0226,UNK,CHILHOWEE,JOHNSON,MO,38.58,-93.87,(EAX)
0226,UNK,SPRINGFIELD,SANGAMON,IL,39.78,-89.64,ROOF DAMAGE TO A HOUSE ON THE SOUTHWEST SIDE OF SPRINGFIELD. POWER TRANSMITTER FLASHES. (ILX)
0232,UNK,4 S RIVERTON,SANGAMON,IL,39.79,-89.54,*** 4 INJ *** PATH LENGTH 11.5 MILES. MOVED NORTHEAST BETWEEN DAWSON AND BUFFALO,LIFTED AT LOGAN COUNTY LINE. SIGNIFICANT DAMAGE TO HOUSES AND FARM BUILDINGS. POWER PO (ILX)
0239,UNK,5 W ARROW ROCK,SALINE,MO,39.07,-93.04,SPOTTER SAW FUNNEL...THEN HEARD A ROAR AND THOUGHT HE SAW CONTACT WITH THE GROUND (EAX)
0247,UNK,2 E SHELDON,VERNON,MO,37.66,-94.26,*** 2 INJ *** CONTINUOUS DAMAGE TRACK BEGINNING ON B HIGHWAY 3-4 MILES EAST OF SHELDON...CONTINUING NORTHEASTWARD TO JUST NORTH OT BELLAMY TO MONTEVELLO TO VIRGIL CITY. (SGF)
0248,UNK,BUFFALO,SANGAMON,IL,39.85,-89.41,CONFIRMED TORNADO JUST NORTH OF BUFFALO ON CORNLAND ROAD. (ILX)
0252,UNK,4 N ARROW ROCK,SALINE,MO,39.13,-92.95,(EAX)
0255,UNK,9 SW EL DORADO SPRINGS,VERNON,MO,37.78,-94.14,NWS STORM SURVEY DETERMINED THAT A BRIEF TORNADO TOUCH DOWN OCCURRED JUST TO THE NORTHWEST OF THE PRIMARY TORNADO TRACK. TORNADO TOUCHED DOWN NEAR VIRGIL CITY AND LIFTE (SGF)
0255,UNK,WHITEMAN AFB,JOHNSON,MO,38.72,-93.55,TORNADO PRODUCING DAMAGE JUST SOUTH OF WHITEMAN AFB. (EAX)
0257,UNK,4 E CORNLAND,LOGAN,IL,39.94,-89.33,PATH LENGTH 2.5 MILES,LIFTED 2.5 MILES SOUTH OF MT PULASKI AT 859 PM. 400 FOOT MICROWAVE TOWER DESTROYED. NUMEROUS POWER POLES SNAPPED. TREES DAMAGED. (ILX)
0300,UNK,6 SSW EL DORADO SPRINGS,CEDAR,MO,37.8,-94.06,*** 6 INJ *** CONTINUATION OF THE TORNADO TRACK FROM VERNON COUNTY INTO CEDAR COUNTY. TORNADO REMAINED ON THE GROUND THROUGH CEDAR COUNTY EVENTUALLY CROSSING INTO ST. C (SGF)
0300,UNK,5 SW CEDAR SPRINGS,CEDAR,MO,37.82,-93.96,*** 6 INJ *** SIX INJURIES WERE REPORTED SOUTHWEST OF CEDAR SPRINGS. ALL WERE TAKEN TO A LOCAL HOSPITAL (SGF)
0303,UNK,ARROW ROCK,SALINE,MO,39.07,-92.95,TORNADO DAMAGE HWY 41 AND STATE ROUTE AA (EAX)
0305,UNK,ARBELA,SCOTLAND,MO,40.46,-92.02,(DVN)
0308,UNK,LAMONTE,PETTIS,MO,38.73,-93.32,ONE-HALF MILE WIDE TORNADO. DAMAGE REPORTED. (EAX)
0309,UNK,1 W PEGGS,CHEROKEE,OK,36.08,-95.12,(TSA)
0310,UNK,5 SSW EL DORADO SPRINGS,CEDAR,MO,37.81,-94.06,DAMAGE PATH ENTERED CEDAR COUNTY NEAR VIRGIL CITY AND DAMAGE PATH WAS CONTINUOUS UP TO AND THROUGH CEDAR SPRINGS AREA. MANY HOMES DAMAGED/DESTROYED AND EXTENSIVE DAMAGE (SGF)
0310,UNK,EL DORADO SPRINGS,CEDAR,MO,37.88,-94.02,TORNADO REPORTED NORTH OF CITY. DAMAGE TO ONE HOME REPORTED BY 911 CENTER. NO INJURIES REPORTED. (SGF)
0310,UNK,LATHAM,LOGAN,IL,39.97,-89.16,(ILX)
0310,UNK,ARBELA,SCOTLAND,MO,40.46,-92.02,SHERIFF RELAYED REPORTS OF A ROOF TORN OFF OF A HOUSE AND REPORTS OF TREES AND LIMBS DOWN IN THE AREA. (DVN)
0317,UNK,10 SSE ROSCOE,ST. CLAIR,MO,37.84,-93.74,THIS IS A CONTINUATION OF THE TORNADO PATH THAT STARTED IN VERNON COUNTY. THIS TORNADO ENTERED THE COUNTY NEAR HARDYVILLE AND CONTINUED NORTHEASTWARD EVENTUALLY LIFTING (SGF)
0318,UNK,6 S LAMAR,BARTON,MO,37.41,-94.28,DAMAGE SURVEY REVEALED THAT AN INTERMITTENT DAMAGE PATH BEGAN ABOUT 6 MILES SOUTH OF LAMAR AND CONTINUED NORTHEASTWARD THROUGH THE COUNTY EXITING INTO DADE COUNTY 6 MIL (SGF)
0322,UNK,NEOSHO,NEWTON,MO,36.87,-94.37,*** 1 INJ *** DAMAGE FROM TORNADO RUNS TO THE NORTHEAST FROM ROSEBAY DRIVE AND Y HIGHWAY TO THE AREA OF KODIAK ROAD AND SHADY LANE DRIVE. NUMEROUS LARGE TREES ARE DOWN (SGF)
0326,UNK,EL DORADO SPRINGS,CEDAR,MO,37.88,-94.02,POSSIBLE TORNADO DAMAGE. HOUSE DESTROYED NEAR 151 AND 800 ROAD. POWERPOLES ALSO REPORTED DOWN (SGF)
0327,UNK,2 NW COLLINS,ST. CLAIR,MO,37.91,-93.65,TORNADO WAS SIGHTED NEAR COLLINS AND LIFTED BEFORE CROSSING HIGHWAY 13. REPORT WAS RELAYED BY OFF DUTY NWS EMPLOYEE. (SGF)
0328,UNK,FILLEY,CEDAR,MO,37.76,-93.95,TORNADO DAMAGE CONFIRMED BY LAW ENFORCEMENT IN THE FILLEY AREA. INJURIES AND MISSING PERSONS HAVE BEEN REPORTED. (SGF)
0329,UNK,2 S LEACH,DELAWARE,OK,36.18,-94.92,HOMES HEAVILY DAMAGED...CARS BLOWN OFF CHEROKEE TURNPIKE...TREES AND POWER LINES DOWN. (TSA)
0330,UNK,NEOSHO,NEWTON,MO,36.87,-94.37,TORNADO WAS REPORTED ON THE GROUND JUST NORTH OF HIGHWAY 60...SOUTHWEST OF NEOSHO (SGF)
0330,UNK,2 S MOBERLY,RANDOLPH,MO,39.39,-92.43,TORNADO REPORTED NORTH OF ROUTE Y. RELAYED BY COLUMBIA EOC. (EAX)
0331,UNK,HOLDEN,JOHNSON,MO,38.72,-94,(EAX)
0332,UNK,6 NNE GOLDEN CITY,DADE,MO,37.47,-94.05,INTERMITTENT DAMAGE PATH CONTINUED FROM BARTON COUNTY INTO DADE COUNTY WITH TORNADO DAMAGE PATH NOTED NORTHEASTWARD INTO CEDAR COUNTY 2 MILES NE ARCOLA. (SGF)
0335,UNK,3 NE NEOSHO,NEWTON,MO,36.9,-94.33,TORNADO REPORTED NEAR HIGHWAYS 86 AND 71. TORNADO THEN LIFTED AT 938 PM. (SGF)
0339,UNK,BONA,DADE,MO,37.54,-93.67,DADE COUNTY 911 REPORTED A TORNADO TOUCHED DOWN AND LIFTED UP NEAR BONA (SGF)
0340,UNK,3 NE ARCOLA,CEDAR,MO,37.58,-93.84,CONTINUATION OF TORNADO TRACK FROM DADE COUNTY INTO CEDAR COUNTY. TORNADO MOVED NORTHEASTWARD ACROSS THE COUNTY EVENTUALLY MOVING INTO POLK COUNTY JUST SOUTHWEST OF HUM (SGF)
0340,UNK,5 S MADISON,MONROE,MO,39.4,-92.21,HOUSE AND MACHINE SHED DAMAGED...TREES AND POWER LINES DOWN. (LSX)
0345,UNK,NEOSHO,NEWTON,MO,36.87,-94.37,POSSIBLE TORNADO DAMAGE...TREES DOWN AND HOUSE REPORTED DEMOLISHED (SGF)
0349,UNK,3 W GENTRY,BENTON,AR,36.27,-94.54,(TSA)
0355,UNK,1 N PARIS,MONROE,MO,39.49,-92,HOUSE DESTROYED BY POSSIBLE TORNADO. (LSX)
0403,UNK,4 SW HUMANSVILLE,POLK,MO,37.75,-93.63,CONTINUATION OF TORNADO TRACK FROM DADE COUNTY INTO FAR NW POLK COUNTY. TORNDAO MOVED FROM POLK COUNTY INTO HICKORY COUNTY 2 MILES NORTHEAST OF HUMANSVILLE. (SGF)
0405,UNK,STOUTSVILLE,MONROE,MO,39.55,-91.85,REPORTED BY LOCAL FIREMAN. (LSX)
0408,UNK,1 N VERONA,LAWRENCE,MO,36.98,-93.8,*** 1 FATAL,1 INJ *** DAMAGE SURVEY FOUND TORNADO TRACK BEGAN APPROXIMATELY 1 MILE NORTH OF VERONA AND CONTINUED NORTHEASTWARD CROSSING INTO WESTERN CHRISTIAN COUNTY C (SGF)
0410,UNK,FARMER CITY,DE WITT,IL,40.24,-88.64,TORNADO REPORTED BY TRAINED SPOTTERS IN FARMER CITY. (ILX)
0415,UNK,MARIONVILLE,LAWRENCE,MO,37,-93.64,*** 1 FATAL *** KY3 TV REPORTED THAT A 63 YEAR OLD MAN HAD DIED FROM INJURIES SUSTAINED FROM A TORNADO. (SGF)
0415,UNK,2 NW MARIONVILLE,LAWRENCE,MO,37.02,-93.66,REPORTS CONSIDERABLE DAMAGE NEAR STATE ROUTE 1220 AND 2180. TURKEY HOUSES TOTALLY FLATTENED. MULTIPLE HOUSE ROOFS DAMAGED. POWER LINES DOWN ACROSS ROAD. MULTIPLE TREES (SGF)
0415,UNK,2 NE HUMANSVILLE,HICKORY,MO,37.81,-93.55,CONTINUATION OF THE TORNADO TRACK FROM POLK COUNTY. TORNADO LIFTED 5 ESE OF WEAUBLEAU. (SGF)
0415,UNK,GRAVOIS MILLS,MORGAN,MO,38.31,-92.83,*** 3 INJ *** MORGAN COUNTY EMERGENCY MANAGER REPORTED SIGNIFICANT DAMAGE TO THE COMMUNITY OF GRAVOIS MILL. (SGF)
0415,UNK,MONROE CITY,MONROE,MO,39.65,-91.73,CHURCH DAMAGED...REPORT OF PEOPLE TRAPPED INSIDE. (LSX)
0417,UNK,8 SW HERMITAGE,HICKORY,MO,37.86,-93.42,*** 12 INJ *** TORNADO TOUCHED DOWN NEAR RB 83. MAJOR DAMAGE SUSTAINED AT CARSONS CORNER. TORNADO TRACKED NORTHEAST LIFTING 5 MILES NORTHEAST OF PRESTON. SEMA REPORTS T (SGF)
0420,UNK,2 NE MARIONVILLE,CHRISTIAN,MO,37.02,-93.61,*** 3 INJ *** CONTINUATION OF THE TORNADO TRACK FROM LAWRENCE COUNTY...TORNADO CROSSED INTO WESTERN CHRISTIAN COUNTY JUST NORTHEAST OF MARIONVILL AND REMAINED ON THE GR (SGF)
0420,UNK,3 SW GRAVOIS MILLS,MORGAN,MO,38.28,-92.86,*** 3 INJ *** A 3/8 OF A MILE WIDE TORNADO PATH WAS NOTED EXTENDING FROM THREE MILES SOUTHWEST OF GRAVOIS MILLS...ACROSS STATE HIGHWAY 5 JUST SOUTH OF THE JUNCTION OF C (SGF)
0420,UNK,5 E MONROE CITY,RALLS,MO,39.65,-91.64,(LSX)
0425,UNK,PITTSBURG,HICKORY,MO,37.83,-93.3,POLK COUNTY EMERGENCY MANAGER RELAYED REPORT THAT 3 HOMES IN PITTSBURG HAVE BEEN DEMOLISHED. SEARCH AND RESCUE IS ONGOING. (SGF)
0425,UNK,3 SW GRAVOIS MILLS,MORGAN,MO,38.28,-92.86,*** 5 INJ *** TORNADO TOUCHED DOWN SOUTHWEST OF GRAVOIS MILLS AND CONTINUED NORTHEASTWARD THROUGH THE TOWN OF GRAVOIS MILLS AND REMAINED ON THE GROUND FOR 6 MILES. SEMA (SGF)
0430,UNK,NIXA,CHRISTIAN,MO,37.04,-93.29,*** 3 INJ *** 40 HOMES HAVE SUSTAINED MAJOR DAMAGE IN NIXA AND CLEVER. TWO SHELTERS HAVE BEEN OPENED TO HOUSE THOSE DISPLACED BY THE DAMAGE. (SGF)
0430,UNK,2 S HERMITAGE,HICKORY,MO,37.91,-93.32,EMERGENCY MANAGER REPORTED A TORNADO ON THE GROUND NEAR HIGHWAY 83 (SGF)
0430,UNK,GRAVOIS MILLS,MORGAN,MO,38.31,-92.83,*** 3 INJ *** MORGAN COUNTY EMERGENCY MANAGER REPORTED SIGNIFICANT DAMAGE TO THE COMMUNITY OF GRAVOIS MILL. (SGF)
0437,UNK,SUNRISE BEACH,CAMDEN,MO,38.18,-92.78,POSSIBLE TORNADO ON THE GROUND NEAR SUNRISE BEACH. (SGF)
0439,UNK,MARIONVILLE,LAWRENCE,MO,37,-93.64,NO POWER TO THE CITY OF MARIONVILLE. ALONG HIGHWAY 14...THERE IS A TRAILER IN THE ROAD. ALONG ZZ HIGHWAY NORTH OF MARIONVILLE...A HOUSE IS DESTROYED. THIS IS POSSIBLE T (SGF)
0442,UNK,1 SE BATTLEFIELD,GREENE,MO,37.11,-93.36,*** 4 INJ *** CONTINUATION OF THE TORNADO TRACK FROM LAWRENCE AND CHRISTIAN COUNTIES. TORNADO REMAINED ON THE GROUND ACROSS SOUTHEAST GREENE COUNTY EVENTUALLY LIFTING A (SGF)
0443,UNK,BRANSON,TANEY,MO,36.64,-93.22,TORNADO REPORTED ALONG 248 JUST NORTH OF BRANSON (SGF)
0443,UNK,SPRINGFIELD,GREENE,MO,37.2,-93.29,POWER FLASHES REPORTED ALONG HIGHWAY 65 AND EVANS ROAD. POSSIBLE TORNADO (SGF)
0445,UNK,5 NW EUREKA SPRINGS,CARROLL,AR,36.45,-93.8,(TSA)
0445,UNK,2 E BILLINGS,CHRISTIAN,MO,37.07,-93.52,TREES REPORTED DOWN. BARNS DESTROYED AND DEBRIS ON ROADWAY 1 MILE SOUTHEAST OF BILLINGS. POSSIBLE TORNADO DAMAGE. (SGF)
0445,UNK,PITTSBURG,HICKORY,MO,37.83,-93.3,*** 7 INJ *** TORNADO TOUCHED DOWN NEAR RB 83. HEAVY DAMAGE SUSTAINED TO CARSONS CORNER. 7 INJURIES AND 20 HOMES DAMAGED/DESTROYED (SGF)
0445,UNK,5 SE ROSCOE,ST. CLAIR,MO,37.92,-93.75,5 MILES SOUTHEAST OF ROSCOE ALONG HIGHWAY 54...PATH OF DAMAGE INCLUDING MOBILE HOMES DAMAGE AND AT LEAST ONE HOUSE DESTROYED. (SGF)
0447,UNK,NIXA,CHRISTIAN,MO,37.04,-93.29,DEBRIS REPORTED IN NIXA ALONG HIGHWAY 160 AND AA. DEBRIS INCLUDES INSULATION AND BOARDS. (SGF)
0455,UNK,REPUBLIC,GREENE,MO,37.12,-93.48,HOME DESTROYED NEAR P HIGHWAY AND WISEHILL ROAD. POSSIBLE TORNADO DAMAGE (SGF)
0456,UNK,FREMONT HILLS,CHRISTIAN,MO,37.07,-93.25,TORNADO REPORTED ON THE GROUND IN FREMONT HILLS (SGF)
0457,UNK,6 SW LAMPE,STONE,MO,36.5,-93.51,TORNADO TRACKED FROM CARROLL COUNTY AR INTO SOUTHERN STONE COUNTY. TORNAO LIFTING ABOUT 2 MILES SSW OF LAMPE. (SGF)
0500,UNK,BRAZITO,COLE,MO,38.45,-92.28,REPORTED ALONG HIGHWAY 54. (LSX)
0503,UNK,4 NW FORDLAND,WEBSTER,MO,37.2,-92.99,*** 2 INJ *** TORNADO TOUCHED DOWN ABOUT 4 MILES NORTHWEST OF FORDLAND AND LIFTED ABOUT 7 MILES NORTH OF DIGGINS. (SGF)
0505,UNK,3 S BATTLEFIELD,CHRISTIAN,MO,37.07,-93.37,HOME DESTROYED ON 115 SOUTH OF GREENE/CHRISTIAN COUNTY LINE. POWERLINES,DOWNED TREES,DEBRIS,AND HOMES DESTROYED NEAR P AND NICHOLS ROAD...ALSO ALONG AA HIGHWAY. POSS (SGF)
0510,UNK,BILLINGS,CHRISTIAN,MO,37.07,-93.55,TREES DOWN AND HOUSING DEBRIS...ALONG 160 FROM MARIONVILLE TO BILLINGS. POSSIBLE TORNADO DAMAGE (SGF)
0510,UNK,ROGERSVILLE,WEBSTER,MO,37.12,-93.06,NEAR 223 AND FR 94...HOME DEBRIS IN BACK YARD. POSSIBLE TORNADO DAMAGE (SGF)
0511,UNK,SPRINGFIELD,GREENE,MO,37.2,-93.29,DAMAGE NEAR JAMES RIVER POWER PLANT. DEBRIS FROM HOMES. POSSIBLE TORNADO DAMAGE. (SGF)
0515,UNK,MARSHFIELD,WEBSTER,MO,37.34,-92.91,NEAR CASS ROAD AND 38 JUST EAST OF MARSHFIELD...ALONG THE WEBSTER/WRIGHT COUNTY LINE. SEVERAL HOMES DESTROYED...TRAILER HOMES DESTROYED. POSSIBLE TORNADO DAMAGE (SGF)
0516,UNK,FORDLAND,WEBSTER,MO,37.16,-92.94,TRANSFORMER FLASHES NEAR HIGHWAYS B AND KK BETWEEN FORDLAND AND MARSHFIELD. POSSIBLE TORNADO. (SGF)
0519,UNK,6 N DIGGINS,WEBSTER,MO,37.26,-92.85,*** 1 INJ *** ANOTHER TORNADO TOUCHED DOWN ABOUT 6 MILES NORTH OF DIGGINS AND CONTINUED NORTHEASTWARD CROSSING INTO WRIGHT COUNTY JUST NORTH OF DIGGINS. IN TOTAL IN WEB (SGF)
0520,UNK,HOLLISTER,TANEY,MO,36.62,-93.22,STRUCTURAL DAMAGE TO BUILDINGS. TREES AND POWERLINES DOWN. NO KNONW INJURIES. (SGF)
0520,UNK,5 NW HANNIBAL,MARION,MO,39.76,-91.45,REPORT OF A TORNADO ON THE GROUND AT INTERSECTION OF US 61 AND HIGHWAY 24. (LSX)
0525,UNK,2 W COLE CAMP,BENTON,MO,38.46,-93.24,DAMAGE SURVEY REVEALED THAT A TORNADO TOUCHED DOWN APPROXIMATELY 2 MILES WEST OF COLE CAMP AND MOVED NORTHEAST ACROSS HIGHWAY JJ DAMAGING TREES AND SEVERAL BARNS AND OU (SGF)
0530,UNK,DUNCAN,WRIGHT,MO,37.28,-92.69,EXTENSIVE DAMAGE ACROSS EASTERN WEBSTER COUNTY. EM REPORTS PATH BEING CUT THROUGH THE DEBRIS ON DRYCREEK RD TO GET ACCESS TO AREAS ADDITIONAL DAMAGE AREAS. SEARCH AND R (SGF)
0531,UNK,4 W FLORENCE,MORGAN,MO,38.59,-93.05,THIS IS A CONTINUATION OF THE TORNADO TRACK FROM BENTON COUNTY INTO FAR NORTHERN MORGAN COUNTY. TORANDO REACHED A MAXIMUM WIDTH OF 175 YARDS AND DAMAGED TREES AND A BAR (SGF)
0535,UNK,HARTVILLE,WRIGHT,MO,37.25,-92.51,A MOBILE HOME WAS DAMAGED NEAR CASS ROAD. (SGF)
0538,UNK,9 N HARTVILLE,WRIGHT,MO,37.38,-92.51,TORNADO REPORTED ON THE GROUND BY TRAINED SPOTTER (SGF)
0539,UNK,2 N AURORA,LAWRENCE,MO,37,-93.72,5 HOMES DESTROYED AND 2 MOBILE HOMES DESTROYED. POSSIBLE TORNADO DAMAGE. (SGF)
0542,UNK,MARSHFIELD,WEBSTER,MO,37.34,-92.91,POWERLINES AND POWER POLES DOWN EAST OF MARSHFIELD. POSSIBLE TORNADO DAMAGE (SGF)
0547,UNK,COMPETITION,LACLEDE,MO,37.48,-92.43,CONTINUATION OF TORNADO TRACK FROM WRIGHT COUNTY INTO SOUTHERN LACLEDE COUNTY. TORNADO LIFTED 3 MILES NORTHEAST OF COMPETITION. (SGF)
0550,UNK,MARSHFIELD,WEBSTER,MO,37.34,-92.91,NEAR HIGHWAY 38 IN MARSHFIELD...2 BARNS DESTROYED AND TREES 2 FT. IN DIAMETER BLOWN OVER. POSSIBLE TORNADO DAMAGE. (SGF)
0607,UNK,COMPETITION,LACLEDE,MO,37.48,-92.43,TORNADO TOUCHED DOWN ALONG 0 HIGHWAY (SGF)
0630,UNK,BOIS D'ARC,GREENE,MO,37.26,-93.51,ROOF GONE OFF HOUSE. CARPORT WALL KNOCKED OVER. POSSIBLE TORNADO DAMAGE (SGF)
0630,UNK,JONESBURG,MONTGOMERY,MO,38.85,-91.31,*** 1 INJ *** SEVERAL HOUSES DAMAGED...3 MOBILE HOMES DAMAGED...NUMEROUS SHEDS AND OUTBUILDINGS DESTROYED. 1 INJURY REPORTED BY COUNTY EMA. (LSX)
0638,UNK,SPRINGFIELD,GREENE,MO,37.2,-93.29,HIGH VOLTAGE POWER POLES BROKEN IN HALF AT FULBRIGHT AND CHESTNUT. POSSIBLE TORNADO DAMAGE (SGF)
0640,UNK,JONESBURG,MONTGOMERY,MO,38.85,-91.31,*** 1 INJ *** SEVERAL HOUSES DAMAGED...3 MOBILE HOMES DAMAGED...NUMEROUS SHEDS AND OUTBUILDINGS DESTROYED. 1 INJURY REPORTED BY COUNTY EMA. (LSX)
0644,UNK,SPRINGFIELD,GREENE,MO,37.2,-93.29,DEBRIS REPORTED IN THE AIR AT KEARNEY AND KANSAS IN SPRINGFIELD. POSSIBLE TORNADO DAMAGE (SGF)
0650,UNK,SPRINGFIELD,GREENE,MO,37.2,-93.29,TORNADO REPORTED ON THE GROUND AT 174 AND I-44...ONE MILE WEST OF THIS AREA...TRACKING NORTHEAST AT 60 TO 70 MPH (SGF)
0700,UNK,5 N SEYMOUR,WEBSTER,MO,37.22,-92.77,ON LONG P HIGHWAY...5 TO 6 MILES NORTH OF SEYMOUR JUST WEST OF C HIGHWAY...POWER POLES DOWN AND CARS FLIPPED OVER. SEVERAL HOUSES HAVE ALSO BEEN COMPLETELY DESTROYED. R (SGF)
0725,UNK,OLNEY,LINCOLN,MO,39.08,-91.24,(LSX)
