GROOP,TAXA,BIOM,KOUNT,ISAMP
Nematoda,Rhips, ,125,200003
Nematoda,Microlaimus, ,2121,200003
Nematoda,Metadesmolaimus, ,623,200003
Nematoda,Linhystera, ,125,200003
Nematoda,Leptolaimus, ,125,200003
Nematoda,Halalaimus, ,249,200003
Nematoda,Elzalia, ,125,200003
Nematoda,Dorylaimopsis, ,125,200003
Nematoda,Dichromadora, ,125,200003
Nauplii,Total, ,100,200003
Kinorhyncha,Total, ,0,200003
Isopoda,Total, ,0,200003
Amphipoda,Total, ,0,200003
Ophiuroidea,Total, ,0,200003
Sipunculida,Total, ,0,200003
Gastrotricha,Total, ,0,200003
Nematoda,Total,31.4730,19250,200004
Nematoda,Daptonema, ,3438,200004
Nematoda,Comesoma, ,229,200004
Nematoda,Chromadorella, ,229,200004
Nematoda,Chromadora, ,229,200004
Nematoda,Campylaimus, ,229,200004
Nematoda,Calomicrolaimus, ,2980,200004
Nematoda,Axonolaimus, ,229,200004
Nematoda,Ascolaimus, ,229,200004
Nematoda,Latronema, ,229,200004
Nematoda,Laimella, ,229,200004
Nematoda,Halalaimus, ,917,200004
Nematoda,Elzalia, ,229,200004
Nematoda,Dorylaimopsis, ,229,200004
Nematoda,Diplopeltula, ,229,200004
Nematoda,Dichromadora, ,459,200004
Nematoda,Desmoscolex, ,229,200004
Nematoda,Acantholaimus, ,458,200004
Copepoda,Total, ,200,200004
Ostracoda,Total, ,200,200004
Polychaeta,Total, ,500,200004
Oligochaeta,Total, ,0,200004
Tanaidacea,Total, ,0,200004
Tardigrada,Total, ,0,200004
Turbellaria,Total, ,0,200004
Nematoda,Pselionema, ,458,200004
Nematoda,Prochromadorella, ,458,200004
Nematoda,Neochromadora, ,1833,200004
Nematoda,Molgolaimus, ,229,200004
Nematoda,Microlaimus, ,1376,200004
Nematoda,Metalinhomoeus, ,229,200004
Nematoda,Metadesmolaimus, ,229,200004
Nematoda,Leptolaimus, ,229,200004
Nematoda,Viscosia, ,1834,200004
Nematoda,Theristus, ,459,200004
Nematoda,Synonchiella, ,687,200004
Nematoda,Quadricoma, ,229,200004
Nauplii,Total, ,0,200004
Kinorhyncha,Total, ,0,200004
Isopoda,Total, ,0,200004
Amphipoda,Total, ,0,200004
Ophiuroidea,Total, ,0,200004
Sipunculida,Total, ,0,200004
Gastrotricha,Total, ,0,200004
Nematoda,Total,30.0470,12600,200005
Nematoda,Viscosia, ,1547,200005
Nematoda,Theristus, ,221,200005
Nematoda,Syringolaimus, ,221,200005
Nematoda,Synonchiella, ,664,200005
Nematoda,Sabatieria, ,221,200005
Nematoda,Pselionema, ,442,200005
Nematoda,Neochromadora, ,442,200005
Nematoda,Monhystera, ,663,200005
Nematoda,Metadesmolaimus, ,1548,200005
Nematoda,Acantholaimus, ,442,200005
Copepoda,Total, ,100,200005
Ostracoda,Total, ,50,200005
Polychaeta,Total, ,150,200005
Oligochaeta,Total, ,0,200005
Tanaidacea,Total, ,0,200005
Tardigrada,Total, ,0,200005
Turbellaria,Total, ,0,200005
Nematoda,Gnomoxyala, ,221,200005
Nematoda,Dichromadora, ,221,200005
Nematoda,Daptonema, ,4200,200005
Nematoda,Campylaimus, ,442,200005
Nematoda,Calomicrolaimus, ,442,200005
Nematoda,Axonolaimus, ,221,200005
Nematoda,Ascolaimus, ,221,200005
Nematoda,Aegialoalaimus, ,221,200005
Nauplii,Total, ,50,200005
Kinorhyncha,Total, ,0,200005
Isopoda,Total, ,0,200005
Amphipoda,Total, ,0,200005
Ophiuroidea,Total, ,0,200005
Sipunculida,Total, ,0,200005
Gastrotricha,Total, ,0,200005
Nematoda,Total,19.8700,15750,200006
Nematoda,Gnomoxyala, ,225,200006
Nematoda,Eleutherolaimus, ,225,200006
Nematoda,Diplolaimella, ,225,200006
Nematoda,Dichromadora, ,225,200006
Nematoda,Daptonema, ,3825,200006
Nematoda,Campylaimus, ,225,200006
Nematoda,Calomicrolaimus, ,225,200006
Nematoda,Amphimonhystera, ,225,200006
Nematoda,Oxystomina, ,225,200006
Nematoda,Odontophora, ,225,200006
Nematoda,Nannolaimoides, ,450,200006
Nematoda,Microlaimus, ,225,200006
Nematoda,Metadesmolaimus, ,1575,200006
Nematoda,Marylynnia, ,225,200006
Nematoda,Longicyatholaimus, ,225,200006
Nematoda,Halalaimus, ,450,200006
Nematoda,Viscosia, ,1350,200006
Nematoda,Trefusia, ,225,200006
Nematoda,Theristus, ,225,200006
Nematoda,Terschellingia, ,225,200006
Nematoda,Synonchiella, ,225,200006
Nematoda,Setosabatieria, ,225,200006
Nematoda,Sabatieria, ,3150,200006
Nematoda,Quadricoma, ,225,200006
Nematoda,Pomponema, ,225,200006
Nematoda,Paracyatholaimus, ,225,200006
Nematoda,Acantholaimus, ,450,200006
Copepoda,Total, ,0,200006
Ostracoda,Total, ,0,200006
Polychaeta,Total, ,850,200006
Oligochaeta,Total, ,0,200006
Tanaidacea,Total, ,0,200006
Tardigrada,Total, ,0,200006
Turbellaria,Total, ,0,200006
Nauplii,Total, ,0,200006
Kinorhyncha,Total, ,0,200006
Isopoda,Total, ,0,200006
Amphipoda,Total, ,0,200006
Ophiuroidea,Total, ,0,200006
Sipunculida,Total, ,0,200006
Gastrotricha,Total, ,0,200006
Nematoda,Total,27.0310,10650,200007
Nematoda,Chromadorina, ,148,200007
Nematoda,Chromadora, ,148,200007
Nematoda,Campylaimus, ,296,200007
Nematoda,Calomicrolaimus, ,887,200007
Nematoda,Axonolaimus, ,444,200007
Nematoda,Ascolaimus, ,296,200007
Nematoda,Amphimonhystera, ,148,200007
Nematoda,Aegialoalaimus, ,296,200007
Nematoda,Monhystera, ,1183,200007
Nematoda,Metadesmolaimus, ,740,200007
Nematoda,Marylynnia, ,148,200007
Nematoda,Longicyatholaimus, ,592,200007
Nematoda,Laimella, ,148,200007
Nematoda,Halalaimus, ,148,200007
Nematoda,Filitonchus, ,148,200007
Nematoda,Daptonema, ,1626,200007
Nematoda,Viscosia, ,148,200007
Nematoda,Theristus, ,148,200007
Nematoda,Sabatieria, ,1626,200007
Nematoda,Parodontophora, ,148,200007
Nematoda,Paralongicyatholaimus, ,592,200007
Nematoda,Paracyatholaimoides, ,148,200007
Nematoda,Oxystomina, ,148,200007
Nematoda,Acantholaimus, ,296,200007
Copepoda,Total, ,0,200007
Ostracoda,Total, ,0,200007
Polychaeta,Total, ,400,200007
Oligochaeta,Total, ,0,200007
Tanaidacea,Total, ,0,200007
Tardigrada,Total, ,0,200007
Turbellaria,Total, ,50,200007
Nauplii,Total, ,0,200007
Kinorhyncha,Total, ,0,200007
Isopoda,Total, ,0,200007
Amphipoda,Total, ,0,200007
Ophiuroidea,Total, ,0,200007
Sipunculida,Total, ,0,200007
Gastrotricha,Total, ,0,200007
Nematoda,Total,11.8160,11900,200008
Nematoda,Viscosia, ,159,200008
Nematoda,Theristus, ,317,200008
Nematoda,Terschellingia, ,317,200008
Nematoda,Sabatieria, ,1428,200008
Nematoda,Pomponema, ,476,200008
Nematoda,Paracyatholaimoides, ,952,200008
Nematoda,Oxystomina, ,159,200008
Nematoda,Monhystera, ,1427,200008
Nematoda,Molgolaimus, ,317,200008
Nematoda,Microlaimus, ,635,200008
Nematoda,Metadesmolaimus, ,159,200008
Nematoda,Longicyatholaimus, ,159,200008
Nematoda,Laimella, ,476,200008
Nematoda,Halalaimus, ,476,200008
Nematoda,Daptonema, ,1268,200008
Nematoda,Cyatholaimus, ,159,200008
Nematoda,Comesoma, ,159,200008
Nematoda,Campylaimus, ,159,200008
Nematoda,Calomicrolaimus, ,159,200008
Nematoda,Bolbolaimus, ,635,200008
Nematoda,Axonolaimus, ,952,200008
Nematoda,Ascolaimus, ,317,200008
Nematoda,Aponema, ,476,200008
Nematoda,Acantholaimus, ,159,200008
Copepoda,Total, ,50,200008
Ostracoda,Total, ,0,200008
Polychaeta,Total, ,350,200008
Oligochaeta,Total, ,0,200008
Tanaidacea,Total, ,0,200008
Tardigrada,Total, ,0,200008
Turbellaria,Total, ,50,200008
Nauplii,Total, ,0,200008
Kinorhyncha,Total, ,0,200008
Isopoda,Total, ,0,200008
Amphipoda,Total, ,0,200008
Ophiuroidea,Total, ,0,200008
Sipunculida,Total, ,0,200008
Gastrotricha,Total, ,0,200008
Nematoda,Total,2.1540,5700,200017
Nematoda,Richtersia, ,271,200017
Nematoda,Pselionema, ,544,200017
Nematoda,Pomponema, ,271,200017
Nematoda,Neochromadora, ,1358,200017
Nematoda,Calomicrolaimus, ,271,200017
Copepoda,Total, ,450,200017
Ostracoda,Total, ,400,200017
Polychaeta,Total, ,300,200017
Oligochaeta,Total, ,0,200017
Tanaidacea,Total, ,0,200017
Tardigrada,Total, ,0,200017
Turbellaria,Total, ,0,200017
Nematoda,Metasphaerolaimus, ,271,200017
Nematoda,Leptolaimus, ,271,200017
Nematoda,Halalaimus, ,544,200017
Nematoda,Dichromadora, ,271,200017
Nematoda,Desmoscolex, ,815,200017
Nematoda,Desmodora, ,271,200017
Nematoda,Ceramonema, ,271,200017
Nematoda,Campylaimus, ,271,200017
Nauplii,Total, ,50,200017
Kinorhyncha,Total, ,0,200017
Isopoda,Total, ,0,200017
Amphipoda,Total, ,0,200017
Ophiuroidea,Total, ,0,200017
Sipunculida,Total, ,0,200017
Gastrotricha,Total, ,0,200017
Nematoda,Total,5.0820,6450,200018
Nematoda,Leptolaimus, ,677,200018
Nematoda,Dichromadorella, ,340,200018
Nematoda,Desmodora, ,509,200018
Nematoda,Daptonema, ,509,200018
Nematoda,Ceramonema, ,339,200018
Nematoda,Campylaimus, ,170,200018
Nematoda,Calomicrolaimus, ,170,200018
Nematoda,Actinonema, ,509,200018
Nematoda,Tubolaimoides, ,170,200018
Nematoda,Theristus, ,170,200018
Nematoda,Sphaerolaimus, ,170,200018
Nematoda,Southerniella, ,509,200018
Nematoda,Sabatieria, ,170,200018
Nematoda,Pomponema, ,170,200018
Nematoda,Pareudesmoscolex, ,170,200018
Nematoda,Paralongicyatholaimus, ,170,200018
Nematoda,Paracanthonchus, ,339,200018
Nematoda,Oxystomina, ,170,200018
Nematoda,Neochromadora, ,170,200018
Nematoda,Molgolaimus, ,170,200018
Nematoda,Microlaimus, ,339,200018
Nematoda,Acantholaimus, ,340,200018
Copepoda,Total, ,150,200018
Ostracoda,Total, ,600,200018
Polychaeta,Total, ,200,200018
Oligochaeta,Total, ,0,200018
Tanaidacea,Total, ,0,200018
Tardigrada,Total, ,0,200018
Turbellaria,Total, ,50,200018
Nauplii,Total, ,100,200018
Kinorhyncha,Total, ,0,200018
Isopoda,Total, ,0,200018
Amphipoda,Total, ,0,200018
Ophiuroidea,Total, ,0,200018
Sipunculida,Total, ,0,200018
Gastrotricha,Total, ,0,200018
Nematoda,Total,12.8390,17350,200019
Nematoda,Cobbia, ,267,200019
Nematoda,Chromadorina, ,267,200019
Nematoda,Cervonema, ,267,200019
Nematoda,Calomicrolaimus, ,267,200019
Nematoda,Bolbolaimus, ,267,200019
Nematoda,Antomicron, ,267,200019
Nematoda,Amphimonhystera, ,267,200019
Nematoda,Actinonema, ,534,200019
Nematoda,Acantholaimus, ,4004,200019
Copepoda,Total, ,150,200019
Ostracoda,Total, ,200,200019
Polychaeta,Total, ,200,200019
Oligochaeta,Total, ,0,200019
Tanaidacea,Total, ,0,200019
Tardigrada,Total, ,50,200019
Turbellaria,Total, ,0,200019
Nematoda,Metacomesoma, ,267,200019
Nematoda,Linhystera, ,267,200019
Nematoda,Leptolaimus, ,534,200019
Nematoda,Halichoanolaimus, ,267,200019
Nematoda,Halalaimus, ,800,200019
Nematoda,Desmoscolex, ,800,200019
Nematoda,Desmodora, ,800,200019
Nematoda,Daptonema, ,2136,200019
Nematoda,Wieseria, ,267,200019
Nematoda,Trefusia, ,267,200019
Nematoda,Sabatieria, ,1067,200019
Nematoda,Rhips, ,267,200019
Nematoda,Pomponema, ,534,200019
Nematoda,Paracanthonchus, ,267,200019
Nematoda,Oxystomina, ,534,200019
Nematoda,Monhystera, ,267,200019
Nematoda,Microlaimus, ,534,200019
Nematoda,Metasphaerolaimus, ,534,200019
Nematoda,Metalinhomoeus, ,267,200019
Nematoda,Metadesmolaimus, ,267,200019
Nauplii,Total, ,0,200019
Kinorhyncha,Total, ,0,200019
Isopoda,Total, ,0,200019
Amphipoda,Total, ,0,200019
Ophiuroidea,Total, ,0,200019
Sipunculida,Total, ,0,200019
Gastrotricha,Total, ,0,200019
Nematoda,Total,13.4220,11400,200020
Nematoda,Wieseria, ,570,200020
Nematoda,Viscosia, ,143,200020
Nematoda,Theristus, ,284,200020
Nematoda,Syringolaimus, ,427,200020
Nematoda,Sphaerolaimus, ,284,200020
Nematoda,Sabatieria, ,2992,200020
Nematoda,Pareudesmoscolex, ,143,200020
Nematoda,Acantholaimus, ,855,200020
Copepoda,Total, ,50,200020
Ostracoda,Total, ,0,200020
Polychaeta,Total, ,150,200020
Oligochaeta,Total, ,0,200020
Tanaidacea,Total, ,0,200020
Tardigrada,Total, ,0,200020
Turbellaria,Total, ,0,200020
Nematoda,Paramonohystera, ,143,200020
Nematoda,Paralongicyatholaimus, ,143,200020
Nematoda,Monhystera, ,1710,200020
Nematoda,Microlaimus, ,427,200020
Nematoda,Metalinhomoeus, ,143,200020
Nematoda,Marylynnia, ,284,200020
Nematoda,Manganonema, ,143,200020
Nematoda,Longicyatholaimus, ,143,200020
Nematoda,Leptolaimus, ,143,200020
Nematoda,Leptolaimoides, ,143,200020
Nematoda,Laimella, ,143,200020
Nematoda,Elzalia, ,143,200020
Nematoda,Daptonema, ,1140,200020
Nematoda,Chromadorella, ,427,200020
Nematoda,Cervonema, ,284,200020
Nematoda,Ammotheristus, ,143,200020
Nauplii,Total, ,0,200020
Kinorhyncha,Total, ,0,200020
Isopoda,Total, ,0,200020
Amphipoda,Total, ,0,200020
Ophiuroidea,Total, ,0,200020
Sipunculida,Total, ,0,200020
Gastrotricha,Total, ,0,200020
Nematoda,Total,12.7625,7750,200021
Nematoda,Leptolaimus, ,108,200021
Nematoda,Halichoanolaimus, ,108,200021
Nematoda,Halalaimus, ,861,200021
Nematoda,Dolicholaimus, ,107,200021
Nematoda,Daptonema, ,431,200021
Nematoda,Cervonema, ,107,200021
Nematoda,Campylaimus, ,215,200021
Nematoda,Ammotheristus, ,107,200021
Nematoda,Theristus, ,108,200021
Nematoda,Terschellingia, ,108,200021
Nematoda,Syringolaimus, ,323,200021
Nematoda,Sphaerolaimus, ,215,200021
Nematoda,Sabatieria, ,1938,200021
Nematoda,Oxystomina, ,430,200021
Nematoda,Monhystera, ,969,200021
Nematoda,Microlaimus, ,538,200021
Nematoda,Metalinhomoeus, ,108,200021
Nematoda,Longicyatholaimus, ,323,200021
Nematoda,Linhystera, ,323,200021
Nematoda,Linhomoeus, ,108,200021
Nematoda,Acantholaimus, ,215,200021
Copepoda,Total, ,0,200021
Ostracoda,Total, ,0,200021
Polychaeta,Total, ,50,200021
Oligochaeta,Total, ,0,200021
Tanaidacea,Total, ,0,200021
Tardigrada,Total, ,0,200021
Turbellaria,Total, ,0,200021
Nauplii,Total, ,0,200021
Kinorhyncha,Total, ,0,200021
Isopoda,Total, ,0,200021
Amphipoda,Total, ,0,200021
Ophiuroidea,Total, ,0,200021
Sipunculida,Total, ,0,200021
Gastrotricha,Total, ,0,200021
Nematoda,Total,1.7910,4950,200022
Nematoda,Ascolaimus, ,507,200022
Copepoda,Total, ,0,200022
Ostracoda,Total, ,0,200022
Polychaeta,Total, ,0,200022
Oligochaeta,Total, ,0,200022
Tanaidacea,Total, ,0,200022
Tardigrada,Total, ,0,200022
Turbellaria,Total, ,0,200022
Nematoda,Daptonema, ,381,200022
Nematoda,Axonolaimus, ,127,200022
Nauplii,Total, ,0,200022
Kinorhyncha,Total, ,0,200022
Isopoda,Total, ,0,200022
Amphipoda,Total, ,0,200022
Ophiuroidea,Total, ,0,200022
Sipunculida,Total, ,0,200022
Gastrotricha,Total, ,0,200022
Nematoda,Total,4.9990,2950,200023
Nematoda,Halalaimus, ,635,200023
Copepoda,Total, ,0,200023
Ostracoda,Total, ,0,200023
Polychaeta,Total, ,50,200023
Oligochaeta,Total, ,0,200023
Tanaidacea,Total, ,0,200023
Tardigrada,Total, ,0,200023
Turbellaria,Total, ,0,200023
Nematoda,Theristus, ,127,200023
Nematoda,Sabatieria, ,1904,200023
Nematoda,Parodontophora, ,127,200023
Nematoda,Oxystomina, ,381,200023
Nematoda,Monhystera, ,761,200023
Nauplii,Total, ,0,200023
Kinorhyncha,Total, ,0,200023
Isopoda,Total, ,0,200023
Amphipoda,Total, ,0,200023
Ophiuroidea,Total, ,0,200023
Sipunculida,Total, ,0,200023
Gastrotricha,Total, ,0,200023
Nematoda,Total,.9025,1450,200024
Nematoda,Sabatieria, ,415,200024
Nematoda,Parodontophora, ,207,200024
Nematoda,Monhystera, ,621,200024
Nematoda,Leptolaimus, ,207,200024
Copepoda,Total, ,0,200024
Ostracoda,Total, ,0,200024
Polychaeta,Total, ,0,200024
Oligochaeta,Total, ,0,200024
Tanaidacea,Total, ,0,200024
Tardigrada,Total, ,0,200024
Turbellaria,Total, ,0,200024
Nauplii,Total, ,0,200024
Kinorhyncha,Total, ,0,200024
Isopoda,Total, ,0,200024
Amphipoda,Total, ,0,200024
Ophiuroidea,Total, ,0,200024
Sipunculida,Total, ,0,200024
Gastrotricha,Total, ,0,200024
Nematoda,Total,3.0315,9050,200033
Nematoda,Acantholaimus, ,329,200033
Copepoda,Total, ,500,200033
Ostracoda,Total, ,50,200033
Polychaeta,Total, ,400,200033
Oligochaeta,Total, ,0,200033
Tanaidacea,Total, ,0,200033
Tardigrada,Total, ,0,200033
Turbellaria,Total, ,0,200033
Nematoda,Quadricoma, ,411,200033
Nematoda,Pselionema, ,329,200033
Nematoda,Prochromadorella, ,165,200033
Nematoda,Pomponema, ,82,200033
Nematoda,Pierrickia, ,165,200033
Nematoda,Pareudesmoscolex, ,905,200033
Nematoda,Paramonohystera, ,247,200033
Nematoda,Oxystomina, ,329,200033
Nematoda,Nox, ,411,200033
Nematoda,Monhystera, ,329,200033
Nematoda,Microlaimus, ,823,200033
Nematoda,Metadesmolaimus, ,329,200033
Nematoda,Linhystera, ,82,200033
Nematoda,Leptolaimus, ,494,200033
Nematoda,Lauratonema, ,82,200033
Nematoda,Elzalia, ,82,200033
Nematoda,Draconema, ,82,200033
Nematoda,Desmoscolex, ,1399,200033
Nematoda,Desmodora, ,82,200033
Nematoda,Daptonema, ,576,200033
Nematoda,Chromadorita, ,329,200033
Nematoda,Chromadora, ,329,200033
Nematoda,Bolbolaimus, ,329,200033
Nematoda,Antomicron, ,165,200033
Nematoda,Spiliphera, ,165,200033
Nauplii,Total, ,100,200033
Kinorhyncha,Total, ,50,200033
Isopoda,Total, ,0,200033
Amphipoda,Total, ,0,200033
Ophiuroidea,Total, ,50,200033
Sipunculida,Total, ,0,200033
Gastrotricha,Total, ,0,200033
Nematoda,Total,4.1015,8850,200034
Nematoda,Marylynnia, ,255,200034
Nematoda,Linhystera, ,340,200034
Nematoda,Leptolaimus, ,596,200034
Nematoda,Elzalia, ,255,200034
Nematoda,Draconema, ,170,200034
Nematoda,Diplopeltula, ,170,200034
Nematoda,Desmoscolex, ,170,200034
Nematoda,Desmodora, ,85,200034
Nematoda,Viscosia, ,170,200034
Nematoda,Theristus, ,85,200034
Nematoda,Sphaerolaimus, ,255,200034
Nematoda,Southerniella, ,85,200034
Nematoda,Sabatieria, ,767,200034
Nematoda,Quadricoma, ,170,200034
Nematoda,Pselionema, ,170,200034
Nematoda,Pierrickia, ,85,200034
Nematoda,Pareudesmoscolex, ,255,200034
Nematoda,Paramonohystera, ,85,200034
Nematoda,Oxystomina, ,597,200034
Nematoda,Nygmatonchus, ,85,200034
Nematoda,Monhystera, ,85,200034
Nematoda,Microlaimus, ,426,200034
Nematoda,Metadesmolaimus, ,170,200034
Nematoda,Daptonema, ,511,200034
Nematoda,Comesoma, ,85,200034
Nematoda,Chromadorita, ,170,200034
Nematoda,Chromadora, ,426,200034
Nematoda,Campylaimus, ,85,200034
Nematoda,Bolbolaimus, ,426,200034
Nematoda,Araeolaimus, ,85,200034
Nematoda,Antomicron, ,340,200034
Nematoda,Acantholaimus, ,1191,200034
Copepoda,Total, ,150,200034
Ostracoda,Total, ,0,200034
Polychaeta,Total, ,50,200034
Oligochaeta,Total, ,0,200034
Tanaidacea,Total, ,0,200034
Tardigrada,Total, ,0,200034
Turbellaria,Total, ,0,200034
Nauplii,Total, ,150,200034
Kinorhyncha,Total, ,0,200034
Isopoda,Total, ,0,200034
Amphipoda,Total, ,0,200034
Ophiuroidea,Total, ,0,200034
Sipunculida,Total, ,0,200034
Gastrotricha,Total, ,0,200034
Nematoda,Total,5.2200,14250,200035
Nematoda,Acantholaimus, ,2290,200035
Copepoda,Total, ,200,200035
Ostracoda,Total, ,0,200035
Polychaeta,Total, ,200,200035
Oligochaeta,Total, ,0,200035
Tanaidacea,Total, ,0,200035
Tardigrada,Total, ,50,200035
Turbellaria,Total, ,0,200035
Nematoda,Neotonchus, ,127,200035
Nematoda,Monhystera, ,509,200035
Nematoda,Microlaimus, ,1400,200035
Nematoda,Metadesmolaimus, ,255,200035
Nematoda,Longicyatholaimus, ,127,200035
Nematoda,Linhystera, ,127,200035
Nematoda,Leptolaimus, ,255,200035
Nematoda,Halalaimus, ,763,200035
Nematoda,Viscosia, ,127,200035
Nematoda,Theristus, ,509,200035
Nematoda,Sphaerolaimus, ,127,200035
Nematoda,Sabatieria, ,1019,200035
Nematoda,Quadricoma, ,509,200035
Nematoda,Pselionema, ,763,200035
Nematoda,Pomponema, ,255,200035
Nematoda,Pierrickia, ,127,200035
Nematoda,Pareudesmoscolex, ,763,200035
Nematoda,Paralongicyatholaimus, ,382,200035
Nematoda,Oxystomina, ,890,200035
Nematoda,Nygmatonchus, ,127,200035
Nematoda,Elzalia, ,127,200035
Nematoda,Desmoscolex, ,127,200035
Nematoda,Desmodora, ,127,200035
Nematoda,Daptonema, ,1019,200035
Nematoda,Comesoma, ,509,200035
Nematoda,Chromadorita, ,636,200035
Nematoda,Bolbolaimus, ,127,200035
Nematoda,Antomicron, ,127,200035
Nauplii,Total, ,150,200035
Kinorhyncha,Total, ,0,200035
Isopoda,Total, ,0,200035
Amphipoda,Total, ,0,200035
Ophiuroidea,Total, ,0,200035
Sipunculida,Total, ,0,200035
Gastrotricha,Total, ,0,200035
Nematoda,Total,6.2955,7700,200036
Nematoda,Acantholaimus, ,405,200036
Copepoda,Total, ,200,200036
Ostracoda,Total, ,0,200036
Polychaeta,Total, ,200,200036
Oligochaeta,Total, ,0,200036
Tanaidacea,Total, ,0,200036
Tardigrada,Total, ,0,200036
Turbellaria,Total, ,50,200036
Nematoda,Marylynnia, ,135,200036
Nematoda,Leptolaimus, ,540,200036
Nematoda,Leptolaimoides, ,135,200036
Nematoda,Latronema, ,135,200036
Nematoda,Halichoanolaimus, ,135,200036
Nematoda,Halalaimus, ,812,200036
Nematoda,Daptonema, ,270,200036
Nematoda,Chromadora, ,135,200036
Nematoda,Theristus, ,135,200036
Nematoda,Syringolaimus, ,540,200036
Nematoda,Sabatieria, ,2297,200036
Nematoda,Quadricoma, ,135,200036
Nematoda,Pomponema, ,135,200036
Nematoda,Oxystomina, ,135,200036
Nematoda,Monhystera, ,1216,200036
Nematoda,Microlaimus, ,270,200036
Nematoda,Viscosia, ,135,200036
Nauplii,Total, ,50,200036
Kinorhyncha,Total, ,0,200036
Isopoda,Total, ,0,200036
Amphipoda,Total, ,0,200036
Ophiuroidea,Total, ,0,200036
Sipunculida,Total, ,0,200036
Gastrotricha,Total, ,0,200036
Nematoda,Total,3.9510,5700,200037
Nematoda,Syringolaimus, ,112,200037
Nematoda,Synonchiella, ,112,200037
Nematoda,Spilophorella, ,223,200037
Nematoda,Sphaerolaimus, ,223,200037
Nematoda,Sabatieria, ,1006,200037
Nematoda,Quadricoma, ,112,200037
Nematoda,Monhystera, ,1006,200037
Nematoda,Acantholaimus, ,447,200037
Copepoda,Total, ,0,200037
Ostracoda,Total, ,0,200037
Polychaeta,Total, ,100,200037
Oligochaeta,Total, ,0,200037
Tanaidacea,Total, ,0,200037
Tardigrada,Total, ,0,200037
Turbellaria,Total, ,50,200037
Nematoda,Manganonema, ,112,200037
Nematoda,Leptolaimus, ,223,200037
Nematoda,Halalaimus, ,1341,200037
Nematoda,Daptonema, ,335,200037
Nematoda,Chromadorella, ,112,200037
Nematoda,Campylaimus, ,112,200037
Nematoda,Aponema, ,112,200037
Nematoda,Antomicron, ,112,200037
Nauplii,Total, ,0,200037
Kinorhyncha,Total, ,0,200037
Isopoda,Total, ,0,200037
Amphipoda,Total, ,0,200037
Ophiuroidea,Total, ,0,200037
Sipunculida,Total, ,0,200037
Gastrotricha,Total, ,0,200037
Nematoda,Total,5.3605,7100,200038
Nematoda,Leptolaimus, ,253,200038
Nematoda,Leptolaimoides, ,253,200038
