"Appendix 3. Summary statistics for daily discharge, dissolved-solids concentration, and dissolved-solids load data at 420 surface-water-quality monitoring sites in the Southwestern United States.",,,,,,,,,,,,,,,,,,,
"[Daily concentrations computed using statistical analysis of periodic water-chemistry samples; minimum and maximum daily concentrations reported here may have large uncertainties where they are higher and lower than highest and lowest concentration observed in sample data. Period for summary statistics varies by site and is listed in appendix 2. n/a, concentration value not available because of no flow conditions; n/c, not computed because site is on a canal or river in which discharge is a diversion or is mostly from irrigation returns flows; AZ, Arizona; CA, California; CO, Colorado; ID, Idaho; NM, New Mexico; NV, Nevada; TX, Texas; UT, Utah; WY, Wyoming. Site locations shown on plate 1]",,,,,,,,,,,,,,,,,,,
Surface-water-quality monitoring site,,"Daily discharge, cubic feet per second",,,,,,"Daily dissolved-solilds concentration, milligrams per liter",,,,,,"Daily dissolved-solids load, tons per day",,,,,
USGS site identifier,Name,Minimum,25th percentile,Median,Mean,75th percentile,Maximum,Minimum,25th percentile,Median,Mean,75th percentile,Maximum,Minimum,25th percentile,Median,Mean,75th percentile,Maximum
09047700,"Keystone Gulch near Dillon, CO",0.87,2.61,3.41,6.95,5.91,153,30.8,40.3,43.0,44.4,47.2,68.0,0.16,0.32,0.41,0.77,0.71,13.0
09050100,"Tenmile Creek below North Tenmile Creek, at Frisco, CO",5.31,23.0,35.0,108,90.0,"1,300",79.8,260,364,375,489,689,9.81,28.4,39.1,73.2,73.3,623
09050700,"Blue River below Dillon, CO",9.41,82.0,104,228,208,"1,940",88.1,127,140,142,157,194,4.04,33.1,41.3,78.7,73.0,591
09051050,"Straight Creek below Laskey Gulch near Dillon, CO",1.31,4.01,6.41,14.6,13.0,226,38.1,65.8,87.9,99.7,127,241,0.55,1.27,1.64,2.83,2.85,24.9
09052000,"Rock Creek near Dillon, CO",1.51,4.91,8.01,21.7,24.0,181,21.3,29.0,31.3,31.2,33.9,44.2,0.18,0.43,0.68,1.59,1.99,10.5
09052400,"Boulder Creek at upper station, near Dillon, CO",1.31,2.71,5.01,17.5,18.0,181,21.5,27.3,31.1,30.1,33.1,35.7,0.13,0.24,0.42,1.20,1.32,10.5
09052800,"Slate Creek at upper station, near Dillon, CO",1.41,3.81,7.41,25.9,31.0,279,21.1,27.0,31.2,32.6,38.7,44.0,0.17,0.38,0.63,1.85,2.22,16.0
09054000,"Black Creek below Black Lake, near Dillon, CO",1.51,3.31,8.01,31.2,41.0,260,11.2,20.1,24.1,24.5,28.7,36.7,0.10,0.24,0.49,2.02,2.54,18.6
09055300,"Cataract Creek near Kremmling, CO",0.52,1.51,3.31,19.9,18.0,269,20.2,25.8,28.5,29.5,33.3,40.4,0.04,0.13,0.25,1.40,1.29,18.0
09057500,"Blue River below Green Mountain Reservoir, CO",1.01,202,369,445,531,"4,010",80.8,98.5,108,109,119,144,0.28,61.9,99.5,127,154,"1,190"
09058000,"Colorado River near Kremmling, CO",200,550,765,"1,050","1,050","12,700",91.0,128,139,142,153,224,100,213,288,375,400,"3,120"
09058500,"Piney River below Piney Lake, near Minturn, CO",1.01,3.01,5.81,26.1,21.0,422,15.6,26.0,32.2,33.5,41.0,60.4,0.15,0.33,0.51,1.63,1.56,19.0
09058610,"Dickson Creek near Vail, CO",0,0.89,1.21,2.81,2.31,48.0,n/a,198,227,224,244,462,0,0.57,0.74,1.36,1.30,17.1
09058700,"Freeman Creek near Minturn, CO",0,0.13,0.22,1.45,0.65,63.0,n/a,108,120,120,134,211,0,0.04,0.07,0.31,0.21,8.86
09058800,"East Meadow Creek near Minturn, CO",0.34,0.80,1.11,4.28,2.81,75.0,17.3,37.1,44.5,44.1,51.2,78.7,0.05,0.11,0.14,0.35,0.30,3.50
09059500,"Piney River near state bridge, CO",5.81,15.0,22.0,77.6,62.0,"1,300",61.4,135,190,181,229,288,3.84,8.85,11.5,23.2,22.5,217
09060550,"Rock Creek at Crater, CO",1.21,7.01,11.0,32.9,20.0,499,35.3,76.0,91.0,87.0,98.0,135,0.44,1.80,2.56,5.06,4.21,47.5
09060770,"Rock Creek at McCoy, CO",1.51,17.0,26.0,65.6,49.8,"1,270",94.0,198,225,220,250,445,1.69,11.0,16.6,28.2,26.8,347
09063000,"Eagle River at Red Cliff, CO",2.31,11.0,14.0,40.7,32.0,696,62.9,108,121,116,127,166,1.04,3.68,4.74,10.2,9.28,118
09063200,"Wearyman Creek near Red Cliff, CO",0.73,1.61,2.41,8.39,6.41,115,109,160,170,167,178,204,0.37,0.75,1.12,3.20,2.83,36.1
09063400,"Turkey Creek near Red Cliff, CO",1.51,3.81,6.01,22.6,17.0,409,106,152,169,164,178,198,0.78,1.84,2.74,8.19,6.86,117
09063900,"Missouri Creek near Gold Park, CO",0.27,1.11,2.61,8.02,8.11,172,12.4,17.6,21.8,21.8,25.5,34.9,0.02,0.08,0.16,0.36,0.39,6.61
09064000,"Homestake Creek at Gold Park, CO",2.31,7.21,12.0,30.0,30.0,602,12.2,19.1,21.7,21.5,24.2,27.8,0.17,0.45,0.75,1.44,1.57,23.5
09064500,"Homestake Creek near Red Cliff, CO",1.41,9.71,18.0,45.9,47.0,831,16.1,21.0,24.5,24.2,27.1,33.0,0.11,0.69,1.24,2.55,2.70,42.7
09064600,"Eagle River near Minturn, CO",11.0,31.0,46.0,126,115,"1,540",47.9,81.5,102,103,121,186,4.49,10.1,13.1,25.5,26.2,201
09065100,"Cross Creek near Minturn, CO",0.76,5.01,13.0,52.5,51.0,568,13.0,22.4,30.1,30.6,38.9,61.9,0.13,0.53,1.09,2.72,3.12,20.3
09065500,"Gore Creek at upper station, near Minturn, CO",1.51,3.81,8.01,30.2,24.0,447,16.1,29.6,37.3,36.1,43.0,55.2,0.20,0.44,0.80,2.04,1.95,23.5
09066000,"Black Gore Creek near Minturn, CO",1.11,2.91,4.51,17.1,11.0,275,33.3,85.0,122,130,168,317,0.47,1.08,1.62,4.15,3.50,73.0
09066100,"Bighorn Creek near Minturn, CO",0.41,1.11,2.61,10.3,8.91,171,18.7,31.1,38.0,37.0,43.9,51.0,0.05,0.14,0.27,0.75,0.75,9.48
09066150,"Pitkin Creek near Minturn, CO",0.41,1.81,3.61,11.9,9.91,303,21.6,38.3,46.9,47.2,56.9,79.5,0.09,0.27,0.45,1.06,1.04,18.0
09066200,"Booth Creek near Minturn, CO",0.48,1.21,2.61,11.6,8.81,215,28.0,51.0,64.3,64.4,78.0,109,0.11,0.25,0.46,1.32,1.27,16.6
09066300,"Middle Creek near Minturn, CO",0,0.41,0.84,5.05,2.81,143,n/a,112,128,126,142,271,0,0.15,0.29,1.20,0.84,22.6
09066310,"Gore Creek, lower station, at Vail, CO",5.91,15.0,26.0,118,84.8,"1,450",49.9,111,159,160,212,308,4.88,8.24,11.6,26.5,26.1,203
09066400,"Red Sandstone Creek near Minturn, CO",0.41,1.21,1.81,8.89,5.01,215,24.7,48.1,55.9,52.8,59.2,70.8,0.08,0.19,0.28,0.88,0.66,14.3
09067000,"Beaver Creek at Avon, CO",0.56,2.71,4.31,13.0,11.0,242,36.4,113,164,169,227,348,0.37,1.62,2.10,3.42,3.55,25.2
09067005,"Eagle River at Avon, CO",32.0,64.0,111,386,361,"3,800",52.3,110,167,164,220,284,22.7,38.0,50.7,95.9,107,542
09067200,"Lake Creek near Edwards, CO",5.41,13.0,23.0,58.2,54.0,845,49.3,171,245,235,305,395,5.65,10.9,14.9,22.2,24.8,133
09070000,"Eagle River below Gypsum, CO",78.0,191,262,607,547,"6,580",77.8,321,525,476,631,"1,060",223,318,372,442,484,"1,440"
09070500,"Colorado River near Dotsero, CO",350,995,"1,310","2,070","1,890","20,800",88.4,234,273,261,300,457,432,794,966,"1,160","1,210","4,960"
09071300,"Grizzly Creek near Glenwood Springs, CO",0,0.47,1.31,13.4,3.41,290,n/a,150,162,167,179,234,0,0.23,0.56,4.61,1.39,91.3
09073300,"Roaring Fork River above Difficult Creek near Aspen, CO",7.41,17.0,28.0,77.6,55.0,"1,930",14.6,35.4,43.4,41.5,49.4,61.5,1.21,2.20,3.25,5.74,5.30,75.9
09073400,"Roaring Fork River near Aspen, CO",14.0,32.0,45.0,110,84.0,"1,900",16.0,39.8,49.1,46.6,55.6,70.8,2.68,4.74,5.99,9.50,8.97,82.2
09074000,"Hunter Creek near Aspen, CO",2.11,6.51,13.0,43.3,38.0,786,14.9,29.2,38.5,37.6,45.8,64.4,0.32,0.80,1.37,2.91,3.09,38.9
09074800,"Castle Creek above Aspen, CO",5.51,12.0,20.0,47.9,52.0,456,98.2,167,212,203,240,290,4.32,7.77,11.4,19.6,23.5,121
09075700,"Maroon Creek above Aspen, CO",10.0,23.0,35.0,74.2,80.0,520,110,239,342,327,412,578,13.9,24.6,33.1,44.9,52.8,185
09080400,"Fryingpan River near Ruedi, CO",28.0,110,149,181,208,"1,200",107,120,135,137,153,186,10.3,38.9,52.0,64.3,75.2,387
09081600,"Crystal River above Avalanche Creek, near Redstone, CO",21.0,60.0,103,301,280,"2,980",80.7,191,293,291,394,597,33.8,62.8,82.9,132,147,649
09085000,"Roaring Fork River at Glenwood Springs, CO",180,508,664,"1,200","1,150","11,800",99.7,274,350,328,393,596,259,523,648,790,873,"3,170"
09085100,"Colorado River below Glenwood Springs, CO",870,"1,690","2,180","3,620","3,570","30,200",101,332,454,435,546,855,"1,650","2,380","2,760","3,080","3,390","8,590"
09089500,"West Divide Creek near Raven, CO",0,2.81,5.81,44.8,31.0,932,n/a,161,232,225,280,424,0,1.98,4.03,16.9,13.6,330
09093000,"Parachute Creek near Parachute, CO",0,3.11,7.81,49.0,26.0,"1,700",n/a,474,545,531,585,878,0,4.56,11.5,55.2,36.0,"1,620"
09093700,"Colorado River near De Beque, CO",914,"1,730","2,160","3,890","3,540","37,400",124,411,553,519,642,931,"2,240","2,940","3,270","3,850","4,030","12,500"
09095500,"Colorado River near Cameo, CO",871,"1,800","2,300","3,830","3,490","38,000",122,431,564,536,662,953,"2,060","3,180","3,520","4,000","4,180","12,500"
09105000,"Plateau Creek near Cameo, CO",7.41,70.0,107,197,162,"4,080",124,337,416,400,470,723,13.3,84.4,120,151,158,"1,370"
09106150,"Colorado River below Grand Valley Divide near Palisade, CO",58.0,"1,210","1,670","2,910","2,480","29,600",157,386,531,499,621,"1,020",151,"1,660","2,530","2,800","3,370","12,500"
09107000,"Taylor River at Taylor Park, CO",19.0,38.0,53.0,108,104,"1,120",34.7,55.6,64.1,61.3,68.0,85.9,4.19,6.76,9.55,14.9,15.9,105
09109000,"Taylor River below Taylor Park Reservoir, CO",50.0,99.0,148,210,282,"1,830",43.2,52.9,57.4,57.3,61.5,71.0,8.28,16.2,22.4,30.7,40.1,221
09110000,"Taylor River at Almont, CO",60.0,143,236,334,411,"2,480",54.5,71.5,77.8,77.5,84.8,97.1,15.7,32.6,49.4,64.3,79.5,365
09111500,"Slate River near Crested Butte, CO",4.11,18.0,29.0,134,111,"1,390",38.9,70.3,93.0,91.9,115,149,1.55,5.55,7.54,20.7,21.3,147
09112200,"East River below Cement Creek, near Crested Butte, CO",32.0,64.0,102,322,284,"3,610",73.2,128,163,150,174,205,17.0,30.0,45.4,94.4,99.3,712
09112500,"East River at Almont, CO",31.0,72.0,117,333,306,"4,020",83.7,151,173,164,185,249,18.0,35.0,55.4,115,125,967
09114500,"Gunnison River near Gunnison, CO",116,260,390,746,831,"6,830",78.8,113,122,120,127,170,51.4,87.4,131,219,260,"1,540"
09115500,"Tomichi Creek at Sargents, CO",4.81,23.0,32.0,58.4,50.0,838,61.1,90.9,99.6,96.9,104,133,1.72,6.38,8.59,13.2,12.1,138
09118450,"Cochetopa Creek below Rock Creek, near Parlin, CO",4.01,20.0,31.0,43.9,48.0,954,56.0,119,134,135,149,251,2.72,7.94,11.4,14.1,16.4,144
09119000,"Tomichi Creek at Gunnison, CO",3.41,77.0,109,182,182,"4,040",107,157,165,168,175,295,2.72,35.3,48.4,75.4,81.6,"1,160"
09124500,"Lake Fork at Gateview, CO",21.0,56.0,92.0,234,226,"2,350",52.6,85.1,101,97.3,111,142,8.05,16.8,25.2,47.9,52.2,353
09126000,"Cimarron River near Cimarron, CO",6.01,16.0,29.0,99.3,113,"1,330",47.9,62.2,76.0,75.2,87.5,101,1.48,3.84,6.32,15.9,19.7,178
09128000,"Gunnison River below Gunnison Tunnel, CO",247,584,877,"1,260","1,600","10,100",94.6,111,115,117,123,139,83.5,187,278,382,486,"2,660"
09128500,"Smith Fork near Crawford, CO",1.71,8.01,12.0,49.6,40.0,882,44.1,77.2,88.7,90.6,99.4,163,0.58,2.14,3.27,9.34,8.31,153
09132500,"North Fork Gunnison River near Somerset, CO",21.0,72.0,200,502,454,"7,080",65.6,80.0,97.5,99.0,119,138,6.89,22.4,47.6,108,105,"1,340"
09134000,"Minnesota Creek near Paonia, CO",1.11,3.31,6.81,20.6,21.0,340,110,183,278,307,426,641,0.85,3.50,5.87,11.0,11.5,114
09135900,"Leroux Creek at Hotchkiss, CO",1.21,5.41,8.41,28.7,15.0,"1,110",89.5,643,759,745,877,"1,750",3.59,12.4,18.3,27.2,29.8,330
09143000,"Surface Creek near Cedaredge, CO",1.11,5.21,17.0,46.4,64.0,695,49.8,63.5,84.4,88.1,113,144,0.35,1.62,3.89,8.36,10.8,94.0
09143500,"Surface Creek at Cedaredge, CO",0.86,4.41,13.0,31.4,35.0,520,57.4,70.4,96.1,103,137,182,0.26,1.54,3.34,6.61,7.12,94.4
09144250,"Gunnison River at Delta, CO",295,843,"1,370","2,070","2,490","20,300",165,357,459,469,557,962,454,"1,180","1,690","2,050","2,600","10,400"
09146200,"Uncompahgre River near Ridgway, CO",28.0,55.0,84.0,168,181,"1,630",133,326,451,423,529,693,52.3,78.4,103,136,160,585
09147000,"Dallas Creek near Ridgway, CO",0.26,18.0,26.0,40.6,45.0,600,221,413,474,482,516,"1,410",0.99,24.2,32.7,43.1,50.6,358
09147025,"Uncompahgre River below Ridgway Reservoir, CO",28.0,68.0,109,195,296,"1,110",307,362,417,423,471,630,33.8,72.6,121,207,309,"1,360"
09147500,"Uncompahgre River at Colona, CO",25.0,87.0,130,267,347,"3,360",211,313,396,388,458,573,36.1,106,142,227,298,"1,920"
09149500,"Uncompahgre River at Delta, CO",15.0,152,220,321,385,"4,520",342,982,"1,200","1,200","1,440","2,570",104,566,741,852,"1,030","4,170"
09152500,"Gunnison River near Grand Junction, CO",443,"1,250","1,980","2,580","2,910","23,200",145,452,595,619,757,"1,590","1,080","2,460","3,160","3,280","3,860","9,880"
09153290,"Reed Wash near Mack, CO",2.41,6.11,54.0,41.9,68.0,120,587,"1,050","1,270","2,010","3,300","4,540",25.8,54.7,142,137,206,315
09153300,"Reed Wash near Loma, CO",4.61,13.0,122,97.1,165,244,740,"1,190","1,500","2,350","3,840","5,080",58.4,133,350,365,578,827
09163490,"Salt Creek near Mack, CO",4.21,15.0,86.0,93.8,154,500,658,"1,210","1,520","2,620","4,340","7,430",84.4,175,347,352,475,"1,030"
09163500,Colorado River near Colorado-Utah State Line,"1,280","3,200","4,410","6,700","6,600","68,300",139,509,655,635,778,"1,300","3,310","6,650","8,000","8,570","9,530","25,900"
09165000,"Dolores River below Rico, CO",4.81,25.0,47.0,138,124,"1,730",57.7,141,199,213,277,495,6.27,17.8,25.9,43.0,47.6,269
09166500,"Dolores River at Dolores, CO",11.0,75.0,158,461,434,"5,540",71.4,143,187,197,257,427,12.7,49.7,81.1,154,169,"1,190"
09166950,"Lost Canyon Creek near Dolores, CO",0,0.02,0.91,21.0,4.51,555,n/a,106,196,311,481,990,0,0.04,0.46,2.91,1.38,47.6
09169500,"Dolores River at Bedrock, CO",0.41,46.0,73.0,359,178,"8,000",165,380,505,508,627,"1,730",1.91,71.3,101,267,203,"3,920"
09171100,"Dolores River near Bedrock, CO",1.11,51.0,78.0,370,190,"7,460",94.4,951,"2,040","2,410","3,170","16,400",42.3,312,484,597,797,"2,440"
09172500,"San Miguel River near Placerville, CO",38.0,76.0,108,244,287,"1,740",136,207,262,250,294,347,32.8,59.9,75.7,131,162,640
09177000,"San Miguel River at Uravan, CO",9.41,80.0,138,389,404,"5,440",147,392,606,581,726,"1,740",44.1,157,228,351,434,"2,160"
09180000,"Dolores River near Cisco, UT",1.51,148,238,850,675,"14,000",104,572,"1,110","1,350","1,850","6,830",24.9,603,916,"1,130","1,360","6,200"
09180500,"Colorado River near Cisco, UT","1,100","3,200","4,360","7,010","6,960","69,500",148,538,713,704,877,"1,630","3,930","7,360","8,820","9,510","10,600","27,800"
09183000,"Courthouse Wash near Moab, UT",0,0.10,0.18,1.51,0.51,240,n/a,542,555,551,562,592,0,0.15,0.27,2.04,0.75,306
09184000,"Mill Creek near Moab, UT",1.71,6.21,8.61,12.9,12.0,460,78.8,148,164,162,181,221,0.98,2.91,3.83,4.93,5.09,109
09205000,"New Fork River near Big Piney, WY",100,250,346,815,759,"9,110",36.6,91.3,119,110,131,185,49.2,84.8,115,170,189,899
09209400,"Green River near La Barge, WY",188,530,767,"1,550","1,670","18,800",138,195,225,227,263,315,138,363,474,802,902,"7,340"
09211200,"Green River below Fontenelle Reservoir, WY",271,749,"1,100","1,570","1,550","14,000",147,206,237,240,270,346,184,513,700,916,925,"6,150"
09215550,"Big Sandy River below Farson, WY",0,13.0,24.0,48.1,46.0,"1,410",n/a,"1,160","1,440","1,640","1,840","28,900",0,64.0,95.3,123,144,"1,130"
09216050,"Big Sandy River at Gasson Bridge, near Eden, WY",7.01,38.0,55.0,75.9,81.0,"5,530",187,"2,060","2,540","2,600","3,090","7,840",148,312,372,397,453,"2,790"
09217000,"Green River near Green River, WY",200,744,"1,100","1,600","1,580","14,300",148,308,359,366,419,666,330,818,"1,060","1,300","1,390","6,010"
09222000,"Blacks Fork near Lyman, WY",2.21,19.0,50.0,148,130,"3,190",384,915,"1,320","1,450","1,870","4,210",24.9,98.6,177,311,328,"3,450"
09224700,"Blacks Fork near Little America, WY",0,37.0,110,289,282,"6,970",n/a,714,939,"1,070","1,230","6,500",0,120,273,479,569,"6,760"
09234500,"Green River near Greendale, UT",536,"1,160","1,810","2,140","2,760","12,300",346,417,459,452,485,548,617,"1,430","2,170","2,570","3,270","13,700"
09235600,"Pot Creek above Diversions, near Vernal, UT",0,0,0.28,4.07,1.51,185,n/a,n/a,168,186,250,331,0,0,0.13,1.09,0.57,39.2
