File with 8 tables (1 table in each tab) with row headers in column A and column headers in rows 4 through 6.,,,,,,,,,,
"Table 8.  Income in 2004 by Educational Attainment of the Population 18 Years and Over, by Age, Sex, Race Alone, And Hispanic Origin:  2005",,,,,,,,,,
(leading dots indicate sub-parts),,,,,,,,,,
"Both Sexes
18 Years and Over",Total,High School,,College,,,,,,
...Mean Income,"$51,307 ","$26,473 ","$37,837 ","$44,087 ","$46,336 ","$77,154 ","$66,662 ","$83,799 ","$135,263 ","$115,030 "
....Standard Error,$241 ,$402 ,$298 ,$357 ,$407 ,$608 ,$579 ,"$1,491 ","$3,635 ","$3,955 "
.Non-Hispanic White Alone,,,,,,,,,,
..With Income,"71,135","3,527","21,646","13,228","7,551","25,181","16,302","6,158","1,504","1,216"
...Median Income,"$41,212 ","$25,461 ","$32,473 ","$37,353 ","$41,020 ","$58,125 ","$52,120 ","$63,534 ",$100000+,"$86,825 "
....Standard Error,$89 ,$281 ,$172 ,$218 ,$267 ,$552 ,$222 ,$873 ,"$24,588 ","$2,162 "
...Mean Income,"$54,493 ","$30,668 ","$39,161 ","$45,093 ","$47,225 ","$78,128 ","$67,574 ","$84,773 ","$136,043 ","$114,271 "
....Standard Error,$274 ,$736 ,$332 ,$398 ,$438 ,$633 ,$605 ,"$1,557 ","$3,756 ","$3,860 "
.Black Alone,,,,,,,,,,
..With Income,"11,619","1,114","4,407","2,438","1,083","2,574","1,838",556,103,75
...Median Income,"$30,595 ","$21,141 ","$26,132 ","$30,960 ","$32,161 ","$46,034 ","$41,514 ","$52,981 ","$76,465 ","$75,819 "
....Standard Error,$148 ,$312 ,$203 ,$240 ,$671 ,$677 ,$354 ,"$2,156 ","$4,073 ","$7,296 "
...Mean Income,"$36,882 ","$26,753 ","$28,901 ","$34,412 ","$37,370 ","$57,064 ","$49,864 ","$66,238 ","$111,748 ","$89,772 "
....Standard Error,$389 ,"$2,045 ",$310 ,$475 ,$800 ,"$1,178 ","$1,048 ","$2,155 ","$15,293 ","$11,710 "
.Asian Alone,,,,,,,,,,
..With Income,"4,635",328,894,512,331,"2,568","1,612",616,166,173
...Median Income,"$41,524 ","$22,070 ","$27,268 ","$32,757 ","$36,725 ","$55,903 ","$49,537 ","$72,219 ","$95,427 ","$80,389 "
....Standard Error,$381 ,$604 ,$689 ,"$1,138 ","$1,133 ",$988 ,"$1,052 ","$1,983 ","$18,244 ","$2,633 "
...Mean Income,"$56,195 ","$25,012 ","$34,728 ","$38,481 ","$48,095 ","$72,233 ","$58,730 ","$88,029 ","$125,697 ","$90,303 "
....Standard Error,"$1,183 ","$1,193 ","$1,327 ","$1,487 ","$3,250 ","$1,928 ","$1,832 ","$5,211 ","$10,739 ","$5,451 "
.Hispanic (of any race),,,,,,,,,,
..With Income,"13,590","4,682","4,210","2,123",808,"1,765","1,269",354,79,61
...Median Income,"$26,042 ","$20,307 ","$25,570 ","$31,666 ","$33,460 ","$46,854 ","$42,219 ","$56,006 ","$80,295 ",(B)
....Standard Error,$172 ,$162 ,$264 ,$400 ,"$1,204 ",$979 ,"$1,083 ","$2,402 ","$18,399 ",(B)
...Mean Income,"$33,377 ","$23,156 ","$30,434 ","$37,047 ","$37,963 ","$60,990 ","$53,058 ","$65,226 ","$116,434 ",(B)
....Standard Error,$398 ,$422 ,$636 ,$648 ,$922 ,"$2,040 ","$1,865 ","$3,405 ","$13,936 ",(B)
Footnotes:,,,,,,,,,,
Note:  The symbol B means that the base is too small to show the derived measure.,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2005 Annual Social and Economic Supplement",,,,,,,,,,
"Internet Release Date: October 26, 2006",,,,,,,,,,

"Table 8.  Income in 2004 by Educational Attainment of the Population 18 Years and Over, by Age, Sex, Race Alone, And Hispanic Origin:  2005",,,,,,,,,,
(leading dots indicate sub-parts),,,,,,,,,,
"Both Sexes
25 Years and Over",Total,High School,,College,,,,,,
,,Not a Graduate,"Graduate, including GED",Some College no degree,Associate's degree,Bachelor's or more,,,,
,,,,,,Total,Bachelor's degree,Master's degree,Professional degree,Doctoral degree
All Workers,,,,,,,,,,
.All Races,,,,,,,,,,
..With Income,"177,364","24,498","56,359","30,195","15,643","50,666","32,969","12,522","2,867","2,306"
...Median Income,"$26,494 ","$13,442 ","$21,826 ","$27,137 ","$30,984 ","$45,029 ","$40,545 ","$50,796 ","$74,668 ","$72,120 "
....Standard Error,$70 ,$107 ,$89 ,$150 ,$187 ,$242 ,$157 ,$248 ,"$1,856 ","$1,934 "
...Mean Income,"$37,156 ","$17,503 ","$27,426 ","$33,913 ","$36,309 ","$59,676 ","$51,296 ","$65,423 ","$104,585 ","$92,431 "
....Standard Error,$138 ,$159 ,$159 ,$261 ,$284 ,$380 ,$368 ,$889 ,"$2,535 ","$2,474 "
.White Alone,,,,,,,,,,
..With Income,"147,031","19,494","46,828","24,966","13,178","42,563","27,541","10,645","2,443","1,933"
...Median Income,"$27,009 ","$13,958 ","$22,194 ","$27,447 ","$31,526 ","$45,538 ","$40,975 ","$50,750 ","$75,642 ","$72,576 "
....Standard Error,$80 ,$115 ,$100 ,$211 ,$209 ,$212 ,$185 ,$285 ,"$1,537 ","$2,130 "
...Mean Income,"$38,164 ","$17,830 ","$28,137 ","$34,691 ","$36,995 ","$60,907 ","$52,529 ","$66,066 ","$105,885 ","$95,017 "
....Standard Error,$156 ,$159 ,$183 ,$288 ,$311 ,$427 ,$414 ,$991 ,"$2,791 ","$2,852 "
.Non-Hispanic White Alone,,,,,,,,,,
..With Income,"128,812","12,249","41,741","22,436","12,109","40,276","25,939","10,170","2,317","1,848"
...Median Income,"$28,551 ","$13,087 ","$22,310 ","$27,464 ","$31,772 ","$45,925 ","$41,222 ","$50,821 ","$76,412 ","$74,065 "
....Standard Error,$142 ,$141 ,$110 ,$233 ,$220 ,$218 ,$192 ,$295 ,"$1,041 ","$1,968 "
...Mean Income,"$39,716 ","$17,763 ","$28,361 ","$35,009 ","$37,431 ","$61,469 ","$53,015 ","$66,566 ","$106,956 ","$95,014 "
....Standard Error,$172 ,$194 ,$193 ,$314 ,$332 ,$442 ,$430 ,"$1,027 ","$2,894 ","$2,800 "
.Black Alone,,,,,,,,,,
..With Income,"19,284","3,496","7,026","3,611","1,582","3,567","2,508",822,136,101
...Median Income,"$22,254 ","$11,171 ","$20,172 ","$25,921 ","$27,161 ","$40,863 ","$37,150 ","$49,667 ","$72,749 ","$74,207 "
....Standard Error,$166 ,$196 ,$243 ,$413 ,$626 ,$361 ,$586 ,"$1,405 ","$5,409 ","$8,712 "
...Mean Income,"$28,383 ","$15,770 ","$22,941 ","$29,142 ","$31,078 ","$49,500 ","$43,213 ","$56,719 ","$99,052 ","$79,930 "
....Standard Error,$286 ,$685 ,$253 ,$678 ,$695 ,$934 ,$865 ,"$1,738 ","$12,025 ","$9,198 "
.Asian Alone,,,,,,,,,,
..With Income,"7,303",845,"1,420",776,484,"3,775","2,390",915,241,229
...Median Income,"$30,065 ","$12,648 ","$20,741 ","$25,588 ","$29,916 ","$44,543 ","$38,179 ","$53,314 ","$61,357 ","$69,218 "
....Standard Error,$555 ,$612 ,$645 ,$801 ,"$1,612 ","$1,559 ","$1,416 ","$3,095 ","$11,115 ","$6,909 "
...Mean Income,"$42,297 ","$16,244 ","$27,134 ","$30,693 ","$38,841 ","$56,669 ","$46,117 ","$66,745 ","$101,671 ","$79,125 "
....Standard Error,$827 ,$664 ,$959 ,"$1,266 ","$2,489 ","$1,436 ","$1,361 ","$3,803 ","$8,367 ","$4,870 "
.Hispanic (of any race),,,,,,,,,,
..With Income,"19,564","7,654","5,480","2,793","1,146","2,488","1,747",515,134,90
...Median Income,"$20,743 ","$15,469 ","$21,395 ","$27,145 ","$28,703 ","$38,104 ","$35,933 ","$49,613 ","$43,318 ","$47,558 "
....Standard Error,$140 ,$147 ,$247 ,$536 ,$990 ,"$1,114 ",$644 ,"$2,422 ","$3,953 ","$4,920 "
...Mean Income,"$27,389 ","$18,079 ","$26,113 ","$32,230 ","$32,248 ","$51,166 ","$45,130 ","$55,831 ","$83,066 ","$93,462 "
....Standard Error,$334 ,$286 ,$586 ,$890 ,$812 ,"$1,688 ","$1,708 ","$3,007 ","$9,519 ","$22,418 "
Year Round Full Time Workers,,,,,,,,,,
.All Races,,,,,,,,,,
..With Income,"94,583","8,606","28,453","16,597","9,398","31,528","20,399","7,711","1,873","1,543"
...Median Income,"$39,781 ","$22,301 ","$31,756 ","$37,815 ","$40,423 ","$56,955 ","$51,557 ","$62,830 ",$100000+,"$83,633 "
....Standard Error,$162 ,$118 ,$93 ,$297 ,$226 ,$232 ,$185 ,$708 ,"$17,226 ","$1,805 "
...Mean Income,"$51,711 ","$27,098 ","$37,770 ","$44,983 ","$46,405 ","$76,135 ","$65,769 ","$82,883 ","$132,876 ","$110,563 "
....Standard Error,$223 ,$390 ,$257 ,$349 ,$385 ,$545 ,$522 ,"$1,322 ","$3,305 ","$3,371 "
.White Alone,,,,,,,,,,
..With Income,"77,403","7,016","23,078","13,527","7,799","25,982","16,680","6,457","1,575","1,268"
...Median Income,"$40,814 ","$22,413 ","$32,833 ","$39,691 ","$41,455 ","$58,917 ","$52,766 ","$63,019 ",$100000+,"$86,387 "
....Standard Error,$85 ,$159 ,$256 ,$325 ,$251 ,$541 ,$468 ,$799 ,"$24,125 ","$2,079 "
...Mean Income,"$53,473 ","$27,098 ","$39,310 ","$46,569 ","$47,608 ","$78,528 ","$68,236 ","$83,967 ","$135,650 ","$115,213 "
....Standard Error,$255 ,$361 ,$306 ,$389 ,$424 ,$624 ,$601 ,"$1,496 ","$3,642 ","$3,969 "
.Non-Hispanic White Alone,,,,,,,,,,
..With Income,"66,167","3,092","19,713","11,856","7,097","24,407","15,560","6,135","1,499","1,211"
...Median Income,"$42,488 ","$26,579 ","$34,786 ","$40,266 ","$42,042 ","$60,109 ","$53,985 ","$63,690 ",$100000+,"$86,893 "
....Standard Error,$148 ,$296 ,$259 ,$191 ,$269 ,$319 ,$560 ,$871 ,"$24,548 ","$2,169 "
...Mean Income,"$56,623 ","$31,367 ","$40,585 ","$47,534 ","$48,477 ","$79,561 ","$69,233 ","$84,953 ","$136,453 ","$114,459 "
....Standard Error,$288 ,$570 ,$342 ,$431 ,$456 ,$650 ,$628 ,"$1,563 ","$3,763 ","$3,874 "
.Black Alone,,,,,,,,,,
..With Income,"10,731","1,019","3,985","2,175","1,036","2,515","1,783",552,103,75
...Median Income,"$31,278 ","$21,428 ","$26,635 ","$31,703 ","$32,459 ","$46,422 ","$41,780 ","$52,497 ","$76,465 ","$75,819 "
....Standard Error,$150 ,$318 ,$208 ,$235 ,"$1,120 ",$669 ,$349 ,"$1,942 ","$4,073 ","$7,296 "
...Mean Income,"$38,075 ","$27,445 ","$29,683 ","$35,910 ","$37,957 ","$57,599 ","$50,414 ","$66,246 ","$111,748 ","$89,772 "
....Standard Error,$416 ,"$2,230 ",$331 ,$505 ,$826 ,"$1,201 ","$1,074 ","$2,172 ","$15,293 ","$11,710 "
.Asian Alone,,,,,,,,,,
..With Income,"4,439",316,835,446,317,"2,524","1,573",611,166,173
...Median Income,"$42,234 ","$22,253 ","$27,781 ","$34,430 ","$36,962 ","$56,441 ","$50,087 ","$72,463 ","$95,427 ","$80,389 "
....Standard Error,$661 ,$884 ,"$1,136 ","$1,559 ","$2,123 ","$1,013 ",$886 ,"$2,058 ","$18,244 ","$2,633 "
...Mean Income,"$57,456 ","$25,308 ","$35,567 ","$40,071 ","$48,985 ","$72,865 ","$59,334 ","$88,363 ","$125,697 ","$90,303 "
....Standard Error,"$1,229 ","$1,231 ","$1,410 ","$1,674 ","$3,379 ","$1,958 ","$1,872 ","$5,254 ","$10,739 ","$5,451 "
.Hispanic (of any race),,,,,,,,,,
..With Income,"12,019","4,147","3,579","1,827",746,"1,718","1,223",354,79,61
...Median Income,"$27,278 ","$20,751 ","$26,930 ","$35,098 ","$35,262 ","$47,383 ","$43,031 ","$56,006 ","$80,295 ",(B)
....Standard Error,$181 ,$170 ,$274 ,$802 ,$928 ,"$1,205 ","$1,494 ","$2,402 ","$18,399 ",(B)
...Mean Income,"$34,967 ","$23,832 ","$31,812 ","$39,497 ","$39,269 ","$61,718 ","$53,782 ","$65,226 ","$116,434 ",(B)
....Standard Error,$427 ,$471 ,$612 ,$720 ,$969 ,"$2,087 ","$1,923 ","$3,405 ","$13,936 ",(B)
Footnotes:,,,,,,,,,,
Note:  The symbol B means that the base is too small to show the derived measure.,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2005 Annual Social and Economic Supplement",,,,,,,,,,
"Internet Release Date: October 26, 2006",,,,,,,,,,

"Table 8.  Income in 2004 by Educational Attainment of the Population 18 Years and Over, by Age, Sex, Race Alone, And Hispanic Origin:  2005",,,,,,,,,,
(leading dots indicate sub-parts),,,,,,,,,,
"Both Sexes
25 to 64 Years",Total,High School,,College,,,,,,
,,Not a Graduate,"Graduate, including GED",Some College no degree,Associate's degree,Bachelor's or more,,,,
,,,,,,Total,Bachelor's degree,Master's degree,Professional degree,Doctoral degree
All Workers,,,,,,,,,,
.All Races,,,,,,,,,,
..With Income,"143,180","15,819","43,889","25,474","13,858","44,137","28,999","10,855","2,380","1,901"
...Median Income,"$30,447 ","$15,884 ","$25,109 ","$29,701 ","$32,273 ","$47,250 ","$41,943 ","$52,188 ","$80,665 ","$76,424 "
....Standard Error,$66 ,$119 ,$105 ,$261 ,$183 ,$195 ,$163 ,$241 ,"$1,434 ","$1,054 "
...Mean Income,"$40,305 ","$19,376 ","$29,642 ","$35,168 ","$37,724 ","$62,185 ","$53,446 ","$68,471 ","$111,926 ","$97,301 "
....Standard Error,$161 ,$203 ,$190 ,$275 ,$300 ,$420 ,$407 ,$988 ,"$2,870 ","$2,850 "
.White Alone,,,,,,,,,,
..With Income,"117,029","12,561","35,507","20,683","11,595","36,681","23,960","9,146","2,010","1,563"
...Median Income,"$31,179 ","$16,232 ","$25,893 ","$30,385 ","$33,295 ","$48,228 ","$42,891 ","$52,292 ","$81,862 ","$77,178 "
....Standard Error,$75 ,$129 ,$124 ,$163 ,$407 ,$319 ,$407 ,$336 ,"$1,433 ","$1,457 "
...Mean Income,"$41,654 ","$19,799 ","$30,766 ","$36,179 ","$38,509 ","$63,760 ","$54,997 ","$69,318 ","$113,809 ","$101,187"
....Standard Error,$184 ,$228 ,$223 ,$303 ,$328 ,$476 ,$462 ,"$1,109 ","$3,172 ","$3,347 "
.Non-Hispanic White Alone,,,,,,,,,,
..With Income,"100,679","6,411","30,817","18,286","10,596","34,566","22,453","8,714","1,904","1,494"
...Median Income,"$32,727 ","$15,854 ","$26,436 ","$30,596 ","$33,942 ","$48,917 ","$43,624 ","$52,403 ","$82,509 ","$78,044 "
....Standard Error,$179 ,$263 ,$137 ,$176 ,$434 ,$323 ,$420 ,$451 ,"$1,977 ","$1,592 "
...Mean Income,"$43,791 ","$20,475 ","$31,334 ","$36,658 ","$39,031 ","$64,456 ","$55,636 ","$69,915 ","$114,941  $","100,790"
....Standard Error,$206 ,$329 ,$239 ,$334 ,$351 ,$494 ,$482 ,"$1,152 ","$3,291 ","$3,272 "
.Black Alone,,,,,,,,,,
..With Income,"16,500","2,217","6,243","3,331","1,452","3,255","2,326",726,108,93
...Median Income,"$25,005 ","$12,902 ","$21,154 ","$26,651 ","$28,008 ","$41,457 ","$38,015 ","$50,704 ","$75,802 ","$75,335 "
....Standard Error,$237 ,$475 ,$231 ,$415 ,$790 ,$355 ,$865 ,$651 ,"$3,351 ","$6,724 "
...Mean Income,"$30,062 ","$16,799 ","$23,779 ","$29,750 ","$31,896 ","$50,648 ","$44,116 ","$58,738 ","$110,012 ","$81,235 "
....Standard Error,$302 ,$603 ,$273 ,$718 ,$728 ,$997 ,$913 ,"$1,835 ","$14,625 ","$9,819 "
.Asian Alone,,,,,,,,,,
..With Income,"6,345",536,"1,177",692,437,"3,501","2,216",854,222,207
...Median Income,"$32,261 ","$16,469 ","$23,322 ","$26,471 ","$32,228 ","$46,033 ","$40,045 ","$57,013 ","$62,831 ","$74,362 "
....Standard Error,$468 ,$636 ,"$1,212 ",$735 ,"$1,705 ",$824 ,"$1,133 ","$3,989 ","$10,919 ","$4,927 "
...Mean Income,"$45,263 ","$19,291 ","$28,741 ","$31,264 ","$41,430 ","$58,048 ","$47,271 ","$69,026 ","$102,203 ","$80,548 "
....Standard Error,$926 ,$921 ,"$1,088 ","$1,294 ","$2,709 ","$1,523 ","$1,444 ","$4,038 ","$8,870 ","$5,045 "
.Hispanic (of any race),,,,,,,,,,
..With Income,"17,583","6,500","5,055","2,651","1,072","2,304","1,647",468,113,75
...Median Income,"$21,767 ","$16,506 ","$21,984 ","$27,914 ","$29,829 ","$39,669 ","$36,524 ","$50,411 ","$44,707 ","$52,004 "
....Standard Error,$138 ,$147 ,$247 ,$727 ,$846 ,"$1,076 ",$637 ,"$1,812 ","$6,637 ","$7,924 "
...Mean Income,"$28,682 ","$19,240 ","$26,845 ","$32,877 ","$33,174 ","$52,425 ","$45,986 ","$57,235 ","$89,982 ","$106,598"
....Standard Error,$366 ,$329 ,$628 ,$931 ,$848 ,"$1,796 ","$1,783 ","$3,245 ","$10,837 ","$26,532 "
Year Round Full Time Workers,,,,,,,,,,
.All Races,,,,,,,,,,
..With Income,"92,071","8,236","27,637","16,192","9,242","30,762","20,008","7,517","1,771","1,465"
...Median Income,"$39,608 ","$22,167 ","$31,695 ","$37,513 ","$40,385 ","$56,706 ","$51,465 ","$62,568 ",$100000+,"$82,888 "
....Standard Error,$164 ,$120 ,$94 ,$242 ,$228 ,$231 ,$186 ,$647 ,"$17,170 ","$1,775 "
...Mean Income,"$51,319 ","$26,478 ","$37,467 ","$44,460 ","$46,166 ","$75,574 ","$65,484 ","$82,706 ","$130,837 ","$109,940 "
....Standard Error,$222 ,$339 ,$250 ,$329 ,$375 ,$548 ,$526 ,"$1,336 ","$3,361 ","$3,443 "
.White Alone,,,,,,,,,,
..With Income,"75,262","6,737","22,359","13,158","7,666","25,339","16,363","6,288","1,491","1,196"
...Median Income,"$40,729 ","$22,264 ","$32,699 ","$39,387 ","$41,407 ","$58,317 ","$52,491 ","$62,670 ",$100000+,"$85,881 "
....Standard Error,$85 ,$135 ,$243 ,$336 ,$252 ,$549 ,$377 ,$723 ,"$24,755 ","$2,360 "
...Mean Income,"$53,055 ","$26,742 ","$38,971 ","$46,011 ","$47,321 ","$77,870 ","$67,894 ","$83,739 ","$133,227 ","$114,442 "
....Standard Error,$255 ,$371 ,$297 ,$366 ,$409 ,$627 ,$606 ,"$1,510 ","$3,682 ","$4,074 "
.Non-Hispanic White Alone,,,,,,,,,,
..With Income,"64,197","2,886","19,047","11,502","6,973","23,787","15,258","5,968","1,418","1,141"
...Median Income,"$42,416 ","$26,273 ","$34,705 ","$40,110 ","$41,986 ","$59,677 ","$53,698 ","$63,358 ",$100000+,"$86,558 "
....Standard Error,$95 ,$296 ,$278 ,$227 ,$270 ,$497 ,$557 ,$878 ,"$25,183 ","$2,441 "
...Mean Income,"$56,196 ","$30,857 ","$40,239 ","$46,928 ","$48,145 ","$78,891 ","$68,905 ","$84,727 ","$133,832 ","$113,567 "
....Standard Error,$287 ,$597 ,$332 ,$405 ,$440 ,$653 ,$634 ,"$1,579 ","$3,804 ","$3,961 "
.Black Alone,,,,,,,,,,
..With Income,"10,488",955,"3,911","2,148","1,016","2,456","1,746",542,94,73
...Median Income,"$31,230 ","$21,274 ","$26,586 ","$31,662 ","$32,467 ","$46,416 ","$41,700 ","$52,524 ","$76,306 ",(B)
....Standard Error,$151 ,$320 ,$210 ,$236 ,"$1,244 ",$674 ,$356 ,"$1,948 ","$3,860 ",(B)
...Mean Income,"$37,762 ","$24,707 ","$29,604 ","$35,776 ","$37,952 ","$57,491 ","$50,275 ","$66,174 ","$115,243 ",(B)
....Standard Error,$381 ,"$1,262 ",$335 ,$494 ,$832 ,"$1,222 ","$1,089 ","$2,187 ","$16,665 ",(B)
.Asian Alone,,,,,,,,,,
..With Income,"4,356",297,823,445,316,"2,473","1,543",600,159,169
...Median Income,"$42,199 ","$22,429 ","$27,763 ","$34,400 ","$36,963 ","$56,384 ","$50,089 ","$72,806 ","$85,412 ","$80,612 "
....Standard Error,$608 ,"$1,104 ","$1,133 ","$1,562 ","$2,122 ","$1,007 ",$895 ,"$2,030 ","$10,512 ","$2,517 "
...Mean Income,"$57,400 ","$25,032 ","$35,465 ","$39,882 ","$48,973 ","$72,832 ","$59,414 ","$88,805 ","$123,253 ","$91,093 "
....Standard Error,"$1,246 ","$1,230 ","$1,419 ","$1,649 ","$3,387 ","$1,988 ","$1,901 ","$5,334 ","$11,134 ","$5,547 "
.Hispanic (of any race),,,,,,,,,,
..With Income,"11,828","4,064","3,525","1,811",737,"1,688","1,205",348,75,59
...Median Income,"$27,231 ","$20,723 ","$26,842 ","$34,922 ","$35,348 ","$47,175 ","$42,509 ","$55,767 ","$80,896 ",(B)
....Standard Error,$181 ,$172 ,$275 ,$873 ,$877 ,"$1,123 ","$1,379 ","$2,342 ","$14,752 ",(B)
...Mean Income,"$34,866 ","$23,771 ","$31,657 ","$39,408 ","$39,478 ","$61,382 ","$53,391 ","$64,800 ","$119,630 ",(B)
....Standard Error,$431 ,$479 ,$617 ,$726 ,$972 ,"$2,110 ","$1,926 ","$3,442 ","$14,518 ",(B)
Footnotes:,,,,,,,,,,
Note:  The symbol B means that the base is too small to show the derived measure.,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2005 Annual Social and Economic Supplement",,,,,,,,,,
"Internet Release Date: October 26, 2006",,,,,,,,,,

"Table 8.  Income in 2004 by Educational Attainment of the Population 18 Years and Over, by Age, Sex, Race Alone, And Hispanic Origin:  2005",,,,,,,,,,
(leading dots indicate sub-parts),,,,,,,,,,
"Both Sexes
25 to 34 Years",Total,High School,,College,,,,,,
