Table with row headers in column B and NAICS codes in column A with column headers in rows 4 and 5,,,,,,,,,,,,,,
Table 1. Selected Services - Estimated Quarterly Revenue for Employer Firms,,,,,,,,,,,,,,
"[Estimates have not been adjusted for seasonal variation, holiday or trading-day differences, or price changes.  Estimates are based on data from the Quarterly Services Survey and have been adjusted using results of the 2005 Service Annual Survey.  Data beginning with the third quarter of 2006 are based on a new sample.  All estimates are based on the 2002 North American Industry Classification System (NAICS).  NAICS codes marked with an asterisk (*) correspond to a previously published level, that will not be included in future releases.  For additional information see www.census.gov/qss]",,,,,,,,,,,,,,
5413 pt,Architectural and related services 7 ,"16,449","16,607",X,X,X,X,-1.0,X,X,X,X,X,X
54133,Engineering services ,"44,854","43,806",X,X,X,X,2.4,X,X,X,X,X,X
5415,Computer systems design and related services ,"51,436","48,919","49,754","48,591","48,360","47,494",5.1,-1.7,6.4,3.0,"198,700","189,042",5.1
5416,"Management, scientific, and technical  ",,,,,,,,,,,,,
,  consulting services ,"39,230","38,553","39,040","38,611","37,154","34,254",1.8,-1.2,5.6,12.6,"155,434","137,931",12.7
5418,Advertising and related services ,"19,785","18,163","18,394","17,533","18,062","16,604",8.9,-1.3,9.5,9.4,"73,875","66,865",10.5
541 pt*,"Other professional, scientific, and ",,,,,,,,,,,,,
,  technical services8 ,"106,157","94,187","93,979","85,930","98,077","86,580",12.7,0.2,8.2,8.8,"380,253","356,641",6.6
541 pt,"Other professional, scientific, and ",,,,,,,,,,,,,
,  technical services 9 ,"41,423","40,559",X,X,X,X,2.1,X,X,X,X,X,X
,,,,,,,,,,,,,,
56,Administrative and support and waste  ,,,,,,,,,,,,,
,  management and remediation services 10 ,"144,085","142,551",X,X,X,X,1.1,X,X,X,X,X,X
56 pt,"Administrative and support and waste
   management and remediation services ",,,,,,,,,,,,,
,   (except landscape services) 11 ,"132,038","130,432","130,928","126,567","127,927","122,968",1.2,-0.4,3.2,6.1,"519,965","485,430",7.1
561*,Administrative and support services 12 ,"114,570","113,050","113,754","110,660","110,357","106,084",1.3,-0.6,3.8,6.6,"452,034","421,562",7.2
561,Administrative and support services 13 ,"126,617","125,169",X,X,X,X,1.2,X,X,X,X,X,X
5613,Employment services ,"44,763","42,665","42,666","41,666","42,220","40,863",4.9,Z,6.0,4.4,"171,760","160,318",7.1
5615,Travel arrangement and reservation services ,"8,498","8,660","8,826","7,713","7,590","7,506",-1.9,-1.9,12.0,15.4,"33,697","30,334",11.1
561 pt*,Other administrative and support services 14 ,"61,309","61,725","62,262","61,281","60,547","57,715",-0.7,-0.9,1.3,6.9,"246,577","230,910",6.8
561 pt,Other administrative and support services 15 ,"73,356","73,844",X,X,X,X,-0.7,X,X,X,X,X,X
562,Waste management and remediation services  ,"17,468","17,382","17,174","15,907","17,570","16,884",0.5,1.2,-0.6,2.9,"67,931","63,868",6.4
,,,,,,,,,,,,,,
62 pt,Selected health care services 16  ,"203,142","199,533","199,162","196,898","191,649","190,185",1.8,0.2,6.0,4.9,"798,735","757,146",5.5
622,Hospitals ,"164,190","160,524","160,301","158,438","153,926","153,316",2.3,0.1,6.7,4.7,"643,453","610,517",5.4
623,Nursing and residential care facilities .,"38,952","39,009","38,861","38,460","37,723","36,869",-0.1,0.4,3.3,5.8,"155,282","146,629",5.9
(p) Preliminary estimate.     (r) Revised estimate.       X  Not applicable.       Z  Less than .05 percent.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
(*) NAICS definition corresponds to a previously published level.  Data associated with this NAICS definition will not be published in future releases.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"(1) Estimates are based on the 2002 NAICS codes.  For a full description of the NAICS codes used in this table, see www.census.gov/epcd/www/naics.html.  For information linking the 1997 NAICS to the corresponding 2002 NAICS, see www.census.gov/qss.",,,,,,,,,,,,,,
"(2) Includes NAICS 51113 (book publishers), 51114 (directory and mailing list publishers), and 51119 (other publishers).",,,,,,,,,,,,,,
"(3) Includes NAICS 5173 (telecommunications resellers), 5174 (satellite telecommunications), and 5179 (other telecommunications).",,,,,,,,,,,,,,
"(4) Includes all of NAICS 54 (professional, scientific, and technical services) including 54132 (landscape architectural services) and 54194 (veterinary services).",,,,,,,,,,,,,,
"(5) Includes all of NAICS 54 (professional, scientific, and technical services) except 54132 (landscape architectural services) and 54194 (veterinary services).",,,,,,,,,,,,,,
"(6) Includes all of NAICS 5413 (architectural, engineering, and related services) except 54132 (landscape architectural services).",,,,,,,,,,,,,,
"(7) Includes all of NAICS 5413 (architectural, engineering, and related services) except 54133 (engineering services).",,,,,,,,,,,,,,
"(8) Includes NAICS 5411 (legal services), 5414 (specialized design services), 5417 (scientific research and development services), and 5419 (other professional, scientific, and technical services except 54194 (veterinary services)).",,,,,,,,,,,,,,
"(9) Includes NAICS 5414 (specialized design services), 5417 (scientific research and development services), and 5419 (other professional, scientific, and technical services including 54194 (veterinary services)).",,,,,,,,,,,,,,
(10) Includes all of NAICS 56 (administrative and support and waste management and remediation services including 56173 (landscaping services)).,,,,,,,,,,,,,,
(11) Includes all of NAICS 56 (administrative and support and waste management and remediation services except 56173 (landscaping services)).,,,,,,,,,,,,,,
(12) Includes all of NAICS 561 (administrative and support services except 56173 (landscaping services)).,,,,,,,,,,,,,,
(13) Includes all of NAICS 561 (administrative and support services).,,,,,,,,,,,,,,
"(14) Includes NAICS 5611 (office administrative services), 5612 (facilities support services), 5614 (business support services), 5616 (investigation and security services), 5617 (services to buildings and dwellings except 56173 (landscaping services)), and 5619 (other support services).",,,,,,,,,,,,,,
"(15) Includes NAICS 5611 (office administrative services), 5612 (facilities support services), 5614 (business support services), 5616 (investigation and security services), 5617 (services to buildings and dwellings including 56173 (landscaping services)), and 5619 (other support services).",,,,,,,,,,,,,,
(16) Includes NAICS 622 (hospitals) and 623 (nursing and residential care facilities).,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Note: Sector totals and subsector totals may include data for kinds of business not shown.  Table 2 provides estimated measures of sampling variability.  Data users who create their own estimates using data from this report should cite the U.S. Census Bureau as the source of the original data only.  Additional information on confidentiality protection, sampling error, nonsampling error, sample design, and definitions may be found at www.census.gov/svsd/www/qssreliability.html.",,,,,,,,,,,,,,


Table with row headers in column B and NAICS codes in column A with column headers in rows 4 and 5,,,,,,,,,,,,,,
Table 2. Selected Services - Estimated Measures of Sampling Variability,,,,,,,,,,,,,,
[Estimates are shown as percents and are based on data from the Quarterly Services Survey],,,,,,,,,,,,,,
"2002
NAICS
code",Kind of business,"Median coefficient 1
of variation for quarterly total revenue","Median standard error 1
for percent change",,Coefficient of variation for year to date,Standard error for percent change,,,,,,,,
,,,Ratio of two consecutive quarters,Current quarter to current quarter last year,2006,2006 year-to-date from 2005 year-to-date,,,,,,,,
51,Information ,1.3,0.4,1.7,1.0,1.2,,,,,,,,
511,Publishing industries (except Internet) ,2.8,1.2,X,X,X,,,,,,,,
51111,Newspaper publishers ,6.6,2.5,X,X,X,,,,,,,,
51112,Periodical publishers ,8.3,1.6,X,X,X,,,,,,,,
5111 pt,"Book, directory and mailing list, and  ",,,,,,,,,,,,,
,  other publishers  ,2.4,1.8,X,X,X,,,,,,,,
5112,Software publishers ,4.0,2.4,8.9,2.8,6.7,,,,,,,,
512,Motion picture and sound recording industries ,4.7,2.2,4.8,4.2,3.4
515,Broadcasting (except Internet) ,2.7,0.5,X,X,X
5151,Radio and television broadcasting ,4.8,0.9,7.2,3.5,5.4
5152,Cable and other subscription programming ,1.7,0.1,X,X,X
"516, 5181, 519","Internet publishing and broadcasting, Internet 
  service providers and web search portals,    ",,,,,
,  and other information services ,5.1,2.4,X,X,X
517,Telecommunications ,1.8,0.5,X,X,X
5171,Wired telecommunications carriers ,3.2,0.4,3.8,2.4,2.9
5172,Wireless telecommunications carriers ,,,,,
,  (except satellite) ,1.6,1.4,1.8,1.2,1.2
5175,Cable and other program distribution  ,2.0,0.2,X,X,X
517 pt,Other telecommunications ,4.3,1.6,22.7,5.0,14.7
5182,"Data processing, hosting, and related services ",5.8,1.4,9.7,4.6,7.2
,,,,,,
54,"Professional, scientific, and technical services   ",3.0,1.0,X,X,X
54 pt,"Professional, scientific, and technical services 
  (except landscape architectural services ",,,,,
,   and veterinary services)   ,3.2,1.0,4.3,2.5,3.1
5411,Legal services ,8.0,3.8,X,X,X
5412,"Accounting, tax preparation, bookkeeping,",,,,,
,  and payroll services ,7.9,3.4,11.8,5.7,8.6
5413 pt*,"Architectural, engineering, and related services  ",6.4,1.7,8.6,4.9,7.0
5413,"Architectural, engineering, and related services  ",6.2,1.7,X,X,X
5413 pt,Architectural and related services  ,12.4,4.0,X,X,X
54133,Engineering services ,9.1,1.9,X,X,X
5415,Computer systems design and related services ,5.4,1.7,8.0,4.4,6.2
5416,"Management, scientific, and technical  ",,,,,
,  consulting services ,5.8,1.3,7.0,5.8,5.4
5418,Advertising and related services ,4.0,1.7,5.1,3.3,3.5
541 pt*,"Other professional, scientific, and ",,,,,
,  technical services ,4.7,1.8,7.1,4.0,           Z
541 pt,"Other professional, scientific, and ",,,,,
,  technical services  ,4.3,1.6,X,X,X
,,,,,,
56,Administrative and support and waste  ,,,,,
,  management and remediation services  ,3.7,1.4,X,X,X
56 pt,"Administrative and support and waste
   management and remediation services ",,,,,
,   (except landscape services)  ,3.8,1.6,6.2,2.7,4.8
561*,Administrative and support services  ,3.7,1.7,6.4,2.7,4.9
561,Administrative and support services  ,3.6,1.5,X,X,X
5613,Employment services ,6.7,1.3,12.7,5.7,9.2
5615,Travel arrangement and reservation services ,6.0,2.8,9.0,4.8,6.5
561 pt*,Other administrative and support services  ,4.8,2.5,6.2,3.6,4.8
561 pt,Other administrative and support services  ,4.6,2.2,X,X,X
562,Waste management and remediation services  ,8.4,1.5,13.3,6.4,10.4
,,,,,,
62 pt,Selected health care services   ,3.3,0.6,4.2,2.5,3.1
622,Hospitals ,4.7,0.8,5.3,3.5,4.0
623,Nursing and residential care facilities .,3.4,0.8,5.9,2.7,4.3
X  Not applicable.       Z  Less than .05 percent.,,,,,,
,,,,,,
(*) NAICS definition corresponds to a previously published level.  Data associated with this NAICS definition will not be published in future releases.,,,,,,
,,,,,,
(1) The medians are based on estimates from the second quarter of 2006 through the fourth quarter of 2006.,,,,,,
,,,,,,
"Note: The measures of sampling variability shown in this table may be overstated.  They will be recomputed prior to the next release.  Additional information on confidentiality protection, sampling error, nonsampling error, sample design, and definitions may be found at www.census.gov/svsd/www/qssreliability.html.",,,,,,


Table with row headers in column B and NAICS codes in column A with column headers in rows 4 and 5,,,,,
Table 3. Information (NAICS 51) - Estimated Quarterly Revenue for Employer Firms by Class of Customer,,,,,
"[Estimates have not been adjusted for seasonal variation, holiday or trading-day differences, or price changes.  Estimates are based on data from the Quarterly Services Survey and have been adjusted using results of the 2005 Service Annual Survey.  Data beginning with the third quarter of 2006 are based on a new sample.  All estimates are based on the 2002 North American Industry Classification System (NAICS).  For additional information see www.census.gov/qss]",,,,,
"2002
 NAICS
 code 1",Kind of business,Revenue (Millions of dollars),,Percent of revenue,
,,"4Q
2006
(p)","3Q
2006
(r)","4Q
2006
(p)","3Q
2006
(r)"
51,Information,,,,
,...Total revenue ,"283,134","266,301",100.0,100.0
,...Class of customer ,,,,
,…....Government ,"13,226","13,328",4.7,5.0
,…....Business ,"173,496","161,459",61.3,60.6
,……Household consumers and individual users,"96,412","91,514",34.1,34.4
,,,,,
511,Publishing industries (except Internet),,,,
,...Total revenue ,"75,958","71,323",100.0,100.0
,...Class of customer ,,,,
,…....Government ,"4,781","5,144",6.3,7.2
,…....Business ,"59,569","56,278",78.4,78.9
,……Household consumers and individual users,"11,608","9,901",15.3,13.9
,,,,,
51111,Newspaper publishers,,,,
,...Total revenue ,"13,211","11,618",100.0,100.0
,...Class of customer ,,,,
,…....Government ,           S,S,           S,S
,…....Business ,"10,490","9,184",79.4,79.0
,……Household consumers and individual users,"2,519","2,253",19.1,19.4
,,,,,
51112,Periodical publishers ,,,,
,...Total revenue ,"12,724","12,449",100.0,100.0
,...Class of customer ,,,,
,…....Government ,S,S,S,S
,…....Business ,"10,009","9,715",78.7,78.0
,……Household consumers and individual users,"2,460","2,506",19.3,20.1
,,,,,
5111 pt,"Book, directory and mailing list, and other publishers 2 ",,,,
,...Total revenue ,"14,015","14,582",100.0,100.0
,...Class of customer ,,,,
,…....Government ,"1,640","2,407",11.7,16.5
,…....Business ,"9,185","9,299",65.5,63.8
,……Household consumers and individual users,"3,190","2,876",22.8,19.7
,,,,,
5112,Software publishers,,,,
,...Total revenue ,"36,008","32,674",100.0,100.0
,...Class of customer ,,,,
,…....Government ,"2,684","2,328",7.5,7.1
,…....Business ,"29,885","28,080",83.0,85.9
,……Household consumers and individual users,S,S,S,S
,,,,,
512,Motion picture and sound recording industries,,,,
,...Total revenue ,"27,271","22,432",100.0,100.0
,...Class of customer ,,,,
,…....Government ,S,           S,S,           S
,…....Business ,"21,255","16,912",77.9,75.4
,……Household consumers and individual users,"5,774","5,374",21.2,24.0
,,,,,
515,Broadcasting (except Internet) ,,,,
,...Total revenue ,"26,411","23,233",100.0,100.0
,...Class of customer ,,,,
,…....Government ,           S,           S,           S,           S
,…....Business ,"24,677","21,738",93.4,93.6
,……Household consumers and individual users,"1,324","1,186",5.0,5.1
,,,,,
5151,Radio and television broadcasting ,,,,
,...Total revenue ,"16,076","13,537",100.0,100.0
,...Class of customer ,,,,
,…....Government ,           S,           S,           S,           S
,…....Business ,"15,085","12,751",93.8,94.2
,……Household consumers and individual users,S,S,S,S
,,,,,
5152,Cable and other subscription programming ,,,,
,...Total revenue ,"10,335","9,696",100.0,100.0
,...Class of customer ,,,,
,…....Government ,           S,           S,           S,           S
,…....Business ,           S,S,           S,S
,……Household consumers and individual users,710,677,6.9,7.0
,,,,,
"516, 5181, 519","Internet publishing and broadcasting, Internet 
  service providers and web search portals,  
  and other information services ",,,,
,...Total revenue ,"13,388","12,181",100.0,100.0
,...Class of customer ,,,,
,…....Government ,           S,S,           S,S
,…....Business ,           S,           S,           S,           S
,……Household consumers and individual users,"3,975","3,552",29.7,29.2
,,,,,
517,Telecommunications,,,,
,...Total revenue ,"121,783","119,260",100.0,100.0
,...Class of customer ,,,,
,…....Government ,"4,051","4,038",3.3,3.4
,…....Business ,"46,179","45,639",37.9,38.3
,……Household consumers and individual users,"71,553","69,583",58.8,58.3
,,,,,
5171,Wired telecommunications carriers,,,,
,...Total revenue ,"49,642","49,877",100.0,100.0
,...Class of customer ,,,,
,…....Government ,"1,954","1,988",3.9,4.0
,…....Business ,"24,893","24,938",50.1,50.0
,……Household consumers and individual users,"22,795","22,951",45.9,46.0
,,,,,
5172,"Wireless telecommunications carriers 
  (except satellite)",,,,
,...Total revenue ,"41,755","40,853",100.0,100.0
,...Class of customer ,,,,
,…....Government ,           S,           S,           S,           S
,…....Business ,           S,           S,           S,           S
,……Household consumers and individual users,           S,           S,           S,           S
,,,,,
5175,Cable and other program distribution,,,,
,...Total revenue ,"24,426","22,785",100.0,100.0
,...Class of customer ,,,,
,…....Government ,           S,           S,           S,           S
,…....Business ,"3,289","3,086",13.5,13.5
,……Household consumers and individual users,"20,942","19,519",85.7,85.7
,,,,,
517 pt,Other telecommunications 3,,,,
,...Total revenue ,"5,960","5,745",100.0,100.0
,...Class of customer ,,,,
,…....Government ,564,541,9.5,9.4
,…....Business ,S,S,S,S
,……Household consumers and individual users,           S,           S,           S,           S
,,,,,
5182,"Data processing, hosting, and related services",,,,
,...Total revenue ,"18,323","17,872",100.0,100.0
,...Class of customer ,,,,
,…....Government ,           S,"1,821",           S,10.2
,…....Business ,"14,436","14,133",78.8,79.1
,……Household consumers and individual users,           S,           S,           S,           S
(p) Preliminary estimate.     (r) Revised estimate.       ,,,,,
,,,,,
S  Estimate does not meet publication standards because of high sampling variability or poor response quality.  Unpublished estimates derived from this table by subtraction are subject to these same limitations and should not be attributed to the U.S. Census Bureau.,,,,,
,,,,,
"(1) Estimates are based on the 2002 NAICS codes.  For a full description of the NAICS codes used in this table, see www.census.gov/epcd/www/naics.html.  For information linking the 1997 NAICS to the corresponding 2002 NAICS, see www.census.gov/qss.",,,,,
"(2) Includes NAICS 51113 (book publishers), 51114 (directory and mailing list publishers), and 51119 (other publishers).",,,,,
"(3) Includes NAICS 5173 (telecommunications resellers), 5174 (satellite telecommunications), and 5179 (other telecommunications).",,,,,
,,,,,
"Note: Sector totals and subsector totals may include data for kinds of business not shown.  Detail percents may not add to 100 percent due to rounding.  Table 4 provides estimated measures of sampling variability.  Data users who create their own estimates using data from this report should cite the U.S. Census Bureau as the source of the original data only.  Additional information on confidentiality protection, sampling error, nonsampling error, sample design, and definitions may be found at www.census.gov/svsd/www/qssreliability.html.",,,,,



Table with row headers in column B and NAICS codes in column A with column headers in rows 4 and 5,,,,,
Table 4. Information (NAICS 51) - Estimated Measures of Sampling Variability,,,,,
[Estimates are shown as percents and are based on data from the Quarterly Services Survey],,,,,
"2002
NAICS
code",Kind of business,Median coefficient 1 of variation for quarterly total ,Standard error for percent of total,,
,,Estimate,"4Q
2006","3Q
2006",
51,Information,,,,
,...Total revenue ,1.3,           X,           X,
,...Class of customer ,,,,
,…....Government ,3.4,0.1,0.1,
,…....Business ,1.5,0.4,0.4
,……Household consumers and individual users,1.5,0.4,0.4
,,,,
511,Publishing industries (except Internet),,,
,...Total revenue ,2.8,           X,           X
,...Class of customer ,,,
,…....Government ,4.0,0.3,0.2
,…....Business ,3.1,0.6,0.5
,……Household consumers and individual users,2.9,0.5,0.4
,,,,
51111,Newspaper publishers,,,
,...Total revenue ,6.6,           X,           X
,...Class of customer ,,,
,…....Government ,S,           S,S
,…....Business ,6.4,0.6,0.6
,……Household consumers and individual users,7.6,0.6,0.7
,,,,
51112,Periodical publishers ,,,
,...Total revenue ,8.3,           X,           X
,...Class of customer ,,,
,…....Government ,S,S,S
,…....Business ,8.8,1.9,1.7
,……Household consumers and individual users,11.9,1.8,1.6
,,,,
5111 pt,"Book, directory and mailing list, and other publishers  ",,,
,...Total revenue ,2.4,           X,           X
,...Class of customer ,,,
,…....Government ,4.4,0.5,0.7
,…....Business ,3.5,1.0,1.0
,……Household consumers and individual users,3.1,0.8,0.7
,,,,
5112,Software publishers,,,
,...Total revenue ,4.0,           X,           X
,...Class of customer ,,,
,…....Government ,5.5,0.7,0.4
,…....Business ,4.5,0.9,0.7
,……Household consumers and individual users,S,S,S
,,,,
512,Motion picture and sound recording industries,,,
,...Total revenue ,4.7,           X,           X
,...Class of customer ,,,
,…....Government ,           S,S,           S
,…....Business ,4.9,0.8,1.2
,……Household consumers and individual users,6.7,0.9,1.2
,,,,
515,Broadcasting (except Internet) ,,,
,...Total revenue ,2.7,           X,           X
,...Class of customer ,,,
,…....Government ,           S,           S,           S
,…....Business ,2.8,0.5,0.4
,……Household consumers and individual users,4.5,0.2,0.2
,,,,
5151,Radio and television broadcasting ,,,
,...Total revenue ,4.8,           X,           X
,...Class of customer ,,,
,…....Government ,           S,           S,           S
,…....Business ,4.9,0.7,0.7
,……Household consumers and individual users,S,S,S
,,,,
5152,Cable and other subscription programming ,,,
,...Total revenue ,1.7,           X,           X
,...Class of customer ,,,
,…....Government ,           S,           S,           S
,…....Business ,           S,           S,S
,……Household consumers and individual users,4.9,0.2,0.2
,,,,
"516, 5181, 519","Internet publishing and broadcasting, Internet 
  service providers and web search portals,  
  and other information services ",,,
,...Total revenue ,5.1,           X,           X
,...Class of customer ,,,
,…....Government ,           S,           S,S
,…....Business ,           S,           S,           S
,……Household consumers and individual users,4.1,1.0,1.0
,,,,
517,Telecommunications,,,
,...Total revenue ,1.8,           X,           X
,...Class of customer ,,,
,…....Government ,3.4,0.1,0.1
,…....Business ,1.8,0.3,0.3
,……Household consumers and individual users,2.0,0.3,0.3
,,,,
5171,Wired telecommunications carriers,,,
,...Total revenue ,3.2,           X,           X
,...Class of customer ,,,
,…....Government ,5.0,0.1,0.1
,…....Business ,2.0,0.7,0.7
,……Household consumers and individual users,4.6,0.7,0.7
,,,,
5172,"Wireless telecommunications carriers 
  (except satellite)",,,
,...Total revenue ,1.6,           X,           X
,...Class of customer ,,,
,…....Government ,           S,           S,           S
,…....Business ,           S,           S,           S
,……Household consumers and individual users,           S,           S,           S
,,,,
5175,Cable and other program distribution,,,
,...Total revenue ,2.0,           X,           X
,...Class of customer ,,,
,…....Government ,           S,           S,           S
,…....Business ,12.6,1.2,1.3
,……Household consumers and individual users,1.3,1.3,1.3
,,,,
517 pt,Other telecommunications ,,,
,...Total revenue ,4.3,           X,           X
,...Class of customer ,,,
,…....Government ,3.5,0.5,0.5
,…....Business ,S,S,S
,……Household consumers and individual users,           S,           S,           S
,,,,
5182,"Data processing, hosting, and related services",,,
,...Total revenue ,5.8,           X,           X
,...Class of customer ,,,
,…....Government ,13.0,           S,1.2
,…....Business ,7.2,2.7,2.4
,……Household consumers and individual users,           S,           S,           S
X  Not applicable.       ,,,,
,,,,
S  Corresponding estimate in Table 3 does not meet publication standards because of high sampling variability or poor response quality.,,,,
,,,,
(1) The medians are based on estimates from the second quarter of 2006 through the fourth quarter of 2006.,,,,
,,,,
"Note: The measures of sampling variability shown in this table may be overstated.  They will be recompiled prior to the next release.  Additional information on confidentiality protection, sampling error, nonsampling error, sample design, and definitions may be found at www.census.gov/svsd/www/qssreliability.html.",,,,


Table with row headers in column B and NAICS codes in column A with column headers in rows 4 and 5,,,,,
"Table 5. Professional, Scientific, and Technical Services (NAICS 54) - Estimated Quarterly Revenue for Employer Firms by Class of Customer",,,,,
"[Estimates have not been adjusted for seasonal variation, holiday or trading-day differences, or price changes.  Estimates are based on data from the Quarterly Services Survey and have been adjusted using results of the 2005 Service Annual Survey.  Data beginning with the third quarter of 2006 are based on a new sample.  All estimates are based on the 2002 North American Industry Classification System (NAICS).  NAICS codes marked with an asterisk (*) correspond to a previously published level, that will not be included in future releases.  For additional information see www.census.gov/qss]",,,,,
"2002
 NAICS
 code 1",Kind of business,Revenue (Millions of dollars),,Percent of revenue,
,,"4Q
2006
(p)","3Q
2006
(r)","4Q
2006
(p)","3Q
2006
(r)"
54,"Professional, scientific, and technical services2",,,,
,...Total revenue ,"308,502","288,618",100.0,100.0
,...Class of customer ,,,,
,…....Government ,"59,032","58,219",19.1,20.2
,…....Business,"216,235","200,315",70.1,69.4
,……Household consumers and individual users ,"33,235","30,084",10.8,10.4
,,,,,
54 pt,"Professional, scientific, and technical services 
  (except landscape architectural services
  and veterinary services) 3",,,,
,...Total revenue ,"302,722","282,412",100.0,100.0
,...Class of customer ,,,,
,…....Government ,"58,958","58,111",19.5,20.6
,…....Business,"214,646","198,601",70.9,70.3
,……Household consumers and individual users ,"29,118","25,700",9.6,9.1
,,,,,
5411,Legal services,,,,
,...Total revenue ,"69,469","58,743",100.0,100.0
,...Class of customer ,,,,
,…....Government ,           S,S,           S,S
,…....Business,"47,196","40,715",67.9,69.3
,……Household consumers and individual users ,"17,757","13,607",25.6,23.2
,,,,,
5412,"Accounting, tax preparation, bookkeeping, and
  payroll services",,,,
,...Total revenue ,"25,856","23,268",100.0,100.0
,...Class of customer ,,,,
,…....Government ,           S,           S,           S,           S
,…....Business,S,           S,S,           S
,……Household consumers and individual users ,           S,           S,           S,           S
,,,,,
5413 pt*,"Architectural, engineering, and related services 4",,,,
,...Total revenue ,"60,258","59,322",100.0,100.0
,...Class of customer ,,,,
,…....Government ,"20,549","20,221",34.1,34.1
,…....Business,"37,377","37,088",62.0,62.5
,……Household consumers and individual users ,"2,332",           S,3.9,           S
,,,,,
5413,"Architectural, engineering, and related services",,,,
,...Total revenue ,"61,303","60,413",100.0,100.0
,...Class of customer ,,,,
