state,      county,   tract,      occvac,item,       acs_tal,  acs_talse,  cen_tal,cen_talse,  diff_tal, diff_talse, acs_sal,acs_salse,  cen_sal,  cen_salse,  diff_sal,diff_salse, acs_ial,  acs_ialse,  cen_eal,cen_ealse,  diff_ial, diff_ialse
24,009,000000,O,sincins,7.4570,0.8250,13.1535,0.6707,-5.6965,1.0632,5.4290,0.6419,11.1387,0.7089,-5.7097,0.9563,11.3760,2.1705,20.2703,1.6856,-8.8943,2.7481
24,009,000000,O,sinctax,3.6954,0.6105,12.4656,0.6555,-8.7702,0.8957,1.9316,0.3626,10.2519,0.6834,-8.3203,0.7736,7.1039,1.6654,20.1474,1.6818,-13.0435,2.3669
24,009,000000,O,sinsd,18.7986,0.9543,30.2884,0.8349,-11.4898,1.2680,13.4162,0.9719,26.2032,0.9067,-12.7870,1.3292,29.9825,2.6448,44.3299,1.9081,-14.3474,3.2612
24,009,000000,O,smeals,4.5591,1.6192,7.4820,1.2239,-2.9229,2.0297,5.1872,2.2871,8.1841,1.7001,-2.9969,2.8498,4.1712,2.1840,6.5789,1.7438,-2.4077,2.7948
24,009,000000,O,smhcost,28.9346,11.9736,58.8235,6.3860,-29.8889,13.5701,46.6523,20.6022,58.6207,7.7364,-11.9684,22.0069,6.3361,44.2796,59.2593,11.3122,-52.9232,45.7017
24,009,000000,O,smortg,1.6007,0.3126,5.6055,0.4179,-4.0048,0.5219,1.5678,0.3033,4.7534,0.4387,-3.1856,0.5333,1.6691,0.6545,8.5567,1.0744,-6.8876,1.2580
24,009,000000,O,smortg2d,12.5290,1.8367,15.4985,1.3602,-2.9695,2.2855,9.3928,1.5980,13.6638,1.4288,-4.2710,2.1436,18.8754,4.4815,23.6559,3.7277,-4.7805,5.8292
24,009,000000,O,smortgd,7.8028,0.8202,15.4926,0.7180,-7.6898,1.0901,5.1611,0.6104,11.8836,0.7291,-6.7225,0.9509,12.9079,2.2532,28.0098,1.8829,-15.1019,2.9364
24,009,000000,O,smovein,2.5877,0.3503,4.4999,0.3265,-1.9122,0.4789,2.9322,0.3919,3.6832,0.3433,-0.7510,0.5210,1.9876,0.6802,6.9099,0.7940,-4.9223,1.0455
24,009,000000,O,soildx,9.4601,0.7230,19.5913,0.6128,-10.1312,0.9478,11.3104,0.8824,21.2576,0.7309,-9.9472,1.1458,6.2369,1.3321,14.6739,1.0859,-8.4370,1.7186
24,009,000000,O,srent,4.9164,1.6575,14.8201,1.6528,-9.9037,2.3407,6.1235,2.3956,11.5090,1.9793,-5.3855,3.1075,4.1712,2.1840,19.0789,2.7637,-14.9077,3.5225
24,009,000000,O,sroom,2.4219,0.4086,5.8165,0.3839,-3.3946,0.5607,2.5574,0.3948,5.2092,0.4217,-2.6518,0.5776,2.1860,0.9134,7.6087,0.8645,-5.4227,1.2576
24,009,000000,O,staxd,15.2306,0.9508,25.7901,0.7949,-10.5595,1.2393,10.0228,0.8258,21.9846,0.8539,-11.9618,1.1879,26.0515,2.5600,38.9691,1.8732,-12.9176,3.1721
24,009,000000,O,stel,0.5828,0.1972,2.9868,0.2341,-2.4040,0.3061,0.7165,0.2160,2.7887,0.2620,-2.0722,0.3396,0.3499,0.6554,3.4938,0.5020,-3.1439,0.8256
24,009,000000,O,stenure,1.1708,0.2705,3.6156,0.2940,-2.4448,0.3995,1.3191,0.2941,2.5783,0.2888,-1.2592,0.4122,0.9126,0.5059,6.6770,0.7815,-5.7644,0.9309
24,009,000000,O,svalue,6.6647,0.7025,9.6424,0.5071,-2.9777,0.8664,4.2789,0.5251,8.4967,0.5436,-4.2178,0.7558,11.6222,1.9100,13.6082,1.2453,-1.9860,2.2801
24,009,000000,O,swaterdx,7.5394,0.6236,18.3533,0.5976,-10.8139,0.8637,8.2871,0.7516,19.7843,0.7117,-11.4972,1.0351,6.2369,1.1335,14.1304,1.0690,-7.8935,1.5580
24,009,000000,O,syrblt,4.9978,0.5358,6.2095,0.3950,-1.2117,0.6656,3.3981,0.4466,4.4462,0.3904,-1.0481,0.5932,7.7844,1.2355,11.4130,1.0346,-3.6286,1.6114
24,009,000000,V,sacres,10.1215,2.8467,4.4444,0.7383,5.6771,2.9409,,,,,,,,,,,,
24,009,000000,V,sbedrm,17.2153,3.8543,21.8310,2.3420,-4.6157,4.5100,,,,,,,,,,,,
24,009,000000,V,sbiz,79.9439,10.5809,3.2099,0.6314,76.7340,10.5997,,,,,,,,,,,,
24,009,000000,V,sbldgsz,2.1432,1.3238,0.7042,0.6755,1.4390,1.4862,,,,,,,,,,,,
24,009,000000,V,sckitch,8.5726,2.5109,8.2160,1.3053,0.3566,2.8299,,,,,,,,,,,,
24,009,000000,V,scplumb,7.9143,2.4144,7.9812,1.4806,-0.0669,2.8322,,,,,,,,,,,,
24,009,000000,V,sisvac,2.9276,1.5848,1.1737,0.9594,1.7539,1.8526,,,,,,,,,,,,
24,009,000000,V,smeals,21.4712,36.4210,38.5965,7.9078,-17.1253,37.2696,,,,,,,,,,,,
24,009,000000,V,srent,40.9543,38.5736,59.6491,7.9692,-18.6948,39.3882,,,,,,,,,,,,
24,009,000000,V,sroom,18.6581,4.1460,20.8920,2.3048,-2.2339,4.7436,,,,,,,,,,,,
24,009,000000,V,svalue,4.1609,22.4501,15.8730,5.2079,-11.7121,23.0462,,,,,,,,,,,,
24,009,000000,V,syrblt,24.4712,4.8711,17.3709,2.1435,7.1003,5.3218,,,,,,,,,,,,
24,009,860101,O,sacres,0.8661,6.3079,6.3218,1.2082,-5.4557,6.4226,,,,,,,,,,,,
24,009,860101,O,sagsales,1.0618,7.7329,10.4895,1.6781,-9.4277,7.9129,,,,,,,,,,,,
24,009,860101,O,sautos,0.8661,6.3079,6.3218,1.8577,-5.4557,6.5758,,,,,,,,,,,,
24,009,860101,O,sbedrm,1.6535,4.7399,4.0230,1.4793,-2.3695,4.9654,,,,,,,,,,,,
24,009,860101,O,sbiz,0.8661,6.3079,5.7471,1.1555,-4.8810,6.4129,,,,,,,,,,,,
24,009,860101,O,sbldgsz,0.8661,6.3079,3.4483,1.1746,-2.5822,6.4164,,,,,,,,,,,,
24,009,860101,O,sckitch,0.8661,6.3079,2.8736,1.0586,-2.0075,6.3961,,,,,,,,,,,,
24,009,860101,O,scplumb,0.8661,6.3079,2.8736,1.2199,-2.0075,6.4248,,,,,,,,,,,,
24,009,860101,O,selecdx,7.7953,3.2811,15.5172,2.5831,-7.7219,4.1759,,,,,,,,,,,,
24,009,860101,O,sfuel,0.8661,6.3079,5.7471,1.6604,-4.8810,6.5228,,,,,,,,,,,,
24,009,860101,O,sgasdx,15.7480,4.2611,25.2874,3.1009,-9.5394,5.2699,,,,,,,,,,,,
24,009,860101,O,sincins,5.5528,2.6005,13.2813,3.0831,-7.7285,4.0334,,,,,,,,,,,,
24,009,860101,O,sinctax,1.9165,5.9001,13.2813,3.0831,-11.3648,6.6571,,,,,,,,,,,,
24,009,860101,O,sinsd,9.6026,6.2030,29.4118,3.5918,-19.8092,7.1679,,,,,,,,,,,,
24,009,860101,O,smeals,0.0000,70.0000,0.0000,10.0726,0.0000,70.7210,,,,,,,,,,,,
24,009,860101,O,smhcost,,,100.0000,16.0878,,,,,,,,,,,,,,
24,009,860101,O,smortg,0.9106,6.6317,4.7059,1.6693,-3.7953,6.8386,,,,,,,,,,,,
24,009,860101,O,smortg2d,0.0000,42.2456,7.8947,4.4961,-7.8947,42.4842,,,,,,,,,,,,
24,009,860101,O,smortgd,3.8821,6.1608,17.1875,3.4274,-13.3054,7.0500,,,,,,,,,,,,
24,009,860101,O,smovein,4.7638,2.1667,5.1724,1.6365,-0.4086,2.7153,,,,,,,,,,,,
24,009,860101,O,soildx,11.4567,3.7499,17.8161,2.7299,-6.3594,4.6383,,,,,,,,,,,,
24,009,860101,O,srent,0.0000,70.0000,0.0000,10.0726,0.0000,70.7210,,,,,,,,,,,,
24,009,860101,O,sroom,0.8661,6.3079,5.7471,1.7522,-4.8810,6.5468,,,,,,,,,,,,
24,009,860101,O,staxd,9.2715,3.8745,25.2941,3.4267,-16.0226,5.1724,,,,,,,,,,,,
24,009,860101,O,stel,0.8661,6.3079,4.0230,1.2451,-3.1569,6.4296,,,,,,,,,,,,
24,009,860101,O,stenure,0.8661,6.3079,2.2989,1.1074,-1.4328,6.4044,,,,,,,,,,,,
24,009,860101,O,svalue,6.1258,5.9079,12.3529,2.4662,-6.2271,6.4020,,,,,,,,,,,,
24,009,860101,O,swaterdx,6.2992,2.4694,20.1149,2.8598,-13.8157,3.7784,,,,,,,,,,,,
24,009,860101,O,syrblt,3.7402,1.8732,4.0230,1.4537,-0.2828,2.3711,,,,,,,,,,,,
24,009,860101,V,sacres,0.0000,70.0000,0.0000,5.2933,0.0000,70.1999,,,,,,,,,,,,
24,009,860101,V,sbedrm,0.0000,70.0000,0.0000,8.0268,0.0000,70.4587,,,,,,,,,,,,
24,009,860101,V,sbiz,100.0000,70.0000,0.0000,5.2933,100.0000,70.1999,,,,,,,,,,,,
24,009,860101,V,sbldgsz,0.0000,70.0000,0.0000,6.8637,0.0000,70.3357,,,,,,,,,,,,
24,009,860101,V,sckitch,0.0000,70.0000,0.0000,6.7559,0.0000,70.3253,,,,,,,,,,,,
24,009,860101,V,scplumb,0.0000,70.0000,0.0000,7.7858,0.0000,70.4317,,,,,,,,,,,,
24,009,860101,V,sisvac,0.0000,70.0000,0.0000,8.8319,0.0000,70.5550,,,,,,,,,,,,
24,009,860101,V,smeals,,,,,,,,,,,,,,,,,,
24,009,860101,V,srent,,,,,,,,,,,,,,,,,,
24,009,860101,V,sroom,0.0000,70.0000,0.0000,8.0268,0.0000,70.4587,,,,,,,,,,,,
24,009,860101,V,svalue,0.0000,70.0000,0.0000,15.2964,0.0000,71.6518,,,,,,,,,,,,
24,009,860101,V,syrblt,0.0000,70.0000,0.0000,7.8877,0.0000,70.4430,,,,,,,,,,,,
24,009,860102,O,sacres,1.0790,5.0463,2.6455,0.7645,-1.5665,5.1039,,,,,,,,,,,,
24,009,860102,O,sagsales,4.9528,7.5864,7.4074,1.6503,-2.4546,7.7638,,,,,,,,,,,,
24,009,860102,O,sautos,0.6665,5.0814,0.0000,1.0200,0.6665,5.1828,,,,,,,,,,,,
24,009,860102,O,sbedrm,0.6665,5.0814,5.2356,1.6005,-4.5691,5.3275,,,,,,,,,,,,
24,009,860102,O,sbiz,0.0000,6.1538,2.1164,0.6856,-2.1164,6.1919,,,,,,,,,,,,
24,009,860102,O,sbldgsz,0.0000,6.1538,1.0471,0.8602,-1.0471,6.2137,,,,,,,,,,,,
24,009,860102,O,sckitch,0.6665,5.0814,0.0000,0.8467,0.6665,5.1515,,,,,,,,,,,,
24,009,860102,O,scplumb,0.6665,5.0814,0.0000,0.9758,0.6665,5.1743,,,,,,,,,,,,
24,009,860102,O,selecdx,7.8705,5.3633,12.5654,2.2570,-4.6949,5.8188,,,,,,,,,,,,
24,009,860102,O,sfuel,0.6665,5.0814,2.6178,1.0872,-1.9513,5.1964,,,,,,,,,,,,
24,009,860102,O,sgasdx,14.9794,3.3936,30.3665,3.1312,-15.3871,4.6174,,,,,,,,,,,,
24,009,860102,O,sincins,10.2564,5.6213,15.4362,3.0422,-5.1798,6.3917,,,,,,,,,,,,
24,009,860102,O,sinctax,3.0604,7.0481,14.7651,2.9871,-11.7047,7.6549,,,,,,,,,,,,
24,009,860102,O,sinsd,20.0394,5.3813,33.1492,3.5964,-13.1098,6.4724,,,,,,,,,,,,
24,009,860102,O,smeals,0.0000,70.0000,0.0000,5.0363,0.0000,70.1809,,,,,,,,,,,,
24,009,860102,O,smhcost,11.1413,31.6577,47.0588,12.4424,-35.9175,34.0150,,,,,,,,,,,,
24,009,860102,O,smortg,0.0000,6.3701,4.4199,1.5702,-4.4199,6.5608,,,,,,,,,,,,
24,009,860102,O,smortg2d,30.7692,11.7202,28.5714,6.2047,2.1978,13.2613,,,,,,,,,,,,
24,009,860102,O,smortgd,9.5947,5.2669,14.7651,2.9871,-5.1704,6.0550,,,,,,,,,,,,
24,009,860102,O,smovein,0.0000,6.1538,2.6178,1.1261,-2.6178,6.2560,,,,,,,,,,,,
24,009,860102,O,soildx,14.3764,4.7256,17.8010,2.6047,-3.4246,5.3959,,,,,,,,,,,,
24,009,860102,O,srent,0.0000,70.0000,0.0000,5.0363,0.0000,70.1809,,,,,,,,,,,,
24,009,860102,O,sroom,0.6665,5.0814,4.1885,1.4395,-3.5220,5.2814,,,,,,,,,,,,
24,009,860102,O,staxd,9.5598,3.5621,28.7293,3.4569,-19.1695,4.9638,,,,,,,,,,,,
24,009,860102,O,stel,0.6665,5.0814,0.4188,0.8467,0.2477,5.1515,,,,,,,,,,,,
24,009,860102,O,stenure,1.1742,3.7983,1.0471,0.9874,0.1271,3.9245,,,,,,,,,,,,
24,009,860102,O,svalue,2.1682,3.7605,7.1823,1.8755,-5.0141,4.2022,,,,,,,,,,,,
24,009,860102,O,swaterdx,14.1542,4.6842,16.7539,2.5430,-2.5997,5.3300,,,,,,,,,,,,
24,009,860102,O,syrblt,6.5693,3.3129,3.6649,1.3268,2.9044,3.5687,,,,,,,,,,,,
24,009,860102,V,sacres,25.9740,70.0000,40.0000,22.6857,-14.0260,73.5842,,,,,,,,,,,,
24,009,860102,V,sbedrm,100.0000,70.0000,0.0000,9.8308,100.0000,70.6869,,,,,,,,,,,,
24,009,860102,V,sbiz,100.0000,70.0000,0.0000,6.4830,100.0000,70.2996,,,,,,,,,,,,
24,009,860102,V,sbldgsz,25.9740,70.0000,0.0000,8.4063,25.9740,70.5029,,,,,,,,,,,,
24,009,860102,V,sckitch,100.0000,70.0000,0.0000,8.2742,100.0000,70.4873,,,,,,,,,,,,
24,009,860102,V,scplumb,100.0000,70.0000,0.0000,9.5356,100.0000,70.6465,,,,,,,,,,,,
24,009,860102,V,sisvac,25.9740,70.0000,0.0000,10.8169,25.9740,70.8308,,,,,,,,,,,,
24,009,860102,V,smeals,,,100.0000,15.9262,,,,,,,,,,,,,,
24,009,860102,V,srent,,,100.0000,15.9262,,,,,,,,,,,,,,
24,009,860102,V,sroom,100.0000,70.0000,0.0000,9.8308,100.0000,70.6869,,,,,,,,,,,,
24,009,860102,V,svalue,,,,,,,,,,,,,,,,,,
24,009,860102,V,syrblt,100.0000,70.0000,40.0000,33.8044,60.0000,77.7350,,,,,,,,,,,,
24,009,860200,O,sacres,0.4322,3.6391,7.4830,1.0049,-7.0508,3.7753,,,,,,,,,,,,
24,009,860200,O,sagsales,0.4908,4.1327,8.7452,1.1408,-8.2544,4.2873,,,,,,,,,,,,
24,009,860200,O,sautos,0.0000,4.4110,3.3898,1.0609,-3.3898,4.5368,,,,,,,,,,,,
24,009,860200,O,sbedrm,0.8644,2.6116,7.1186,1.4867,-6.2542,3.0051,,,,,,,,,,,,
24,009,860200,O,sbiz,0.5005,3.6474,4.7619,0.8134,-4.2614,3.7370,,,,,,,,,,,,
24,009,860200,O,sbldgsz,0.0000,4.4110,3.3898,0.8947,-3.3898,4.5008,,,,,,,,,,,,
24,009,860200,O,sckitch,0.3640,3.6855,2.7119,0.7904,-2.3479,3.7693,,,,,,,,,,,,
24,009,860200,O,scplumb,0.6142,3.6644,2.7119,0.9109,-2.0977,3.7759,,,,,,,,,,,,
24,009,860200,O,selecdx,5.0500,3.6060,11.8644,1.7718,-6.8144,4.0177,,,,,,,,,,,,
24,009,860200,O,sfuel,0.8417,3.6668,6.1017,1.3115,-5.2600,3.8943,,,,,,,,,,,,
24,009,860200,O,sgasdx,16.8335,3.8130,25.7627,2.3961,-8.9292,4.5034,,,,,,,,,,,,
24,009,860200,O,sincins,6.6451,2.2151,13.3028,2.3641,-6.6577,3.2397,,,,,,,,,,,,
24,009,860200,O,sinctax,3.2091,4.0518,11.4679,2.2181,-8.2588,4.6192,,,,,,,,,,,,
24,009,860200,O,sinsd,23.4614,4.7607,29.7101,2.8272,-6.2487,5.5369,,,,,,,,,,,,
24,009,860200,O,smeals,0.0000,49.9761,5.3333,5.9031,-5.3333,50.3235,,,,,,,,,,,,
24,009,860200,O,smhcost,57.5000,70.0000,16.0000,16.8511,41.5000,71.9997,,,,,,,,,,,,
24,009,860200,O,smortg,1.5072,3.0596,5.0725,1.3576,-3.5653,3.3472,,,,,,,,,,,,
24,009,860200,O,smortg2d,10.5092,13.7083,10.5263,3.6182,-0.0171,14.1777,,,,,,,,,,,,
24,009,860200,O,smortgd,6.7099,2.2585,12.8440,2.3291,-6.1341,3.2443,,,,,,,,,,,,
24,009,860200,O,smovein,0.0000,4.4110,3.7288,1.0752,-3.7288,4.5401,,,,,,,,,,,,
24,009,860200,O,soildx,7.7571,2.4090,14.9153,1.9519,-7.1582,3.1005,,,,,,,,,,,,
24,009,860200,O,srent,0.0000,49.9761,33.3333,12.3845,-33.3333,51.4877,,,,,,,,,,,,
24,009,860200,O,sroom,0.7734,2.5978,7.4576,1.5189,-6.6842,3.0092,,,,,,,,,,,,
24,009,860200,O,staxd,17.2570,4.1199,23.5507,2.6251,-6.2937,4.8852,,,,,,,,,,,,
24,009,860200,O,stel,0.3640,3.6855,3.0508,0.8369,-2.6868,3.7793,,,,,,,,,,,,
24,009,860200,O,stenure,0.4322,3.6391,4.0678,1.1210,-3.6356,3.8079,,,,,,,,,,,,
24,009,860200,O,svalue,7.4353,2.7048,10.8696,1.8309,-3.4343,3.2662,,,,,,,,,,,,
24,009,860200,O,swaterdx,6.9836,2.0792,22.3729,2.2834,-15.3893,3.0882,,,,,,,,,,,,
24,009,860200,O,syrblt,6.5514,2.6237,6.1017,1.3600,0.4497,2.9552,,,,,,,,,,,,
24,009,860200,V,sacres,52.2388,42.2147,18.1818,7.6157,34.0570,42.8962,,,,,,,,,,,,
24,009,860200,V,sbedrm,52.2388,42.2147,0.0000,4.1919,52.2388,42.4223,,,,,,,,,,,,
24,009,860200,V,sbiz,100.0000,70.0000,0.0000,2.7644,100.0000,70.0546,,,,,,,,,,,,
24,009,860200,V,sbldgsz,9.4527,70.0000,0.0000,3.5844,9.4527,70.0917,,,,,,,,,,,,
24,009,860200,V,sckitch,9.4527,70.0000,0.0000,3.5281,9.4527,70.0889,,,,,,,,,,,,
24,009,860200,V,scplumb,9.4527,70.0000,0.0000,4.0660,9.4527,70.1180,,,,,,,,,,,,
24,009,860200,V,sisvac,9.4527,70.0000,0.0000,4.6123,9.4527,70.1518,,,,,,,,,,,,
24,009,860200,V,smeals,,,0.0000,7.1224,,,,,,,,,,,,,,
24,009,860200,V,srent,,,100.0000,7.1224,,,,,,,,,,,,,,
24,009,860200,V,sroom,52.2388,42.2147,0.0000,4.1919,52.2388,42.4223,,,,,,,,,,,,
24,009,860200,V,svalue,,,0.0000,6.8408,,,,,,,,,,,,,,
24,009,860200,V,syrblt,52.2388,42.2147,0.0000,4.1192,52.2388,42.4152,,,,,,,,,,,,
24,009,860300,O,sacres,0.6487,5.0670,3.4934,0.7946,-2.8447,5.1290,,,,,,,,,,,,
24,009,860300,O,sagsales,2.3950,4.3400,7.7320,1.2558,-5.3370,4.5181,,,,,,,,,,,,
24,009,860300,O,sautos,4.9387,5.0251,2.5751,1.0449,2.3636,5.1325,,,,,,,,,,,,
24,009,860300,O,sbedrm,5.7565,5.1140,5.1502,1.4379,0.6063,5.3123,,,,,,,,,,,,
24,009,860300,O,sbiz,1.3947,5.3311,3.0568,0.7450,-1.6621,5.3829,,,,,,,,,,,,
24,009,860300,O,sbldgsz,0.5977,5.0362,3.0043,0.9496,-2.4066,5.1250,,,,,,,,,,,,
24,009,860300,O,sckitch,1.3526,3.6362,1.7167,0.7666,-0.3641,3.7162,,,,,,,,,,,,
24,009,860300,O,scplumb,1.3526,3.6362,1.7167,0.8835,-0.3641,3.7420,,,,,,,,,,,,
24,009,860300,O,selecdx,6.4486,3.7773,9.8712,1.8389,-3.4226,4.2011,,,,,,,,,,,,
24,009,860300,O,sfuel,4.2152,6.0121,5.5794,1.4150,-1.3642,6.1764,,,,,,,,,,,,
24,009,860300,O,sgasdx,10.5064,2.9474,23.6052,2.6180,-13.0988,3.9422,,,,,,,,,,,,
24,009,860300,O,sincins,9.1247,3.0681,13.2597,2.5909,-4.1350,4.0157,,,,,,,,,,,,
24,009,860300,O,sinctax,7.1429,6.5323,13.2597,2.5909,-6.1168,7.0273,,,,,,,,,,,,
24,009,860300,O,sinsd,21.7856,5.8637,31.7757,3.2713,-9.9901,6.7145,,,,,,,,,,,,
24,009,860300,O,smeals,9.0196,64.1377,0.0000,3.5612,9.0196,64.2365,,,,,,,,,,,,
24,009,860300,O,smhcost,100.0000,70.0000,0.0000,10.1748,100.0000,70.7356,,,,,,,,,,,,
24,009,860300,O,smortg,1.3444,5.4227,3.7383,1.3328,-2.3939,5.5841,,,,,,,,,,,,
24,009,860300,O,smortg2d,17.7189,8.7003,10.9589,3.7578,6.7600,9.4771,,,,,,,,,,,,
24,009,860300,O,smortgd,13.5425,5.5598,13.8122,2.6359,-0.2697,6.1530,,,,,,,,,,,,
24,009,860300,O,smovein,3.2400,1.5117,1.7167,0.8940,1.5233,1.7563,,,,,,,,,,,,
24,009,860300,O,soildx,13.0544,4.5902,14.1631,2.1496,-1.1087,5.0686,,,,,,,,,,,,
24,009,860300,O,srent,9.0196,64.1377,18.7500,9.9285,-9.7304,64.9016,,,,,,,,,,,,
24,009,860300,O,sroom,6.7317,5.1932,5.5794,1.4932,1.1523,5.4036,,,,,,,,,,,,
24,009,860300,O,staxd,16.0290,5.1940,23.8318,2.9934,-7.8028,5.9949,,,,,,,,,,,,
24,009,860300,O,stel,0.6291,4.9140,2.5751,0.8673,-1.9460,4.9900,,,,,,,,,,,,
24,009,860300,O,stenure,1.3526,3.6362,1.7167,0.8940,-0.3641,3.7445,,,,,,,,,,,,
24,009,860300,O,svalue,7.5147,4.0083,8.8785,1.9001,-1.3638,4.4359,,,,,,,,,,,,
24,009,860300,O,swaterdx,7.7383,2.4233,18.8841,2.4129,-11.1458,3.4197,,,,,,,,,,,,
24,009,860300,O,syrblt,5.3161,2.4900,2.1459,0.9264,3.1702,2.6567,,,,,,,,,,,,
24,009,860300,V,sacres,38.9937,70.0000,16.6667,7.0454,22.3270,70.3537,,,,,,,,,,,,
24,009,860300,V,sbedrm,59.7484,70.0000,50.0000,14.3336,9.7484,71.4524,,,,,,,,,,,,
24,009,860300,V,sbiz,100.0000,70.0000,6.6667,4.7157,93.3333,70.1587,,,,,,,,,,,,
24,009,860300,V,sbldgsz,0.0000,70.0000,0.0000,3.4318,0.0000,70.0841,,,,,,,,,,,,
24,009,860300,V,sckitch,59.7484,70.0000,6.6667,6.0186,53.0817,70.2583,,,,,,,,,,,,
24,009,860300,V,scplumb,59.7484,70.0000,6.6667,6.9361,53.0817,70.3428,,,,,,,,,,,,
24,009,860300,V,sisvac,0.0000,70.0000,0.0000,4.4160,0.0000,70.1392,,,,,,,,,,,,
24,009,860300,V,smeals,,,0.0000,15.9262,,,,,,,,,,,,,,
24,009,860300,V,srent,,,100.0000,15.9262,,,,,,,,,,,,,,
24,009,860300,V,sroom,59.7484,70.0000,41.6667,14.1331,18.0817,71.4125,,,,,,,,,,,,
24,009,860300,V,svalue,,,0.0000,15.2964,,,,,,,,,,,,,,
24,009,860300,V,syrblt,38.9937,70.0000,33.3333,13.2796,5.6604,71.2485,,,,,,,,,,,,
24,009,860401,O,sacres,1.0455,1.7256,6.2374,0.7104,-5.1919,1.8661,,,,,,,,,,,,
24,009,860401,O,sagsales,0.0000,17.3596,9.0909,2.1455,-9.0909,17.4917,,,,,,,,,,,,
24,009,860401,O,sautos,0.4989,1.6115,4.0741,0.8566,-3.5752,1.8250,,,,,,,,,,,,
24,009,860401,O,sbedrm,2.6294,1.0407,4.8148,0.9149,-2.1854,1.3857,,,,,,,,,,,,
24,009,860401,O,sbiz,1.8636,1.9259,6.6398,0.7314,-4.7762,2.0601,,,,,,,,,,,,
24,009,860401,O,sbldgsz,0.4450,1.4888,3.7037,0.6901,-3.2587,1.6410,,,,,,,,,,,,
24,009,860401,O,sckitch,0.0000,2.6147,2.7778,0.5911,-2.7778,2.6807,,,,,,,,,,,,
24,009,860401,O,scplumb,0.0000,2.6147,2.4074,0.6354,-2.4074,2.6908,,,,,,,,,,,,
24,009,860401,O,selecdx,5.7848,1.9342,11.4815,1.2910,-5.6967,2.3254,,,,,,,,,,,,
24,009,860401,O,sfuel,0.0000,2.6147,5.1852,0.8979,-5.1852,2.7646,,,,,,,,,,,,
24,009,860401,O,sgasdx,9.9649,1.8010,27.4074,1.8063,-17.4425,2.5507,,,,,,,,,,,,
24,009,860401,O,sincins,6.0868,2.0334,10.4712,1.6101,-4.3844,2.5936,,,,,,,,,,,,
24,009,860401,O,sinctax,2.7966,1.3639,10.4712,1.6101,-7.6746,2.1101,,,,,,,,,,,,
24,009,860401,O,sinsd,18.0657,3.1581,32.4706,2.3346,-14.4049,3.9273,,,,,,,,,,,,
24,009,860401,O,smeals,5.0626,7.1257,9.0090,2.7651,-3.9464,7.6434,,,,,,,,,,,,
24,009,860401,O,smhcost,,,0.0000,16.0878,,,,,,,,,,,,,,
