,,Total imports," 19,573 "," 29,503 "," 28,599 "," 31,523 "," 37,042 "," 42,257 ","44,521",,"46,315 ",0,"49,650 ",0,"52,230 ",0,"63,301 ",0,"63,005 ",-0.5%,36%,"56,666 ",-10.1%,"58,609 ",0 ,"59,447 ",1.4%,"66,703 ",12.2%,"69,659 ",4.4%,"68,500 ",-1.7%,"67,130 ",-2.0%,,-100.0%,"17,678 ","14,765 ",-16.5%,,-100.0%,"50,805 ","51,486 ",1.3%,24%,214%,,-100.0%,"50,805 ","51,486 ",1.3%,28%,128%,,
,,Total Balance," (10,981)"," (7,728)"," (5,943)"," (8,000)"," (9,579)"," (10,827)","-11,248",,"(11,892)",0,"(10,857)",0,"(13,065)",0,"(18,707)",0,"(18,540)",-0.9%,18%,"(17,034)",-8.1%,"(14,745)",0 ,"(14,257)",-3.3%,"(18,413)",29.1%,"(17,879)",-2.9%,"(13,612)",-23.9%,"(8,864)",-34.9%,,-100.0%,"(3,450)","(1,327)",-61.5%,,-100.0%,"(12,354)","(10,463)",-15.3%,4%,240%,,-100.0%,"(12,354)","(10,463)",-15.3%,10%,120%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,
,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,
,,Vehicle exports,54,261,262,232,167, 656 ,383,,"1,253 ",4,"1,978 ",2,"2,363 ",1,"2,547 ",0,"3,798 ",49.1%,11%,"3,922 ",3.3%,"3,931 ",0.2%,"3,310 ",-15.8%,"4,142",25.1%,"4,614",11.4%,"4,311 ",-6.6%,"4,816 ",11.7%,,-100.0%,"1,144 ","1,143 ",-0.1%,,-100.0%,"3,168 ","2,934 ",-7.4%,8%,1455%,,-100.0%,"3,168 ","2,934 ",-7.4%,9%,264%,,
,,Vehicle imports,"1,313","2,448","2,842","3,109","3,727"," 4,787 ","7,829",,"11,305 ",3,"12,110 ",2,"13,190 ",0,"15,788 ",0,"21,002 ",33.0%,14%,"21,302 ",1.4%,"20,903 ",-1.9%,"19,397 ",-7.2%,"19,068",-1.7%,"18,444",-3.3%,"23,420 ",27.0%,"23,123 ",-1.3%,,-100.0%,"4,808 ","5,238 ",8.9%,,-100.0%,"12,869 ","17,047 ",32.5%,14%,858%,,-100.0%,"12,869 ","17,047 ",32.5%,15%,172%,,
,,Vehicle balance," (1,259)"," (2,187)"," (2,581)"," (2,877)"," (3,560)"," (4,131)","-7,446",,"(10,052)",2,"(10,132)",1,"(10,827)",0,"(13,241)",0,"(17,204)",29.9%,14%,"(17,379)",1.0%,"(16,972)",0 ,"(16,087)",-5.2%,"(14,926)",-7.2%,"(13,830)",-7.3%,"(19,109)",38.2%,"(18,307)",-4.2%,,-100.0%,"(3,664)","(4,095)",11.7%,,-100.0%,"(9,701)","(14,113)",45.5%,17%,787%,,-100.0%,"(9,701)","(14,113)",45.5%,18%,160%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,
,,Parts exports,3,"4,302","5,103","6,515","7,317"," 7,663 ","6,737",,"7,078 ",0,"9,582 ",0,"9,502 ",0,"9,271 ",0,"12,559 ",35.5%,19%,"12,010 ",-4.4%,"11,326 ",-5.7%,"10,343 ",-8.7%,"11,304",9.3%,"11,407",0.9%,"12,796 ",12.2%,"13,896 ",8.6%,,-100.0%,"3,290 ","3,417 ",3.9%,,-100.0%,"8,261 ","9,524 ",15.3%,23%,292%,,-100.0%,"8,261 ","9,524 ",15.3%,22%,146%,,
,,Parts imports,4,"4,464","4,890","6,203","7,354"," 9,702 ","10,501",,"11,645 ",1,"13,314 ",0,"14,480 ",0,"16,768 ",0,"18,663 ",11.3%,27%,"18,180 ",-2.6%,"20,069 ",10.4%,"21,039 ",4.8%,"23,104",9.8%,"24,920",7.9%,"26,368 ",5.8%,"28,270 ",7.2%,,-100.0%,"7,042 ","6,850 ",-2.7%,,-100.0%,"18,595 ","19,929 ",7.2%,29%,418%,,-100.0%,"18,595 ","19,929 ",7.2%,28%,181%,,
,,Parts balance, (1), (162), 213 , 312 , (37)," (2,039)","-3,764",,"(4,567)",-16,"(3,732)",1,"(4,978)",0,"(7,496)",1,"(6,104)",-18.6%,64%,"(6,170)",1.1%,"(8,744)",(0),"(10,696)",22.3%,"(11,800)",10.3%,"(13,513)",14.5%,"(13,572)",0.4%,"(14,374)",5.9%,,-100.0%,"(3,753)","(3,433)",-8.5%,,-100.0%,"(10,335)","(10,405)",0.7%,37%,3760%,,-100.0%,"(10,335)","(10,405)",0.7%,37%,234%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,
,,Total exports, 57 ," 4,563 "," 5,364 "," 6,746 "," 7,484 "," 8,319 ","7,120",,"8,331 ",0,"11,560 ",0,"11,865 ",0,"11,818 ",0,"16,357 ",38.4%,16%,"15,932 ",-2.6%,"15,256 ",(0),"13,653 ",-10.5%,"15,447 ",13.1%,"16,021 ",3.7%,"17,107 ",6.8%,"18,712 ",9.4%,,-100.0%,"4,434 ","4,560 ",2.9%,,-100.0%,"11,428 ","12,458 ",9.0%,16%,358%,,-100.0%,"11,428 ","12,458 ",9.0%,16%,164%,,
,,Total imports," 1,317 "," 6,912 "," 7,732 "," 9,311 "," 11,080 "," 14,489 ","18,330",,"22,950 ",1,"25,424 ",1,"27,670 ",0,"32,556 ",0,"39,665 ",21.8%,18%,"39,481 ",-0.5%,"40,972 ",0 ,"40,436 ",-1.3%,"42,172 ",4.3%,"43,364 ",2.8%,"49,788 ",14.8%,"51,393 ",3.2%,,-100.0%,"11,851 ","12,088 ",2.0%,,-100.0%,"31,464 ","36,976 ",17.5%,20%,574%,,-100.0%,"31,464 ","36,976 ",17.5%,20%,176%,,
,,Total Balance," (1,260)"," (2,349)"," (2,368)"," (2,565)"," (3,597)"," (6,170)","-11,210",,"(14,619)",5,"(13,864)",1,"(15,805)",0,"(20,737)",0,"(23,308)",12.4%,20%,"(23,549)",1.0%,"(25,716)",(0),"(26,782)",4.1%,"(26,725)",-0.2%,"(27,343)",2.3%,"(32,682)",19.5%,"(32,681)",0.0%,,-100.0%,"(7,417)","(7,528)",1.5%,,-100.0%,"(20,036)","(24,519)",22.4%,23%,992%,,-100.0%,"(20,036)","(24,519)",22.4%,23%,183%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,
South America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,
,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,
,,Vehicle exports,3,24,48,125,163, 278 ,428,,169 ,0,253 ,0,101 ,0,23 ,-1,42 ,86.2%,0%,24 ,-42.8%,7 ,-72.0%,12 ,76.7%,11,-5.9%,27,143.7%,41 ,50.1%,53 ,28.7%,,-100.0%,12 ,22 ,81.2%,,-100.0%,21 ,35 ,67.5%,0%,179%,,-100.0%,21 ,35 ,67.5%,0%,7%,,
,,Vehicle imports,366,127,73,90,36, 1 ,2,,0 ,-1,1 ,0,2 ,#DIV/0!,2 ,0,167 ,6980.4%,0%,625 ,273.6%,622 ,-0.4%,546 ,-12.3%,226,-58.6%,221,-2.3%,167 ,-24.5%,38 ,-77.1%,,-100.0%,34 ,1 ,-97.7%,,-100.0%,185 ,121 ,-34.9%,0%,131%,,-100.0%,185 ,121 ,-34.9%,0%,#DIV/0!,,
,,Vehicle balance, (363), (104), (25), 35 , 127 , 277 ,426,,169 ,4,252 ,0,99 ,0,20 ,-1,(125),-717.8%,0%,(601),380.1%,(616),(1),(534),-13.2%,(215),-59.8%,(193),-9.9%,(126),-35.0%,15 ,-111.6%,,-100.0%,(23),21 ,-192.5%,,-100.0%,(164),(85),-48.0%,0%,121%,,-100.0%,(164),(85),-48.0%,0%,-316%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,
,,Parts exports,142,129,106,150,223, 302 ,422,,492 ,2,613 ,1,954 ,1,454 ,-1,401 ,-11.6%,1%,444 ,10.8%,454 ,2.1%,480 ,5.7%,565,17.9%,551,-2.6%,601 ,9.2%,722 ,20.1%,,-100.0%,154 ,197 ,28.5%,,-100.0%,412 ,451 ,9.4%,1%,312%,,-100.0%,412 ,451 ,9.4%,1%,97%,,
,,Parts imports,794,702,660,561,742, 847 ,876,,944 ,1,"1,223 ",0,"1,240 ",0,"1,360 ",0,"1,248 ",-8.2%,2%,955 ,-23.5%,"1,275 ",33.6%,"1,474 ",15.6%,"1,711",16.0%,"2,022",18.2%,"2,224 ",10.0%,"1,755 ",-21.1%,,-100.0%,391 ,424 ,8.5%,,-100.0%,"1,487 ","1,668 ",12.2%,2%,178%,,-100.0%,"1,487 ","1,668 ",12.2%,2%,156%,,
,,Parts balance, (652), (573), (554), (411), (520), (545),-454,,(452),0,(610),0,(286),0,(906),2,(847),-6.5%,8%,(510),-39.8%,(821),(0),(995),21.1%,"(1,145)",15.1%,"(1,471)",28.5%,"(1,622)",10.3%,"(1,033)",-36.3%,,-100.0%,(237),(227),-4.4%,,-100.0%,"(1,075)","(1,217)",13.2%,2%,148%,,-100.0%,"(1,075)","(1,217)",13.2%,4%,220%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,
,,Total exports, 145 , 152 , 154 , 275 , 386 , 580 ,850,,661 ,1,866 ,0,"1,055 ",1,477 ,-1,443 ,-7.0%,1%,468 ,5.7%,461 ,(1),491 ,6.7%,577 ,17.3%,578 ,0.3%,642 ,11.1%,775 ,20.6%,,-100.0%,166 ,219 ,32.3%,,-100.0%,433 ,486 ,12.2%,1%,291%,,-100.0%,433 ,486 ,12.2%,1%,74%,,
,,Total imports," 1,160 ", 829 , 734 , 651 , 778 , 848 ,878,,944 ,0,"1,224 ",0,"1,242 ",0,"1,362 ",0,"1,416 ",3.9%,1%,"1,580 ",11.6%,"1,898 ",0 ,"2,020 ",6.5%,"1,936 ",-4.2%,"2,243 ",15.8%,"2,390 ",6.6%,"1,794 ",-25.0%,,-100.0%,425 ,425 ,-0.1%,,-100.0%,"1,673 ","1,789 ",7.0%,1%,171%,,-100.0%,"1,673 ","1,789 ",7.0%,1%,214%,,
,,Total Balance," (1,015)", (677), (579), (376), (392), (268),-28,,(283),0,(358),0,(187),0,(885),4,(972),9.8%,1%,"(1,111)",14.3%,"(1,437)",(1),"(1,529)",6.4%,"(1,360)",-11.1%,"(1,664)",22.4%,"(1,748)",5.0%,"(1,019)",-41.7%,,-100.0%,(260),(206),-20.7%,,-100.0%,"(1,239)","(1,303)",5.1%,1%,144%,,-100.0%,"(1,239)","(1,303)",5.1%,1%,540%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FTAA(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Vehicle exports," 8,910 "," 8,706 "," 9,936 "," 9,841 "," 10,660 "," 13,443 "," 13,494 ",," 14,747 ",," 17,856 ",," 17,406 ",," 18,143 ",," 19,357 ",6.7%,,,,,,,,,,,,,,,,,," 10,913 "," 9,260 ",-15.1%,,," 10,913 "," 9,260 ",-15.1%,,,,," 10,913 "," 9,260 ",-15.1%,,,,
,"w/o Canada, Mexico, and Brazil",, 271 , 323 , 545 ," 1,244 "," 1,149 "," 1,176 "," 1,233 ", -   ," 1,130 ", (5)," 1,219 ", (2)," 1,075 ", (1), 623 , 1 , 654 ,5.0%,,,,,,,,,,,,,,,,,," 4,094 "," 2,091 ",-48.9%,,," (7,488)"," (10,759)",43.7%,,,,," (7,488)"," (10,759)",43.7%,,,,
,,Vehicle imports," 21,244 "," 22,988 "," 23,543 "," 25,728 "," 30,507 "," 35,721 "," 41,169 ",," 44,982 ",," 47,936 ",," 50,710 ",," 62,157 ",," 66,541 ",7.1%,,,,,,,,,,,,,,,,,," 34,453 "," 32,783 ",-4.8%,,," 34,453 "," 32,783 ",-4.8%,,,,," 34,453 "," 32,783 ",-4.8%,,,,
,"w/o Canada, Mexico, and Brazil",, 1 , 3 , 2 , 3 , 3 , 0 , 1 , -   , 1 , (2), 0 , (2), (0),#DIV/0!, 0 , (1), 1 ,68.0%,,,,,,,,,,,,,,,,,," 17,052 "," 17,572 ",3.0%,,," (12,902)"," (20,296)",57.3%,,,,," (12,902)"," (20,296)",57.3%,,,,
,,Vehicle balance," (12,334)"," (14,282)"," (13,607)"," (15,887)"," (19,847)"," (22,278)"," (27,674)", -   ," (30,235)", -   ," (30,080)", -   ," (33,303)", -   ," (44,014)", -   ," (47,184)",7.2%, -   ,,,,,,,,,,,,,,,,," (23,540)"," (23,523)",-0.1%,,," (23,540)"," (23,523)",-0.1%,,,,," (23,540)"," (23,523)",-0.1%,,,,
,"w/o Canada, Mexico, and Brazil",, 269 , 320 , 544 ," 1,241 "," 1,146 "," 1,176 "," 1,233 ", -   ," 1,129 ", (3)," 1,219 ", (1)," 1,076 ",#DIV/0!, 622 , 1 , 653 ,4.9%,,,,,,,,,,,,,,,,,," (12,958)"," (15,482)",19.5%,,," 5,414 "," 9,537 ",76.2%,,,,," 5,414 "," 9,537 ",76.2%,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Parts exports," 13,790 "," 18,619 "," 19,487 "," 22,843 "," 26,772 "," 29,114 "," 30,055 ",," 30,992 ",," 36,299 ",," 37,357 ",," 40,531 ",," 43,877 ",8.3%,,,,,,,,,,,,,,,,,," 23,218 "," 21,242 ",-8.5%,,," 23,218 "," 21,242 ",-8.5%,,,,," 23,218 "," 21,242 ",-8.5%,,,,
,"w/o Canada, Mexico, and Brazil",," 13,634 ", 513 , 704 , 896 , 950 ," 1,052 "," 1,073 ", -   ," 1,194 ", (3)," 1,717 ", (1)," 1,603 ", (1)," 1,162 ", 0 ," 1,315 ",13.1%,,,,,,,,,,,,,,,,,," 11,209 "," 10,195 ",-9.0%,,," (8,695)"," (12,705)",46.1%,,,,," (8,695)"," (12,705)",46.1%,,,,
,,Parts imports," 14,727 "," 14,370 "," 13,622 "," 15,873 "," 18,524 "," 22,020 "," 22,756 ",," 25,455 ",," 28,647 ",," 30,760 ",," 35,519 ",," 38,119 ",7.3%,,,,,,,,,,,,,,,,,," 20,226 "," 18,052 ",-10.7%,,," 20,226 "," 18,052 ",-10.7%,,,,," 20,226 "," 18,052 ",-10.7%,,,,
,"w/o Canada, Mexico, and Brazil",," 13,920 ", 112 , 99 , 113 , 128 , 147 , 195 , -   , 227 , (2), 285 , (1), 328 , (1), 457 , (0), 574 ,25.5%,,,,,,,,,,,,,,,,,," 7,674 "," 5,985 ",-22.0%,,," (16,361)"," (19,120)",16.9%,,,,," (16,361)"," (19,120)",16.9%,,,,
,,Parts balance, (938)," 4,249 "," 5,865 "," 6,970 "," 8,248 "," 7,094 "," 7,299 ", -   ," 5,537 ", -   ," 7,652 ", -   ," 6,597 ", -   ," 5,012 ", -   ," 5,758 ",14.9%, -   ,,,,,,,,,,,,,,,,," 2,992 "," 3,190 ",6.6%,,," 2,992 "," 3,190 ",6.6%,,,,," 2,992 "," 3,190 ",6.6%,,,,
,"w/o Canada, Mexico, and Brazil",, (285), 401 , 605 , 783 , 823 , 905 , 878 , -   , 967 , (1)," 1,432 ", (0)," 1,275 ", (1), 705 , 1 , 741 ,5.2%,,,,,,,,,,,,,,,,,," 3,535 "," 4,209 ",19.1%,,," 7,667 "," 6,415 ",-16.3%,,,,," 7,667 "," 6,415 ",-16.3%,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total exports," 22,699 "," 27,325 "," 29,423 "," 32,683 "," 37,432 "," 42,557 "," 43,549 ", -   ," 45,738 ", -   ," 54,155 ", -   ," 54,763 ", -   ," 58,674 ", -   ," 63,233 ",7.8%, -   ,,,,,,,,,,,,,,,,," 34,131 "," 30,503 ",-10.6%,,," 34,131 "," 30,503 ",-10.6%,,,,," 34,131 "," 30,503 ",-10.6%,,,,
