 
"Organization Name - Effective 18-JAN-08","Grant Number","NIH Reference","PI Name","Project Title","Dept Name","NIH Dept Combining Name","NIH MC Combining Name","Award","City","State or Country Name","Zip Code","Attributed to Medical School","Medical School - Grant is Attributed To","Medical School Location","Additional Ranking Category","Multi-Campus Institution","Main Campus - Grant is Attributed To","  "
"INTERVEXION THERAPEUTICS, LLC","4R42DA017596-03","7231568","Holtz, R Barry","Development of Plant Derived Antibodies for Drugs Abuse","","","","$ 581,864","LITTLE ROCK","ARKANSAS","72205-7199","","","","Research Institutes","N","","  "
"INVOTEK, INC.","1R44HD053176-01","7110062","Jakobs, Thomas ","Reliable/Safe Laser Pointing-People Locked-in Syndrome","","","","$ 97,175","ALMA","ARKANSAS","72921","","","","None","N","","  "
"INVOTEK, INC.","2R44HD047044-02","7154455","Jakobs, Thomas ","Speech Supplemented Word Prediction Program","","","","$ 276,282","ALMA","ARKANSAS","72921","","","","None","N","","  "
"NANOMATERIALS AND NANOFABRICATION LABS","1R43GM076840-01","7052658","Battaglia, David Mark","High Yield and Inexpensive Production of Quality Gold Nanocrystals for Bio-Labels","","","","$ 98,534","FAYETTEVILLE","ARKANSAS","72702","","","","None","N","","  "
"NANOMATERIALS AND NANOFABRICATION LABS","2R44GM069065-03","7224633","Liu, Yongcheng ","Kits for Converting Nanocrystals to Standard Bio-Medical Reagents","","","","$ 399,876","FAYETTEVILLE","ARKANSAS","72702","","","","None","N","","  "
"NANOMATERIALS AND NANOFABRICATION LABS","5R43EB005072-02","7111148","Liu, Yongcheng ","Colloidal Quantum Dot/Well Near-Infrared NanoLabels","","","","$ 196,997","FAYETTEVILLE","ARKANSAS","72702","","","","None","N","","  "
"NANOMECH, LLC","2R44EB003335-02","7155315","Jiang, Wenping ","Nanoparticle Coating System for Biomedical Applications","","","","$ 434,545","FAYETTEVILLE","ARKANSAS","72701","","","","None","N","","  "
"NANOMECH, LLC","5R43DE015730-02","7115313","Jiang, Wenping ","Nanocoatings for Biomedical Implants","","","","$ 211,480","FAYETTEVILLE","ARKANSAS","72701","","","","None","N","","  "
"OCEAN NANOTECH, LLC","1R43EB006229-01","7110878","Wang, Y Andrew","Adaptor Protein-Quantum Dot Conjugates as Biological Labels","","","","$ 99,982","FAYETTEVILLE","ARKANSAS","72701","","","","None","N","","  "
"UNIVERSITY OF ARKANSAS AT FAYETTEVILLE","1R15EB006378-01","7127525","Ye, Kaiming ","A Glucose Nanosensor for Continuous Glucose Monitoring within Living Cells","","ENGINEERING (ALL TYPES)","BIOMED ENGR/COL ENGR/ENGR STA","$ 208,239","FAYETTEVILLE","ARKANSAS","72701","","","","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS AT FAYETTEVILLE","1R15NR009371-01A1","7073718","Smithblair, Nancy J","Diaphragm Fatigue Prevention in Emphysema","","OTHER HEALTH PROFESSIONS","SCHOOLS OF EDUCATION","$ 204,040","FAYETTEVILLE","ARKANSAS","72701","","","","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS AT FAYETTEVILLE","5P20RR015569-07","7127626","Millett, Francis S","Center for Protein Structure and Function","","CHEMISTRY","SCHOOLS OF ARTS AND SCIENCES","$ 2,068,071","FAYETTEVILLE","ARKANSAS","72701","","","","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS AT FAYETTEVILLE","5R01AI051470-04","7000373","Mcnabb, David Scott","The role of the CCAAT-binding factor in Candida albicans","","BIOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 233,754","FAYETTEVILLE","ARKANSAS","72701","","","","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS AT FAYETTEVILLE","5R01GM020488-34","7106446","Millett, Francis S","Electron-Transfer Proteins","","CHEMISTRY","SCHOOLS OF ARTS AND SCIENCES","$ 294,752","FAYETTEVILLE","ARKANSAS","72701","","","","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS AT FAYETTEVILLE","5R21AI063137-02","7085572","Kwon, Youngmin ","Genome scanning for virulence genes in bacteria","","OTHER BASIC SCIENCES","EARTH SCIENCES/RESOURCES","$ 274,995","FAYETTEVILLE","ARKANSAS","72701","","","","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS AT FAYETTEVILLE","5R21HG003290-03","7060931","Li, Jiali ","Solid-state Nanopore Identification for Proteins","","PHYSICS","SCHOOLS OF ARTS AND SCIENCES","$ 169,502","FAYETTEVILLE","ARKANSAS","72701","","","","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS AT LITTLE ROCK","5U10HD025460-17","7090749","Bradley, Robert H","NICHD Study of Early Child Care and Youth Development -*","","MISCELLANEOUS","SCHOOLS OF EDUCATION","$ 404,400","LITTLE ROCK","ARKANSAS","72204","","","","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","1K23NR009492-01A1","7144853","Cole, Catherine Sue","Sleep Fragmentation and Attention in Alzheimer's Disease","","OTHER HEALTH PROFESSIONS","SCHOOLS OF NURSING","$ 95,508","LITTLE ROCK","ARKANSAS","72205","","","","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","1P20RR023425-01","7216044","Kern, Philip A","Clinical and Translational Science Institute in Arkansas","","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 213,000","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","1R01AG026091-01A2","7151894","Wei, Jeanne Y","Transcription Regulation in the Aging Heart","","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 291,100","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","1R01AG028935-01","7152348","Leckaczernik, Beata Anna","Bone loss with aging occurs due to increased PPAR-g activity in marrow stem cells","","OTHER HEALTH PROFESSIONS","SCHOOLS OF MEDICINE","$ 297,680","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","1R01AR052293-01A2","7140969","Ferrando, Arny A","Restoration of Muscle Following Hip Surgery","","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 306,117","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","1R01CA113992-01A2","7139302","Epstein, Joshua ","Osteoblasts and their mesenchymal progenitors in myeloma","","MISCELLANEOUS","SCHOOLS OF MEDICINE","$ 252,050","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","1R01CA115399-01A1","7141359","Tricot, Guido J","Gene expression profiling vs MRD assessment in Myeloma","","MISCELLANEOUS","SCHOOLS OF MEDICINE","$ 252,050","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","1R01CA118981-01","7022780","Kadlubar, Susan A","Pharmacogenetics of Hormonal Therapy for Breast Cancer","","PUBLIC HEALTH & PREV MEDICINE","SCHOOLS OF PUBLIC HEALTH","$ 450,491","LITTLE ROCK","ARKANSAS","72205","","","","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","1R01DK071100-01A1","7030494","Elbein, Steven C","Mapping T2DM Genes in GENNID Families","","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 543,294","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","1R01EY017353-01","7078172","Zhou, Z Jimmy","Synaptic Function and Organization of the Mammalian Retina","","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 344,920","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","1R01HL082481-01","7008254","Culp, William C","Ischemic Stroke Treatment with Microbubbles, Clot Lysis","","RADIATION-DIAGNOSTIC/ONCOLOGY","SCHOOLS OF MEDICINE","$ 387,162","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","1R01MH076908-01","7078372","Fortney, John C","Telemedicine-Based Collaborative Care to Reduce Rural Health Disparities","","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 651,773","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","1R01NS053487-01A1","7150536","Kielian, Tammy L","Effects of Neuroinflammation on Gap Junction Communication in Glia","","ANATOMY/CELL BIOLOGY","SCHOOLS OF MEDICINE","$ 285,282","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","1R03HD053477-01","7133622","Kilic, Fusun ","Impact of Diabetes on Placental Serotonin Transporter","","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 71,000","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","1R03NS050381-01A1","7034897","Zheng, Fang ","METABOTROPIC GLUTAMATE RECEPTORS AND EXCITOTOXICITY","","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 71,000","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","1R13AA016857-01","7161637","Booth, Brenda M","The 2006 Addiction Health Services Research Conference","","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 25,000","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","1R13AR053056-01A1","7164568","Horn, Thomas D","Pathophysiology and Nosology of Keratinocyte Neoplasia","","DERMATOLOGY","SCHOOLS OF MEDICINE","$ 10,000","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","1R21AG025466-01A2","7144308","Chen, Xiaodong ","Extracellular matrix control mesenchymal stem cell fate","","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 145,550","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","1R21CA108678-01A2","7148390","Shafirstein, Gal ","Breast Tissue ablation by Conductive Heating","","OTOLARYNGOLOGY","SCHOOLS OF MEDICINE","$ 167,355","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","1R21CA118164-01A1","7144086","Haun, Randy S","Early Detection of Pancreatic Cancer","","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 171,638","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","1R21EB005123-01A1","7115146","Zharov, Vladimir P","Integrated Photothermal Nanoprobes","","OTOLARYNGOLOGY","SCHOOLS OF MEDICINE","$ 167,000","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","1R34MH078898-01","7173927","Stecker, Tracy A","Outreach Intervention for OIF Veterans to Promote Use of Mental Health Services","","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 230,548","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","1R56AI067814-01","7172447","Crew, Mark D","Xenogeneic activation of human natural killer cells","","OTHER HEALTH PROFESSIONS","SCHOOLS OF MEDICINE","$ 220,500","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","1S10RR022363-01","7046297","Dennis, Richard A","High Throughput Real-Time PCR System for the Microarray Core","","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 100,818","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","1T32DK061921-01A2","7066378","Shah, Sudhir V","Training Program in the Pathophysiology of Renal Disease","","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 129,431","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","2P01AG013918-11","7082727","Manolagas, Stavros C","Molecular & Cellular Mechanisms of Osteoporosis","","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 1,728,941","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","2R01DA010017-05A2","7097674","Olivetobeaudoin, Alison ","Opioid Antagonist Discrimination: A Model of Withdrawal","","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 355,000","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","2R01DA013441-07A1","7149393","Olivetobeaudoin, Alison ","Disulfiram for Cocaine Abuse in Metadone - Patients","","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 561,063","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","2R01DK054471-06A3","7045861","Price, Peter M","Cyclin-dependent Kinase Inhibitor In Acute Renal Failure","","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 232,470","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","2R01GM061829-06A1","7100342","Machaca, Khaled ","Regulation of Calcium Signaling during Oogenesis","","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 245,934","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","2R01GM075893-05A1","7143067","Radominskapandya, Anna ","Structure-Function of UDP-Glucuronosyltransferases","","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 283,977","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","2R37DK039176-18","7148212","Kern, Philip A","Regulation of lipoprotein lipase in adipocytes","","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 283,500","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","3R01DA011692-09S1","7282108","Bickel, Warren K","Delay Discounting in Drug Dependence","","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 6,156","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","3R01GM026861-25S1","7243908","Jennings, Michael L","MECHANISMS OF SULFATE TRANSPORT AND REGULATION","","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 3,328","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","3R01GM061829-06A1S1","7240366","Machaca, Khaled ","Regulation of Calcium Signaling during Oogenesis","","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 6,934","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","3R01NS036728-06S1","7224013","Dienel, Gerald A","Functional Metabolism in Working Brain","","NEUROLOGY","SCHOOLS OF MEDICINE","$ 8,946","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","3T32ES010952-05S1","7253486","Hinson, Jack Allsbrook","Biochemical and Behavioral Mechanisms of Toxicology","","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 113,740","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","3U01CA114607-02S1","7227297","Henrytillman, Ronda S","Working to Eliminate Barriers: Cancer Communities Online","","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 70,999","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","3U01CA114607-02S4","7288150","Henrytillman, Ronda S","Arkansas Cancer Community Network (ARCCN)","","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 66,023","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
