"Loan Characteristic","Period","All sizes","Minimal","Low","Moderate","Acceptable","Special","Not rated","Not reported"
"Weighted average repricing interval (months)","2003Q3",2.46,1.25,3.5,3,2.32,0.46,2.82,2.12
"Weighted average repricing interval (months)","2003Q4",2.57,3.63,6.59,2.29,1.87,0.85,11.62,1.09
"Weighted average repricing interval (months)","2004Q1",3,10.69,5.59,2.9,2.09,0.41,3.4,1.42
"Weighted average repricing interval (months)","2004Q2",2.47,20.48,3.8,3.29,1.6,0.7,2.36,0.34
"Weighted average repricing interval (months)","2004Q3",6.25,8.13,30.25,5.52,0.52,0.28,3.31,0.17
"Weighted average repricing interval (months)","2004Q4",4.28,2.3,9.22,2.2,3.91,0.32,0.81,4.85
"Weighted average repricing interval (months)","2005Q1",4.45,4.27,4.56,3.7,5.28,0.92,1.66,8.37
"Weighted average repricing interval (months)","2005Q2",3.85,14,2.45,2.64,4.01,4.24,38.89,11.19
"Weighted average repricing interval (months)","2005Q3",5.57,7.31,7.19,6.76,0.34,4.28,70.93,2.33
"Weighted average repricing interval (months)","2005Q4",4.13,10.3,5.26,4.88,0.67,4.45,19.56,3.9
"Weighted average repricing interval (months)","2006Q1",4.81,7.39,3.61,5.58,3.82,4.03,5.8,2.97
"Weighted average repricing interval (months)","2006Q2",2.88,3.58,4.33,1.74,1.37,10.3,5.38,8.44
"Weighted average repricing interval (months)","2006Q3",5.24,9.4,3.36,3.96,2.07,3.26,0.41,23.01
"Weighted average repricing interval (months)","2006Q4",6.88,4.2,23.19,3.89,1.82,4.58,31.09,19.13
"Weighted average repricing interval (months)","2007Q1",5.45,2.97,8.89,5.5,1.9,1.29,9.07,15.96
"Weighted average risk rating","1999Q4",3.06,1,2,3,4,5,.,.
"Weighted average risk rating","2000Q1",3.06,1,2,3,4,5,.,.
"Weighted average risk rating","2000Q2",3.09,1,2,3,4,5,.,.
"Weighted average risk rating","2000Q3",3.23,1,2,3,4,5,.,.
"Weighted average risk rating","2000Q4",3.09,1,2,3,4,5,.,.
"Weighted average risk rating","2001Q1",3.35,1,2,3,4,5,.,.
"Weighted average risk rating","2001Q2",3.28,1,2,3,4,5,.,.
"Weighted average risk rating","2001Q3",3.29,1,2,3,4,5,.,.
"Weighted average risk rating","2001Q4",3.21,1,2,3,4,5,.,.
"Weighted average risk rating","2002Q1",3.21,1,2,3,4,5,.,.
"Weighted average risk rating","2002Q2",3.26,1,2,3,4,5,.,.
"Weighted average risk rating","2002Q3",3.48,1,2,3,4,5,.,.
"Weighted average risk rating","2002Q4",3.3,1,2,3,4,5,.,.
"Weighted average risk rating","2003Q1",3.31,1,2,3,4,5,.,.
"Weighted average risk rating","2003Q2",3.22,1,2,3,4,5,.,.
"Weighted average risk rating","2003Q3",3.44,1,2,3,4,5,.,.
"Weighted average risk rating","2003Q4",3.45,1,2,3,4,5,.,.
"Weighted average risk rating","2004Q1",3.26,1,2,3,4,5,.,.
"Weighted average risk rating","2004Q2",3.33,1,2,3,4,5,.,.
"Weighted average risk rating","2004Q3",3.15,1,2,3,4,5,.,.
"Weighted average risk rating","2004Q4",3.1,1,2,3,4,5,.,.
"Weighted average risk rating","2005Q1",3.06,1,2,3,4,5,.,.
"Weighted average risk rating","2005Q2",3.41,1,2,3,4,5,.,.
"Weighted average risk rating","2005Q3",3.21,1,2,3,4,5,.,.
"Weighted average risk rating","2005Q4",3.05,1,2,3,4,5,.,.
"Weighted average risk rating","2006Q1",3.2,1,2,3,4,5,.,.
"Weighted average risk rating","2006Q2",3.11,1,2,3,4,5,.,.
"Weighted average risk rating","2006Q3",3.23,1,2,3,4,5,.,.
"Weighted average risk rating","2006Q4",3.19,1,2,3,4,5,.,.
"Weighted average risk rating","2007Q1",3.26,1,2,3,4,5,.,.
"Weighted average interest rate","1999Q4",9.05,9.31,9.43,8.63,9.3,9.85,8.67,10.06
"Weighted average interest rate","2000Q1",9.05,9.31,9.43,8.63,9.3,9.85,8.67,10.06
"Weighted average interest rate","2000Q2",9.86,9.1,9.51,10.01,9.98,10.45,9.03,10.71
"Weighted average interest rate","2000Q3",9.96,9.77,9.85,9.79,10.11,10.54,9.46,10.83
"Weighted average interest rate","2000Q4",9.86,9.1,9.51,10.01,9.98,10.45,9.03,10.71
"Weighted average interest rate","2001Q1",8.75,8,9.32,9.08,8.11,9.42,8.28,9.81
"Weighted average interest rate","2001Q2",8.14,7.81,8.01,8.29,8.26,7.98,7.48,8.18
"Weighted average interest rate","2001Q3",7.44,8.18,7.95,7.45,7.23,8.07,6.04,7.47
"Weighted average interest rate","2001Q4",5.69,6.13,5.82,5.57,5.57,6.19,4.88,6.58
"Weighted average interest rate","2002Q1",5.82,5.36,6.35,5.77,5.51,6.39,4.84,6.83
"Weighted average interest rate","2002Q2",5.77,6.06,5.85,5.79,5.52,6.76,4.91,7.27
"Weighted average interest rate","2002Q3",5.25,6.17,5.92,5.07,5.18,6.34,4.16,6.8
"Weighted average interest rate","2002Q4",4.74,4.48,4.21,4.72,4.98,5.24,4,6.09
"Weighted average interest rate","2003Q1",4.95,5.27,5.72,4.74,4.95,5.11,4.01,6.37
"Weighted average interest rate","2003Q2",5.47,7,6.11,5.15,5.1,6.71,4.53,5.98
"Weighted average interest rate","2003Q3",4.73,4.34,4.96,4.77,4.34,5.88,4.09,5.36
"Weighted average interest rate","2003Q4",4.49,4.74,5.22,4.41,4.25,5.12,3.55,5.27
"Weighted average interest rate","2004Q1",4.69,5.37,4.67,4.81,4.59,4.73,3.99,5
"Weighted average interest rate","2004Q2",4.79,4.84,5.09,4.91,4.36,5.43,3.94,5.04
"Weighted average interest rate","2004Q3",5.12,5.23,5.5,4.97,4.84,5.94,4.73,5.33
"Weighted average interest rate","2004Q4",5.16,5.59,4.92,5.16,5.25,5.76,5.87,5.12
"Weighted average interest rate","2005Q1",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"Weighted average interest rate","2005Q2",6.41,6.6,6.55,6.26,6.46,7.26,7.15,6.34
"Weighted average interest rate","2005Q3",6.49,6.01,6.65,6.4,6.6,7.89,7.72,6.32
"Weighted average interest rate","2005Q4",7.25,6.66,7.49,7.2,7.31,8.59,8.16,7.01
"Weighted average interest rate","2006Q1",7.86,7.56,7.87,7.8,7.93,8.47,7.89,7.32
"Weighted average interest rate","2006Q2",7.95,7.62,8.24,7.81,8.3,8.44,8.12,7.67
"Weighted average interest rate","2006Q3",8.44,8.81,8.61,8.46,8.65,8.94,8.2,7.49
"Weighted average interest rate","2006Q4",8.24,8.06,8.61,7.93,8.41,8.83,8.69,8.46
"Weighted average interest rate","2007Q1",8.47,8.44,8.66,8.53,8.29,8.96,7.65,8.36
"Standard error","1999Q4",0.17,0.23,0.09,0.27,0.17,0.3,0.38,0.31
"Standard error","2000Q1",0.21,0.2,0.29,0.32,0.21,0.3,0.4,0.3
"Standard error","2000Q2",0.05,0.69,0.23,0.15,0.12,0.48,0.25,0.51
"Standard error","2000Q3",0.16,0.19,0.28,0.25,0.17,0.73,1.34,0.46
"Standard error","2000Q4",0.18,0.75,0.33,0.14,0.24,0.16,0.17,0.51
"Standard error","2001Q1",0.31,0.39,0.19,0.15,0.39,0.33,0.23,0.02
"Standard error","2001Q2",0.08,0.26,0.4,0.24,0.16,0.63,0.54,0.3
"Standard error","2001Q3",0.23,0.36,0.26,0.21,0.29,0.39,0.43,0.75
"Standard error","2001Q4",0.17,0.52,0.27,0.24,0.76,0.27,0.59,0.32
"Standard error","2002Q1",0.32,0.52,0.24,0.39,0.34,0.47,1,0.24
"Standard error","2002Q2",0.29,0.51,0.46,0.34,0.31,0.45,0.4,0.42
"Standard error","2002Q3",0.26,0.51,0.34,0.53,0.22,0.51,0.65,0.55
"Standard error","2002Q4",0.26,0.2,0.49,0.39,0.19,0.45,0.52,0.5
"Standard error","2003Q1",0.26,0.47,0.17,0.34,0.19,0.53,0.25,0.22
"Standard error","2003Q2",0.23,0.4,0.35,0.41,0.25,0.29,0.92,0.32
"Standard error","2003Q3",0.21,0.44,0.39,0.31,0.2,0.27,0.42,0.41
"Standard error","2003Q4",0.12,0.59,0.32,0.18,0.13,0.21,0.92,0.26
"Standard error","2004Q1",0.13,0.24,0.38,0.23,0.17,0.5,0.58,0.36
"Standard error","2004Q2",0.17,0.52,0.39,0.27,0.18,0.51,0.52,0.34
"Standard error","2004Q3",0.1,0.71,0.27,0.24,0.16,0.54,0.43,0.29
"Standard error","2004Q4",0.26,0.53,0.4,0.25,0.32,0.76,1.05,0.59
"Standard error","2005Q1",0,0,0,0,0,0,0,0
"Standard error","2005Q2",0.16,0.28,0.24,0.23,0.25,0.32,0.46,0.51
"Standard error","2005Q3",0.21,0.47,0.18,0.27,0.26,0.33,0.17,0.36
"Standard error","2005Q4",0.2,0.2,0.25,0.28,0.27,0.33,0.01,0.27
"Standard error","2006Q1",0.09,0.24,0.19,0.21,0.19,0.21,0.26,0.17
"Standard error","2006Q2",0.16,0.18,0.11,0.29,0.24,0.42,0.17,0.06
"Standard error","2006Q3",0.17,0.49,0.13,0.07,0.13,0.42,0.55,0.31
"Standard error","2006Q4",0.3,0.31,0.07,0.4,0.29,0.36,0.09,0.28
"Standard error","2007Q1",0.07,0.25,0.13,0.13,0.18,0.5,0.35,0.23
"75th percentile","1999Q4",9.9,10.09,9.9,9.65,9.87,10.49,9.11,10.86
"75th percentile","2000Q1",9.9,10.09,9.9,9.65,9.87,10.49,9.11,10.86
"75th percentile","2000Q2",10.47,10.12,10.19,10.75,10.47,10.75,9.51,11.5
"75th percentile","2000Q3",10.75,9.99,10.52,10.55,10.75,11.08,10.15,11.48
"75th percentile","2000Q4",10.47,10.12,10.19,10.75,10.47,10.75,9.51,11.5
"75th percentile","2001Q1",9.57,9.34,9.74,9.73,9,9.92,8.77,10.38
"75th percentile","2001Q2",8.84,8.45,8.75,8.88,8.84,9,8.29,8.63
"75th percentile","2001Q3",8.14,8.84,8.64,8.14,7.52,8.84,6.96,7.91
"75th percentile","2001Q4",6.61,6.9,6.92,6.18,6.17,6.7,5.64,7.14
"75th percentile","2002Q1",7.25,6.75,7.33,7.52,6.4,7.5,5.38,7.45
"75th percentile","2002Q2",6.92,6.95,7.12,6.98,5.9,7.76,5.9,7.49
"75th percentile","2002Q3",5.92,7.2,6.86,5.92,5.9,6.92,4.85,7.23
"75th percentile","2002Q4",5.39,4.86,4.6,5.39,5.48,5.9,4.59,6.66
"75th percentile","2003Q1",6.17,6.5,7.2,6,5.61,6.18,4.33,6.45
"75th percentile","2003Q2",6.69,8.11,7.25,6.55,5.82,7.5,6,6.17
"75th percentile","2003Q3",5.62,5.39,6.3,6.12,5.06,7.77,5.08,5.62
"75th percentile","2003Q4",5.12,6,6.35,5.38,4.85,6.17,4.07,5.12
"75th percentile","2004Q1",5.51,6.17,5.5,6,5.38,5.61,5.1,5.12
"75th percentile","2004Q2",5.2,5.58,6.45,6.17,4.86,6.9,4.45,5.12
"75th percentile","2004Q3",5.64,6.61,6.35,6.08,5.39,7.47,5.61,5.39
"75th percentile","2004Q4",5.96,6.64,5.92,6.18,6.16,5.64,6.43,5.85
"75th percentile","2005Q1",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"75th percentile","2005Q2",7.08,7.25,7.25,7,7,8.12,7.79,7.23
"75th percentile","2005Q3",7.23,6.61,7.09,7.23,7.12,8.56,7.76,7.06
"75th percentile","2005Q4",8,7.25,8.02,8.01,7.98,9.84,8.57,8
"75th percentile","2006Q1",8.53,8.33,8.33,8.53,8.51,8.68,8.28,7.71
"75th percentile","2006Q2",8.57,8.03,8.94,8.3,9.11,9.11,8.51,8.01
"75th percentile","2006Q3",9.26,9.92,9.14,9.38,9.65,9.77,8.24,7.66
"75th percentile","2006Q4",8.84,8.6,9.14,8.81,8.87,9.31,9.11,9.14
"75th percentile","2007Q1",9.14,8.77,9.42,9.25,9.11,9.69,7.79,9.1
"25th percentile","1999Q4",8.56,8.8,9.04,7.81,8.57,9.11,7.6,9.51
"25th percentile","2000Q1",8.56,8.8,9.04,7.81,8.57,9.11,7.6,9.51
"25th percentile","2000Q2",9.11,8.97,8.84,9.31,9.38,9.92,8.33,9.85
"25th percentile","2000Q3",8.99,9.38,8.97,8.95,9.38,9.92,8.16,10.26
"25th percentile","2000Q4",9.11,8.97,8.84,9.31,9.38,9.92,8.33,9.85
"25th percentile","2001Q1",8.03,8.33,9,8.5,6.63,8.84,7.76,9.38
"25th percentile","2001Q2",7.5,6.98,7.52,7.71,7.71,7.23,6.58,7.76
"25th percentile","2001Q3",6.7,6.77,7.51,6.7,6.7,6.96,5.08,6.92
"25th percentile","2001Q4",4.59,5.58,4.6,4.58,4.59,5.64,4.01,6.09
"25th percentile","2002Q1",4.46,4.34,5.13,4.32,4.59,5.35,3.39,6.17
"25th percentile","2002Q2",4.85,4.77,4.84,4.85,4.85,5.77,3.65,6.51
"25th percentile","2002Q3",4.07,5.12,5.39,3.72,4.47,5.9,3.34,6.4
"25th percentile","2002Q4",3.3,3.56,3.3,3.3,4.32,4.33,3.43,5.6
"25th percentile","2003Q1",3.8,3.56,4.34,3.3,4.32,3.24,3.39,6.08
"25th percentile","2003Q2",4.33,5.65,5.25,3.8,4.33,5.38,3.36,5.65
"25th percentile","2003Q3",3.55,3.55,3.55,3.55,3.55,4.59,3.15,5.1
"25th percentile","2003Q4",3.31,4.07,4.07,3.16,3.3,3.82,2.46,5.12
"25th percentile","2004Q1",3.75,4.55,3.56,3.8,4.06,3.3,2.37,5.12
"25th percentile","2004Q2",4.04,3.3,4.07,3.82,3.56,4.33,2.94,5.12
"25th percentile","2004Q3",4.33,3.56,4.34,4.05,4.3,4.33,3.87,5.39
"25th percentile","2004Q4",4.08,4.07,3.99,3.82,4.33,4.85,4.33,4.32
"25th percentile","2005Q1",0.01,0.01,0,0.01,0.01,0.01,0.01,0.01
"25th percentile","2005Q2",5.86,6.01,5.39,5.38,6.01,6.32,6.72,5.88
"25th percentile","2005Q3",5.9,5.39,6.18,5.38,6.17,6.96,7.76,5.51
"25th percentile","2005Q4",6.43,6.18,6.86,6.18,6.7,7.76,7.76,6.3
"25th percentile","2006Q1",7.35,6.72,7.64,7.23,7.29,7.79,7.24,6.77
"25th percentile","2006Q2",7.45,6.98,7.25,7.23,7.5,7.04,7.75,7.25
"25th percentile","2006Q3",7.6,7.92,8.06,7.5,8.03,8.03,7.9,7.19
"25th percentile","2006Q4",7.5,7.25,8.06,6.93,7.57,8.04,8.03,7.76
"25th percentile","2007Q1",7.76,8.06,7.9,7.91,7.53,8.04,7.5,7.65
"Feeder livestock","1999Q4",9.28,9.4,9.36,9.21,9.52,8.61,10.2,10.86
"Feeder livestock","2000Q1",9.28,9.4,9.36,9.21,9.52,8.61,10.2,10.86
"Feeder livestock","2000Q2",9.83,10.6,9.2,10.17,9.89,10.46,11.02,9.54
"Feeder livestock","2000Q3",10.18,9.85,9.94,10.03,10.82,9.85,11.02,9.33
"Feeder livestock","2000Q4",9.83,10.6,9.2,10.17,9.89,10.46,11.02,9.54
"Feeder livestock","2001Q1",9,9.05,9.08,8.99,8.74,9.45,.,10.33
"Feeder livestock","2001Q2",8.01,8.71,7.72,8.05,7.93,8.37,8.16,9.12
"Feeder livestock","2001Q3",7.41,8.54,8.49,7.13,6.88,7.19,8.03,9.02
"Feeder livestock","2001Q4",5.66,5.65,5.19,6.12,5.22,6.73,7.23,6.63
"Feeder livestock","2002Q1",5.58,5.78,5.37,5.3,5.62,5.49,9.38,6.89
"Feeder livestock","2002Q2",5.46,5.65,5.41,5.54,5.02,7.08,8.96,7.3
"Feeder livestock","2002Q3",5.74,7.57,5.6,6.45,4.98,5.47,5.41,7.03
"Feeder livestock","2002Q4",4.53,5.68,3.98,5.32,4.55,4.51,5.28,6.63
"Feeder livestock","2003Q1",4.77,5.36,5.29,4.43,4.56,5.86,3.51,6.26
"Feeder livestock","2003Q2",4.78,5.62,5.95,4.25,5.26,5.14,4.23,6.36
"Feeder livestock","2003Q3",4.36,3.93,3.96,6.3,3.63,4.63,4.65,5.5
"Feeder livestock","2003Q4",3.99,5.46,6.01,4,3.45,5.01,.,5.9
"Feeder livestock","2004Q1",4.43,5.77,3.64,5.09,4.45,4,6.3,5.93
"Feeder livestock","2004Q2",4.43,5.1,5.4,4.66,4.01,4.09,4.7,.
"Feeder livestock","2004Q3",5.07,6.28,4.99,5.17,4.07,8.14,5.12,6.59
"Feeder livestock","2004Q4",5.45,7.13,5.82,5.19,4.99,5.54,3.93,.
"Feeder livestock","2005Q1",0.01,0.01,0.01,0.01,0.01,0.01,0.01,.
"Feeder livestock","2005Q2",6.37,7.72,6.01,6.47,6.43,9.18,7.25,7.25
"Feeder livestock","2005Q3",6.34,7.11,6.03,6.41,6.11,7.79,.,.
"Feeder livestock","2005Q4",7.32,7.3,7.79,7.03,7.33,10.1,.,7.91
"Feeder livestock","2006Q1",7.86,8.07,8.15,7.68,7.8,9.16,.,8.5
"Feeder livestock","2006Q2",8.26,8.37,7.78,8.24,8.52,8.49,8.23,8.4
"Feeder livestock","2006Q3",8.42,9.11,8.7,8,7.61,8.15,13.24,5.37
"Feeder livestock","2006Q4",8.4,8.73,8.71,8.07,7.85,10.09,.,8.9
"Feeder livestock","2007Q1",8.73,8.69,9.04,8.5,8.44,8.84,.,8.45
"Other livestock","1999Q4",8.9,7.34,9.31,8.78,8.76,11.57,9.2,9.51
"Other livestock","2000Q1",8.9,7.34,9.31,8.78,8.76,11.57,9.2,9.51
"Other livestock","2000Q2",9.9,11.16,9.79,10,9.8,9.79,10.17,10.47
"Other livestock","2000Q3",9.88,9.69,10,9.84,9.45,10.2,10.16,10.37
"Other livestock","2000Q4",9.9,11.16,9.79,10,9.8,9.79,10.17,10.47
"Other livestock","2001Q1",8.78,9.25,8.56,8.98,8.53,8.87,7.81,9.83
"Other livestock","2001Q2",8.18,9.31,8.49,8.34,7.81,8.36,7.72,8.11
"Other livestock","2001Q3",6.83,8.98,6.58,7.22,6.55,6.43,6.34,8.29
"Other livestock","2001Q4",5.28,4.91,5.32,5.03,4.94,6.62,5.12,6.52
"Other livestock","2002Q1",4.84,4.35,5.75,4.5,5.12,5.1,4.47,6.29
"Other livestock","2002Q2",5.36,4.34,6.23,5.18,5.25,5.65,5.12,7.86
