 
"Organization Name - Effective 27-AUG-06","Grant Number","NIH Reference","PI Name","Project Title","Dept Name","NIH Dept Combining Name","NIH MC Combining Name","Award","City","State or Country Name","Zip Code","Attributed to Medical School","Medical School - Grant is Attributed To","Medical School Location","Additional Ranking Category","Multi-Campus Institution","Main Campus - Grant is Attributed To","  "
"NANOMECH, LLC","1R43DE015730-01A2","6994901","Jiang, Wenping ","Nanocoatings for Biomedical Implants","","","","$ 187,409","FAYETTEVILLE","ARKANSAS","72701","","","","None","N","","  "
"NEPHROPATHOLOGY ASSOCIATES","5R43DK062518-02","6887839","Walker, Patrick D","Predicting Nephropathy in Type II Diabetes","","","","$ 123,021","LITTLE ROCK","ARKANSAS","72211","","","","None","N","","  "
"PSYCHIATRIC ASSESSMENT SYSTEMS","1R41MH074159-01","6932716","Smith, Grichard ","Feasibility of Dual Use Module for Major Depression","","","","$ 100,000","LITTLE ROCK","ARKANSAS","72205-7101","","","","None","N","","  "
"UNIVERSITY OF ARKANSAS AT FAYETTEVILLE","1R15AR052670-01","6954312","Erf, Gisela F","Autoimmune Vitiligo: gene-expression during pathogenesis","POULTRY SCIENCE","OTHER BASIC SCIENCES","EARTH SCIENCES/RESOURCES","$ 208,163","FAYETTEVILLE","ARKANSAS","72701","","","","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS AT FAYETTEVILLE","1R15HL078994-01A1","6954286","Stites, Wesley E","Smoking, thrombomodulin oxidation, and thrombosis.","CHEMISTRY AND BIOCHEMISTRY","CHEMISTRY","SCHOOLS OF ARTS AND SCIENCES","$ 202,820","FAYETTEVILLE","ARKANSAS","72701","","","","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS AT FAYETTEVILLE","1R21AI063137-01","6853823","Kwon, Young M","Genome scanning for virulence genes in bacteria","POULTRY SCIENCE","OTHER BASIC SCIENCES","EARTH SCIENCES/RESOURCES","$ 279,730","FAYETTEVILLE","ARKANSAS","72701","","","","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS AT FAYETTEVILLE","2P20RR015569-06","6988208","Millett, Francis S","Center for Protein Structure and Function","CHEMISTRY AND BIOCHEMISTRY","CHEMISTRY","SCHOOLS OF ARTS AND SCIENCES","$ 1,776,805","FAYETTEVILLE","ARKANSAS","72701","","","","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS AT FAYETTEVILLE","3R01GM020488-33S1","7108899","Millett, Francis S","Electron-Transfer Proteins","CHEMISTRY AND BIOCHEMISTRY","CHEMISTRY","SCHOOLS OF ARTS AND SCIENCES","$ 65,640","FAYETTEVILLE","ARKANSAS","72701","","","","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS AT FAYETTEVILLE","5R01AI051470-03","6834618","Mcnabb, David Scott","The role of the CCAAT-binding factor in Candida albicans","BIOLOGICAL SCIENCES","BIOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 239,379","FAYETTEVILLE","ARKANSAS","72701","","","","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS AT FAYETTEVILLE","5R01GM020488-33","6936495","Millett, Francis S","Electron-Transfer Proteins","CHEMISTRY AND BIOCHEMISTRY","CHEMISTRY","SCHOOLS OF ARTS AND SCIENCES","$ 302,579","FAYETTEVILLE","ARKANSAS","72701","","","","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS AT FAYETTEVILLE","5R21HG003290-02","6942326","Li, Jiali ","Solid-state Nanopore Identification for Proteins","PHYSICS","PHYSICS","SCHOOLS OF ARTS AND SCIENCES","$ 171,676","FAYETTEVILLE","ARKANSAS","72701","","","","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS AT LITTLE ROCK","2U10HD025460-16A1","6928794","Bradley, Robert H","NICHD Study of Early Child Care and Youth Development -*","CTR/RES ON TEACHING & LEARNING","MISCELLANEOUS","SCHOOLS OF EDUCATION","$ 152,327","LITTLE ROCK","ARKANSAS","72204","","","","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS AT LITTLE ROCK","3U10HD025460-15S1","7000287","Bradley, Robert H","NICHD STUDY OF EARLY CHILD CARE--PHASE III","CTR/RES ON TEACHING & LEARNING","MISCELLANEOUS","SCHOOLS OF EDUCATION","$ 196,242","LITTLE ROCK","ARKANSAS","72204","","","","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","1F30NS053163-01","6999665","Heister, David S","Development of REM sleep","NEUROBIOLOGY & DEVELOPMENTAL SCIS","ANATOMY/CELL BIOLOGY","SCHOOLS OF MEDICINE","$ 37,321","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","1F31EY016885-01","6984193","Mon, Thetsu ","Mechanism of Spontaneous Waves in the Developing Retina","PHYSIOLOGY AND BIOPHYSICS","PHYSIOLOGY","GRADUATE SCHOOLS","$ 29,822","LITTLE ROCK","ARKANSAS","72205","","","","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","1F31NR009133-01A1","6932848","Green, Angela L","Children's Quality of Life Post Cardiac Transplantation","NURSING SCIENCE","OTHER HEALTH PROFESSIONS","SCHOOLS OF NURSING","$ 27,926","LITTLE ROCK","ARKANSAS","72205","","","","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","1R01AA014977-01A1","6867205","Wenger, Galen R","Alcohol Preference and Cognitive Function","PHARMACOLOGY AND TOXICOLOGY","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 246,820","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","1R01AI059650-01A1","6873082","Rank, Roger G","Host response to Chlamydia genital infection in the male","MICROBIOLOGY AND IMMUNOLOGY","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 355,000","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","1R01AR051187-01A1","6861687","Manolagas, Stavros C","OSTEOBLAST COMMITMENT AND DIFFERENTIATION BY ANGELS","INTERNAL MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 249,920","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","1R01DA018980-01","6860012","Pyne, Jeffrey M","Cost-Effectiveness of Reducing Drug Treatment Barriers","PSYCHIATRY","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 319,500","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","1R01DK071277-01","6929557","Kern, Philip A","Mechanisms underlying metabolic syndrome in obesity","INTERNAL MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 220,100","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","1R01DK071346-01","6935754","Mcgehee, Robert E","Mechanisms Underlying Metabolic Syndrome in Obesity","PEDIATRICS","PEDIATRICS","SCHOOLS OF MEDICINE","$ 142,000","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","1R01DK071349-01","6935783","Peterson, Charlotte A","Mechanisms Underlying Metabolic Syndrome in Obesity","GERIATRICS","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 177,500","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","1R01EB000873-01A2","6924902","Zharov, Vladimir P","Photothermal Imaging of Live Cells","OTOLARYNGOLOGY-HEAD & NECK","OTOLARYNGOLOGY","SCHOOLS OF MEDICINE","$ 281,700","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","1R01ES013787-01","6899993","Davidson, Mari K","Molecular mechanisms of aneuploidy","BIOCHEM AND MOLECULAR BIOLOGY","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 325,312","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","1R01HD047656-01A1","6924121","Wenger, Galen R","Age and Cognition in a Mouse Model of Down Syndrome","PHARMACOLOGY AND TOXICOLOGY","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 270,000","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","1R01HD050540-01","6958205","Diekman, Alan B","Role of galectin-3 in genital tract immunosuppression","BIOCHEM AND MOLECULAR BIOLOGY","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 243,013","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","1R01HL083013-01","6964859","Rusch, Nancy J","Calcium Channels in Neonatal Pulmonary Hypertension","PHARMACOLOGY AND TOXICOLOGY","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 404,383","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","1R01NR008937-01A1","6867996","Coleman, Elizabeth A","Exercise to Relieve Cancer-Related Insomnia and Fatigue","NURSING SCIENCE","OTHER HEALTH PROFESSIONS","SCHOOLS OF NURSING","$ 450,183","LITTLE ROCK","ARKANSAS","72205","","","","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","1R03CA114729-01A1","7049687","Basnakian, Alexei G","Endonuclease deficiency in breast cancer progression","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 63,000","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","1R03CA115794-01","6959727","Vanbiervliet, Alan G","Evaluation of Clear Speech to Enhance Multimedia eHealth","PHYS MED AND REHABILITATION","PHYSICAL MEDICINE & REHAB","SCHOOLS OF MEDICINE","$ 71,000","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","1R03HD048868-01","6861573","Whitesidemansell, Leanne ","Cross Cultural Parenting","PEDIATRICS","PEDIATRICS","SCHOOLS OF MEDICINE","$ 63,000","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","1R03LM008853-01","6963000","Nagarajan, Radhakrishnan ","CloNET: Modeling Genetic Networks from Clonal Analysis","GERIATRICS","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 71,000","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","1R03TW006919-01A1","6879433","Bellido, Teresita M","Bisphosphonate binding to connexin43-expressing cells","INTERNAL MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 38,500","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","1R13AG025635-01","6888401","Evans, William J","Nutritional needs of elderly people in long-term care","GERIATRICS","OTHER HEALTH PROFESSIONS","SCHOOLS OF MEDICINE","$ 35,000","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","1R21CA106936-01A2","6963509","Goldsmith, Geoffrey A","Multi-level Approaches to Improve Colon Cancer Screening","FAMILY & PREVENTIVE MEDICINE","FAMILY MEDICINE","SCHOOLS OF MEDICINE","$ 162,540","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","1R21DK067661-01A1","6928692","Alam, Muhammad G","Iron Chelator in Contrast-Induced Acute Renal Failure","INTERNAL MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 125,294","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","1S10RR019395-01A1","6878181","Kurten, Richard C","Zeiss LSM 510 Confocal Microscope System","PHYSIOLOGY AND BIOPHYSICS","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 338,895","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","1U01CA114607-01","6924427","Henrytillman, Ronda S","Arkansas Cancer Community Network (ARCCN)","INTERNAL MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 800,000","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","1U01MH070022-01A2","6986286","Sullivan, Jan G","CALM: Improving Primary Care Anxiety Outcomes","PSYCHIATRY","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 477,604","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","1U13ES014556-01","7059018","Cranmer, Joan M","Environment and Neurodevelopmental Disorders","PEDIATRICS","PEDIATRICS","SCHOOLS OF MEDICINE","$ 31,500","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","2P20RR016460-04A1","7001148","Cornett, Lawrence E","Partnerships for Biomedical Research in Arkansas","PHYSIOLOGY AND BIOPHYSICS","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 3,360,925","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","2R01CA083719-06","6973226","Hauerjensen, Martin ","Endothelial Dysfunction in Intestinal Radiation Toxicity","SURGERY","SURGERY","SCHOOLS OF MEDICINE","$ 301,750","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","2R01DA007610-12A1","6969119","Owens, S Michael","Immunotherapy for Drug Abuse","PHARMACOLOGY AND TOXICOLOGY","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 418,753","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","2R01DA012997-07","6869738","Bickel, Warren K","Improving Combined Buprenorphine-Behavioral Treatment","PSYCHIATRY","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 872,638","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","2R01NR004908-04A1","6866889","Mcsweeney, Jean C","Predicting CHD Events in Black and White Women","NURSING SCIENCE","OTHER HEALTH PROFESSIONS","SCHOOLS OF NURSING","$ 470,816","LITTLE ROCK","ARKANSAS","72205","","","","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","3P20RR016460-04A1S1","7109438","Cornett, Lawrence E","Partnerships for Biomedical Research in Arkansas","PHYSIOLOGY AND BIOPHYSICS","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 282,976","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","3P30AG019606-05S1","7120254","Beck, Cornelia ","UAMS Alzheimer's Disease Core Center","GERIATRICS","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 38,633","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
"UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK","3R01AA014645-01A1S1","7022074","Kane, Cynthia Jm","CNS Development & Alcohol: Microglia-Neuron Interactions","NEUROBIOLOGY & DEVELOPMENTAL SCIS","ANATOMY/CELL BIOLOGY","SCHOOLS OF MEDICINE","$ 16,000","LITTLE ROCK","ARKANSAS","72205","Y","UNIV OF ARKANSAS FOR MEDICAL SCIENCES","LITTLE ROCK, ARKANSAS 72205","Domestic Higher Education","Y","UNIVERSITY OF ARKANSAS","  "
